valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,prct,inc14d,dataComplete
cases,2012-W52,iso_week,BE,canton,all,agegroup_ili_ari,all,all,1,NA,NA,10,NA,TRUE
cases,2012-W52,iso_week,BS,canton,all,agegroup_ili_ari,all,all,1,NA,NA,10,NA,TRUE
cases,2012-W52,iso_week,CH,country,all,agegroup_ili_ari,all,all,10,NA,NA,100,NA,TRUE
cases,2012-W52,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,10,NA,NA,100,NA,TRUE
cases,2012-W52,iso_week,GE,canton,all,agegroup_ili_ari,all,all,3,NA,NA,30,NA,TRUE
cases,2012-W52,iso_week,NE,canton,all,agegroup_ili_ari,all,all,1,NA,NA,10,NA,TRUE
cases,2012-W52,iso_week,SO,canton,all,agegroup_ili_ari,all,all,1,NA,NA,10,NA,TRUE
cases,2012-W52,iso_week,VD,canton,all,agegroup_ili_ari,all,all,1,NA,NA,10,NA,TRUE
cases,2012-W52,iso_week,ZH,canton,all,agegroup_ili_ari,all,all,2,NA,NA,20,NA,TRUE
cases,2013-W01,iso_week,AG,canton,all,agegroup_ili_ari,all,all,5,636362,0.79,8.1,NA,TRUE
cases,2013-W01,iso_week,AI,canton,all,agegroup_ili_ari,all,all,0,15778,0,0,NA,TRUE
cases,2013-W01,iso_week,AR,canton,all,agegroup_ili_ari,all,all,0,53691,0,0,NA,TRUE
cases,2013-W01,iso_week,BE,canton,all,agegroup_ili_ari,all,all,7,1001281,0.7,11.3,0.8,TRUE
cases,2013-W01,iso_week,BL,canton,all,agegroup_ili_ari,all,all,0,278656,0,0,NA,TRUE
cases,2013-W01,iso_week,BS,canton,all,agegroup_ili_ari,all,all,5,189335,2.64,8.1,3.17,TRUE
cases,2013-W01,iso_week,CH,country,all,agegroup_ili_ari,all,all,62,8139631,0.76,100,0.88,TRUE
cases,2013-W01,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,62,8176573,0.76,100,0.88,TRUE
cases,2013-W01,iso_week,FL,country,all,agegroup_ili_ari,all,all,0,36942,0,0,NA,TRUE
cases,2013-W01,iso_week,FR,canton,all,agegroup_ili_ari,all,all,0,297622,0,0,NA,TRUE
