valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,incValue,prctConsultations,prct,trend,dataComplete
consultations,2013-W01,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,7253.2,104365.8,5594,89.11,1.66,100,NA,TRUE
consultations,2013-W01,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,918.5,16876.1,777,53.33,1.16,13,NA,TRUE
consultations,2013-W01,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,734.4,20530.5,1007,53.58,1.09,10.4,NA,TRUE
consultations,2013-W01,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,1913.7,13560.1,743,140.12,2.56,27.1,NA,TRUE
consultations,2013-W01,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,744.4,15599.2,862,96.16,1.74,10.5,NA,TRUE
consultations,2013-W01,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,1208,29374,1679,51.07,0.89,17.1,NA,TRUE
consultations,2013-W01,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,1542.4,8425.9,526,284.84,4.56,21.8,NA,TRUE
consultations,2013-W01,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W02,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,12313.6,163938,14193,151.28,1.75,100,NA,TRUE
consultations,2013-W02,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,1980.4,33045.6,2460,114.99,1.54,17.3,NA,TRUE
consultations,2013-W02,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,1980.9,27677.1,2220,144.52,1.8,17.3,NA,TRUE
consultations,2013-W02,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,961.8,19880.3,1771,70.42,0.79,8.4,NA,TRUE
consultations,2013-W02,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1236.4,20660.8,1834,159.72,1.8,10.8,NA,TRUE
consultations,2013-W02,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,3417.7,47752.8,4389,144.49,1.57,29.8,NA,TRUE
consultations,2013-W02,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,1887.1,14921.5,1519,348.49,3.42,16.5,NA,TRUE
consultations,2013-W02,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W03,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,16915.8,174191.8,15297,207.82,2.37,100,rising,TRUE
consultations,2013-W03,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,3194,37204.9,2835,185.46,2.43,19.3,rising,TRUE
consultations,2013-W03,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,3001.2,31512,2603,218.96,2.65,18.2,rising,TRUE
consultations,2013-W03,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,1978.2,24164.7,2195,144.84,1.59,12,stagnant,TRUE
consultations,2013-W03,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1660,20053.3,1811,214.43,2.37,10,rising,TRUE
consultations,2013-W03,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,4540.5,47406.5,4429,191.96,2.05,27.5,rising,TRUE
consultations,2013-W03,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,2150.3,13850.4,1424,397.1,3.86,13,rising,TRUE
consultations,2013-W03,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W04,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,24627.3,174840.3,15091,302.56,3.51,100,rising,TRUE
consultations,2013-W04,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,5296,36421.1,2745,307.51,4.08,21.9,rising,TRUE
consultations,2013-W04,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,4570.3,31489.8,2551,333.44,4.12,18.9,rising,TRUE
consultations,2013-W04,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,4598.6,22868.7,2032,336.7,3.79,19,rising,TRUE
consultations,2013-W04,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,2078.5,20111.4,1780,268.5,3.03,8.6,rising,TRUE
consultations,2013-W04,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,5205.2,48168.7,4393,220.06,2.41,21.6,rising,TRUE
consultations,2013-W04,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,2402,15780.6,1590,443.58,4.4,9.9,rising,TRUE
consultations,2013-W04,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W05,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,34004.9,177847.3,14982,417.77,4.96,100,rising,TRUE
consultations,2013-W05,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,8654.2,39004.7,2883,502.5,6.8,25.9,rising,TRUE
consultations,2013-W05,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,6612.4,32750.5,2609,482.43,6.06,19.8,rising,TRUE
consultations,2013-W05,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,5254.1,22095.8,1923,384.69,4.42,15.7,rising,TRUE
consultations,2013-W05,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,2955.8,22523.7,1944,381.82,4.42,8.9,rising,TRUE
consultations,2013-W05,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,7383,45494.3,4050,312.13,3.51,22.1,rising,TRUE
consultations,2013-W05,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,2507.8,15978.2,1573,463.13,4.7,7.5,stagnant,TRUE
consultations,2013-W05,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W06,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,39372.2,177792,14770,483.71,5.82,100,rising,TRUE
consultations,2013-W06,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,10304,40782.5,2979,598.3,8.19,26.8,rising,TRUE
consultations,2013-W06,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,7731.1,32443.8,2572,564.05,7.12,20.1,rising,TRUE
consultations,2013-W06,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,6131.9,25169,2157,448.96,5.24,15.9,rising,TRUE
consultations,2013-W06,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,3307.4,16149.9,1372,427.25,5.03,8.6,rising,TRUE
consultations,2013-W06,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,8073.9,46581.3,4078,341.34,3.9,21,stagnant,TRUE
consultations,2013-W06,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,2924.3,16665.4,1612,540.04,5.58,7.6,rising,TRUE
consultations,2013-W06,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
