,RMSE,lags,seasonal_lags,hidden_layers,alpha,batch_size,activation,learning_rate
0,1.186765410129243,15,[52],"(16, 16)",0.1,32,relu,0.0001
1,0.9072638558566887,15,[52],"(16, 16, 16)",0.1,32,relu,0.0001
2,1.1738168713648702,15,[52],"(16, 16)",0.15,32,relu,0.0001
3,0.9363302632338873,15,[52],"(16, 16, 16)",0.15,32,relu,0.0001
4,1.175703142730524,15,[52],"(16, 16)",0.2,32,relu,0.0001
5,0.9228728238835813,15,[52],"(16, 16, 16)",0.2,32,relu,0.0001
6,113.73864677343819,16,[52],"(16, 16)",0.1,32,relu,0.0001
7,1.4198314772718739,16,[52],"(16, 16, 16)",0.1,32,relu,0.0001
8,6.393444267597057,16,[52],"(16, 16)",0.15,32,relu,0.0001
9,1.3717740448642533,16,[52],"(16, 16, 16)",0.15,32,relu,0.0001
10,1.5574594765502017,16,[52],"(16, 16)",0.2,32,relu,0.0001
11,1.1599448440483748,16,[52],"(16, 16, 16)",0.2,32,relu,0.0001
12,0.9170120090312331,17,[52],"(16, 16)",0.1,32,relu,0.0001
13,0.9201130729214492,17,[52],"(16, 16, 16)",0.1,32,relu,0.0001
14,1.0829874811694749,17,[52],"(16, 16)",0.15,32,relu,0.0001
15,0.8962517749653717,17,[52],"(16, 16, 16)",0.15,32,relu,0.0001
16,1.1017026814989332,17,[52],"(16, 16)",0.2,32,relu,0.0001
17,0.9045165222939775,17,[52],"(16, 16, 16)",0.2,32,relu,0.0001
18,0.911202128953089,18,[52],"(16, 16)",0.1,32,relu,0.0001
19,0.9452157669548545,18,[52],"(16, 16, 16)",0.1,32,relu,0.0001
20,0.9547712719561584,18,[52],"(16, 16)",0.15,32,relu,0.0001
21,1.1677949688237699,18,[52],"(16, 16, 16)",0.15,32,relu,0.0001
22,0.7877976490043417,18,[52],"(16, 16)",0.2,32,relu,0.0001
23,1.2471510141548212,18,[52],"(16, 16, 16)",0.2,32,relu,0.0001
24,12.546905920528891,19,[52],"(16, 16)",0.1,32,relu,0.0001
25,1.0182958972789968,19,[52],"(16, 16, 16)",0.1,32,relu,0.0001
26,11.73015062266756,19,[52],"(16, 16)",0.15,32,relu,0.0001
27,1.070461843101366,19,[52],"(16, 16, 16)",0.15,32,relu,0.0001
28,8.84204789161665,19,[52],"(16, 16)",0.2,32,relu,0.0001
29,1.0733563766846599,19,[52],"(16, 16, 16)",0.2,32,relu,0.0001
30,0.9670567126191019,20,[52],"(16, 16)",0.1,32,relu,0.0001
31,0.9406243289028963,20,[52],"(16, 16, 16)",0.1,32,relu,0.0001
32,0.9280155091321568,20,[52],"(16, 16)",0.15,32,relu,0.0001
33,0.9189061648867316,20,[52],"(16, 16, 16)",0.15,32,relu,0.0001
34,0.9284137003694953,20,[52],"(16, 16)",0.2,32,relu,0.0001
35,1.003576662037878,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001
36,1.775193475735555,21,[52],"(16, 16)",0.1,32,relu,0.0001
37,1.004829217045134,21,[52],"(16, 16, 16)",0.1,32,relu,0.0001
38,1.382561890942904,21,[52],"(16, 16)",0.15,32,relu,0.0001
39,1.0681986527735863,21,[52],"(16, 16, 16)",0.15,32,relu,0.0001
40,1.243834871809032,21,[52],"(16, 16)",0.2,32,relu,0.0001
41,1.0500861267750992,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001
42,1.2119508452441612,22,[52],"(16, 16)",0.1,32,relu,0.0001
43,1.2501716023957878,22,[52],"(16, 16, 16)",0.1,32,relu,0.0001
44,1.2392520662522133,22,[52],"(16, 16)",0.15,32,relu,0.0001
45,1.2776503982948997,22,[52],"(16, 16, 16)",0.15,32,relu,0.0001
46,1.2511151594552155,22,[52],"(16, 16)",0.2,32,relu,0.0001
47,1.287614223750438,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001
48,1.0427463748826715,23,[52],"(16, 16)",0.1,32,relu,0.0001
49,1.0254400714895762,23,[52],"(16, 16, 16)",0.1,32,relu,0.0001
50,1.087557965176723,23,[52],"(16, 16)",0.15,32,relu,0.0001
51,1.099852835397965,23,[52],"(16, 16, 16)",0.15,32,relu,0.0001
52,1.1532266301649587,23,[52],"(16, 16)",0.2,32,relu,0.0001
53,1.1219391901326745,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001
54,1.0642512698845312,24,[52],"(16, 16)",0.1,32,relu,0.0001
55,1.1364518093893192,24,[52],"(16, 16, 16)",0.1,32,relu,0.0001
56,1.0489707346094108,24,[52],"(16, 16)",0.15,32,relu,0.0001
57,1.1331984197628522,24,[52],"(16, 16, 16)",0.15,32,relu,0.0001
58,1.1030690813976127,24,[52],"(16, 16)",0.2,32,relu,0.0001
59,1.1266108372992236,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001
60,0.773794147206651,25,[52],"(16, 16)",0.1,32,relu,0.0001
61,1.141927510768694,25,[52],"(16, 16, 16)",0.1,32,relu,0.0001
62,0.7838516579250854,25,[52],"(16, 16)",0.15,32,relu,0.0001
63,1.0803916556483644,25,[52],"(16, 16, 16)",0.15,32,relu,0.0001
64,0.8581692239489384,25,[52],"(16, 16)",0.2,32,relu,0.0001
65,1.138305288631786,25,[52],"(16, 16, 16)",0.2,32,relu,0.0001
66,0.968872181523146,26,[52],"(16, 16)",0.1,32,relu,0.0001
67,1.0281130964716745,26,[52],"(16, 16, 16)",0.1,32,relu,0.0001
68,0.9705067994051957,26,[52],"(16, 16)",0.15,32,relu,0.0001
69,1.0523724821422742,26,[52],"(16, 16, 16)",0.15,32,relu,0.0001
70,0.9909431552356261,26,[52],"(16, 16)",0.2,32,relu,0.0001
71,0.9695264293435336,26,[52],"(16, 16, 16)",0.2,32,relu,0.0001
72,1.2167725899866035,27,[52],"(16, 16)",0.1,32,relu,0.0001
73,1.7689247465871327,27,[52],"(16, 16, 16)",0.1,32,relu,0.0001
74,1.1540184182975317,27,[52],"(16, 16)",0.15,32,relu,0.0001
75,1.7466319682124547,27,[52],"(16, 16, 16)",0.15,32,relu,0.0001
76,1.1739904136115429,27,[52],"(16, 16)",0.2,32,relu,0.0001
77,1.6923392191821989,27,[52],"(16, 16, 16)",0.2,32,relu,0.0001
78,2.3217811287129138,28,[52],"(16, 16)",0.1,32,relu,0.0001
79,1.4450046028772172,28,[52],"(16, 16, 16)",0.1,32,relu,0.0001
80,2.2639781287053222,28,[52],"(16, 16)",0.15,32,relu,0.0001
81,1.4032976732920097,28,[52],"(16, 16, 16)",0.15,32,relu,0.0001
82,2.2079512563040242,28,[52],"(16, 16)",0.2,32,relu,0.0001
83,1.4199954971543878,28,[52],"(16, 16, 16)",0.2,32,relu,0.0001
84,0.96819422399498,29,[52],"(16, 16)",0.1,32,relu,0.0001
85,1.0709664493652318,29,[52],"(16, 16, 16)",0.1,32,relu,0.0001
86,1.046087484365773,29,[52],"(16, 16)",0.15,32,relu,0.0001
87,1.0585642924383583,29,[52],"(16, 16, 16)",0.15,32,relu,0.0001
88,1.0407817202464338,29,[52],"(16, 16)",0.2,32,relu,0.0001
89,1.0203804760541095,29,[52],"(16, 16, 16)",0.2,32,relu,0.0001
90,0.9829786969913545,30,[52],"(16, 16)",0.1,32,relu,0.0001
91,0.9693760713427236,30,[52],"(16, 16, 16)",0.1,32,relu,0.0001
92,0.828527537747377,30,[52],"(16, 16)",0.15,32,relu,0.0001
93,0.9747517641199283,30,[52],"(16, 16, 16)",0.15,32,relu,0.0001
94,0.8335593470379469,30,[52],"(16, 16)",0.2,32,relu,0.0001
95,0.976379134805755,30,[52],"(16, 16, 16)",0.2,32,relu,0.0001
96,1.3367715436740595,31,[52],"(16, 16)",0.1,32,relu,0.0001
97,0.8102357875078257,31,[52],"(16, 16, 16)",0.1,32,relu,0.0001
98,1.383414561428532,31,[52],"(16, 16)",0.15,32,relu,0.0001
99,0.7779796737466332,31,[52],"(16, 16, 16)",0.15,32,relu,0.0001
100,1.3756785992577074,31,[52],"(16, 16)",0.2,32,relu,0.0001
101,0.7932173595738657,31,[52],"(16, 16, 16)",0.2,32,relu,0.0001
102,0.9969074605877903,32,[52],"(16, 16)",0.1,32,relu,0.0001
103,1.1581349089211879,32,[52],"(16, 16, 16)",0.1,32,relu,0.0001
