Kategorie: Alle Kategorien

Woche,Flu: (Aargau),Influenza: (Aargau),influenza: (Aargau),Grippe: (Aargau)
2013-01-06,0,27,28,28
2013-01-13,0,34,0,13
2013-01-20,33,36,0,20
2013-01-27,11,32,0,27
2013-02-03,17,44,10,24
2013-02-10,0,43,0,40
2013-02-17,0,31,21,8
2013-02-24,17,34,0,37
2013-03-03,10,23,21,44
2013-03-10,25,25,0,20
2013-03-17,0,21,0,21
2013-03-24,0,16,8,17
2013-03-31,0,22,9,22
2013-04-07,0,8,8,26
2013-04-14,0,17,0,13
2013-04-21,0,0,20,14
2013-04-28,0,24,0,10
2013-05-05,0,18,0,0
2013-05-12,8,16,0,0
2013-05-19,0,0,0,0
2013-05-26,0,7,0,11
2013-06-02,0,15,0,0
2013-06-09,0,16,0,0
2013-06-16,0,0,0,0
2013-06-23,0,11,26,9
2013-06-30,0,0,0,0
2013-07-07,18,0,9,0
2013-07-14,35,20,0,13
2013-07-21,0,0,0,0
2013-07-28,0,0,0,0
2013-08-04,15,0,0,34
2013-08-11,0,0,0,0
2013-08-18,7,0,0,0
2013-08-25,0,10,0,0
2013-09-01,0,7,0,0
2013-09-08,9,14,0,14
2013-09-15,0,0,0,0
2013-09-22,0,0,0,31
2013-09-29,0,0,0,11
2013-10-06,0,0,0,9
2013-10-13,0,0,9,9
2013-10-20,8,35,0,0
2013-10-27,0,20,7,0
2013-11-03,0,12,0,23
2013-11-10,12,21,0,21
2013-11-17,0,0,0,0
2013-11-24,7,8,0,6
2013-12-01,0,10,0,13
2013-12-08,22,18,7,10
2013-12-15,0,19,0,13
2013-12-22,0,11,0,27
2013-12-29,11,0,0,19
2014-01-05,0,22,0,28
2014-01-12,7,23,0,22
2014-01-19,0,25,10,37
2014-01-26,0,23,0,32
2014-02-02,10,31,14,28
2014-02-09,0,15,6,10
2014-02-16,0,17,7,31
2014-02-23,0,18,0,19
2014-03-02,0,33,0,19
2014-03-09,0,16,0,18
2014-03-16,0,22,0,0
2014-03-23,7,18,7,14
2014-03-30,19,7,0,20
2014-04-06,0,15,0,20
2014-04-13,0,9,0,0
2014-04-20,0,9,0,25
2014-04-27,0,10,9,23
2014-05-04,0,14,0,6
2014-05-11,0,9,31,0
2014-05-18,0,0,0,7
2014-05-25,0,20,0,0
2014-06-01,8,8,0,0
2014-06-08,21,10,0,0
2014-06-15,0,0,0,0
2014-06-22,0,9,0,17
2014-06-29,0,26,0,8
2014-07-06,0,0,0,0
2014-07-13,15,11,11,0
2014-07-20,0,0,15,15
2014-07-27,0,11,0,0
2014-08-03,0,13,0,10
2014-08-10,0,0,16,0
2014-08-17,0,0,0,0
2014-08-24,0,66,0,0
2014-08-31,17,8,8,23
2014-09-07,0,28,0,16
2014-09-14,18,0,0,17
2014-09-21,0,0,0,13
2014-09-28,23,0,0,0
2014-10-05,0,0,0,0
2014-10-12,0,23,0,9
2014-10-19,0,0,0,0
2014-10-26,0,19,0,0
2014-11-02,0,0,0,9
2014-11-09,0,0,0,0
2014-11-16,0,16,8,32
2014-11-23,12,17,0,13
2014-11-30,0,29,28,37
2014-12-07,19,34,11,0
2014-12-14,0,8,0,9
2014-12-21,13,11,0,0
2014-12-28,25,17,0,0
2015-01-04,0,19,22,20
2015-01-11,0,27,8,0
2015-01-18,0,27,0,27
2015-01-25,0,27,13,26
2015-02-01,22,58,0,50
2015-02-08,0,55,17,58
2015-02-15,14,100,13,83
2015-02-22,0,57,0,49
2015-03-01,10,40,0,31
2015-03-08,0,24,7,12
2015-03-15,0,18,0,33
2015-03-22,12,24,0,45
2015-03-29,0,53,7,14
2015-04-05,19,40,0,28
2015-04-12,0,0,0,0
2015-04-19,0,15,0,8
2015-04-26,0,0,0,0
2015-05-03,0,0,0,24
2015-05-10,0,17,0,0
2015-05-17,0,0,0,0
2015-05-24,0,9,13,14
2015-05-31,0,0,0,13
2015-06-07,8,11,0,0
2015-06-14,0,23,9,16
2015-06-21,0,0,0,18
2015-06-28,17,0,0,0
2015-07-05,0,0,0,0
2015-07-12,0,17,0,25
2015-07-19,12,14,0,0
2015-07-26,16,9,0,19
2015-08-02,0,0,22,0
2015-08-09,0,0,20,0
2015-08-16,12,0,0,21
2015-08-23,12,7,0,0
2015-08-30,0,0,0,22
2015-09-06,0,0,0,0
2015-09-13,0,15,10,26
2015-09-20,0,0,0,24
2015-09-27,0,0,0,27
2015-10-04,10,25,0,11
2015-10-11,0,21,0,0
2015-10-18,0,0,0,0
2015-10-25,0,36,0,28
2015-11-01,0,0,0,25
2015-11-08,0,11,0,8
2015-11-15,0,0,0,13
2015-11-22,0,12,0,14
2015-11-29,0,12,0,0
2015-12-06,0,33,0,8
2015-12-13,0,23,0,14
2015-12-20,37,15,0,0
2015-12-27,0,0,0,0
2016-01-03,0,25,0,18
2016-01-10,0,18,0,16
2016-01-17,0,13,0,23
2016-01-24,0,43,0,25
2016-01-31,0,32,0,55
2016-02-07,0,44,7,30
2016-02-14,6,45,0,57
2016-02-21,10,50,10,39
2016-02-28,0,44,0,41
2016-03-06,0,21,8,29
2016-03-13,0,41,0,42
2016-03-20,0,38,21,20
2016-03-27,0,28,0,12
2016-04-03,12,32,0,31
2016-04-10,0,0,0,8
2016-04-17,0,0,0,0
2016-04-24,0,17,0,23
2016-05-01,0,0,0,0
2016-05-08,0,0,17,12
2016-05-15,0,6,0,19
2016-05-22,7,0,0,6
2016-05-29,0,0,0,0
2016-06-05,0,0,6,0
2016-06-12,0,0,0,9
2016-06-19,0,0,0,0
2016-06-26,0,15,0,11
2016-07-03,0,0,0,9
2016-07-10,0,0,0,0
2016-07-17,10,0,14,0
2016-07-24,0,0,0,0
2016-07-31,13,0,0,11
2016-08-07,0,41,0,0
2016-08-14,0,17,0,0
2016-08-21,0,0,0,10
2016-08-28,0,0,0,10
2016-09-04,17,0,0,17
2016-09-11,0,14,0,0
2016-09-18,0,19,26,15
2016-09-25,15,16,0,0
2016-10-02,0,0,0,32
2016-10-09,0,9,0,7
2016-10-16,0,21,8,14
2016-10-23,0,10,0,17
2016-10-30,0,12,0,23
2016-11-06,9,34,13,0
2016-11-13,0,36,7,24
2016-11-20,0,17,10,8
2016-11-27,9,24,0,11
2016-12-04,0,37,0,28
2016-12-11,17,46,24,45
2016-12-18,14,71,0,35
2016-12-25,0,61,0,57
2017-01-01,0,72,7,29
2017-01-08,0,54,24,40
2017-01-15,0,65,7,27
2017-01-22,0,42,0,35
2017-01-29,18,65,15,45
2017-02-05,0,33,0,28
2017-02-12,0,18,0,17
2017-02-19,0,26,0,41
2017-02-26,0,33,0,33
2017-03-05,0,23,0,19
2017-03-12,0,21,0,22
2017-03-19,0,16,0,44
2017-03-26,11,9,6,7
2017-04-02,0,17,0,15
2017-04-09,9,22,0,18
2017-04-16,0,10,0,7
2017-04-23,0,20,0,12
2017-04-30,0,0,0,11
2017-05-07,0,0,0,0
2017-05-14,0,0,0,8
2017-05-21,0,0,24,0
2017-05-28,0,17,0,0
2017-06-04,0,0,20,0
2017-06-11,50,0,6,0
2017-06-18,0,11,0,0
2017-06-25,8,0,0,10
2017-07-02,6,16,0,7
2017-07-09,0,0,0,0
2017-07-16,0,0,0,0
2017-07-23,0,14,0,0
2017-07-30,25,9,0,16
2017-08-06,0,0,9,15
2017-08-13,0,0,0,0
2017-08-20,0,0,0,17
2017-08-27,11,6,0,0
2017-09-03,0,6,0,11
2017-09-10,0,14,0,24
2017-09-17,23,0,0,6
2017-09-24,7,28,0,22
2017-10-01,25,16,0,17
2017-10-08,0,16,0,9
2017-10-15,0,32,0,24
2017-10-22,0,34,8,25
2017-10-29,10,21,0,14
2017-11-05,0,18,12,14
2017-11-12,0,13,0,0
2017-11-19,0,29,0,19
2017-11-26,6,25,0,17
2017-12-03,11,20,0,9
2017-12-10,0,26,8,16
2017-12-17,6,36,0,36
2017-12-24,11,43,10,29
2017-12-31,0,61,13,41
