Kategorie: Alle Kategorien

Woche,husten: (Aargau),Fieber: (Aargau),fièvre: (Aargau),toux: (Aargau)
2013-01-06,30,17,0,0
2013-01-13,51,32,0,0
2013-01-20,19,76,0,0
2013-01-27,93,43,0,0
2013-02-03,59,24,0,50
2013-02-10,0,57,0,0
2013-02-17,20,26,0,0
2013-02-24,24,100,0,0
2013-03-03,25,60,0,0
2013-03-10,29,39,0,0
2013-03-17,36,49,0,10
2013-03-24,0,31,0,0
2013-03-31,52,15,0,0
2013-04-07,17,0,0,0
2013-04-14,30,40,0,0
2013-04-21,28,0,0,0
2013-04-28,0,34,0,0
2013-05-05,0,26,0,32
2013-05-12,16,31,0,0
2013-05-19,0,34,0,0
2013-05-26,0,0,0,0
2013-06-02,58,16,0,0
2013-06-09,13,39,0,14
2013-06-16,0,52,0,0
2013-06-23,41,15,0,17
2013-06-30,54,15,0,0
2013-07-07,27,37,0,0
2013-07-14,16,40,0,0
2013-07-21,0,31,0,0
2013-07-28,31,0,0,0
2013-08-04,0,29,0,12
2013-08-11,0,41,0,0
2013-08-18,20,0,0,0
2013-08-25,14,0,0,0
2013-09-01,0,32,0,14
2013-09-08,18,34,0,12
2013-09-15,0,24,0,0
2013-09-22,0,45,0,0
2013-09-29,38,15,0,0
2013-10-06,0,13,0,15
2013-10-13,0,34,0,14
2013-10-20,15,21,0,22
2013-10-27,0,19,0,0
2013-11-03,17,38,0,0
2013-11-10,0,26,0,23
2013-11-17,0,46,0,0
2013-11-24,16,25,0,0
2013-12-01,17,27,0,0
2013-12-08,34,32,0,20
2013-12-15,34,38,0,0
2013-12-22,36,27,0,0
2013-12-29,17,0,0,32
2014-01-05,11,27,0,0
2014-01-12,0,0,0,9
2014-01-19,37,23,0,0
2014-01-26,32,0,0,0
2014-02-02,54,35,0,0
2014-02-09,37,23,0,0
2014-02-16,34,0,0,0
2014-02-23,12,17,0,26
2014-03-02,12,20,0,0
2014-03-09,50,38,0,0
2014-03-16,19,41,0,29
2014-03-23,26,37,0,0
2014-03-30,12,21,0,0
2014-04-06,25,23,0,18
2014-04-13,62,36,0,17
2014-04-20,32,40,0,0
2014-04-27,20,32,0,14
2014-05-04,19,18,0,0
2014-05-11,23,36,0,0
2014-05-18,28,29,0,0
2014-05-25,0,0,0,0
2014-06-01,14,0,0,0
2014-06-08,37,25,0,0
2014-06-15,20,0,0,0
2014-06-22,12,19,0,0
2014-06-29,27,36,0,0
2014-07-06,25,62,0,20
2014-07-13,36,34,0,0
2014-07-20,17,32,0,0
2014-07-27,0,66,0,0
2014-08-03,22,41,0,0
2014-08-10,0,84,0,0
2014-08-17,13,39,0,0
2014-08-24,19,0,0,0
2014-08-31,0,60,0,0
2014-09-07,26,15,0,0
2014-09-14,28,40,0,0
2014-09-21,16,0,0,0
2014-09-28,0,45,0,0
2014-10-05,25,37,0,0
2014-10-12,22,21,0,0
2014-10-19,12,19,0,0
2014-10-26,32,49,0,0
2014-11-02,21,28,0,0
2014-11-09,31,31,0,19
2014-11-16,0,47,0,0
2014-11-23,60,24,0,0
2014-11-30,45,42,0,0
2014-12-07,11,60,0,0
2014-12-14,75,48,0,0
2014-12-21,31,66,0,0
2014-12-28,52,47,0,0
2015-01-04,0,51,0,0
2015-01-11,26,27,0,0
2015-01-18,25,53,0,0
2015-01-25,34,16,0,0
2015-02-01,15,41,0,0
2015-02-08,54,65,0,0
2015-02-15,38,35,0,15
2015-02-22,63,52,0,0
2015-03-01,30,62,0,0
2015-03-08,57,49,0,0
2015-03-15,14,22,0,0
2015-03-22,13,49,0,0
2015-03-29,30,37,0,0
2015-04-05,31,41,0,0
2015-04-12,32,0,0,0
2015-04-19,24,58,0,0
2015-04-26,11,59,0,0
2015-05-03,0,60,0,24
2015-05-10,22,26,0,0
2015-05-17,31,21,0,0
2015-05-24,19,50,0,0
2015-05-31,13,36,0,28
2015-06-07,0,15,0,0
2015-06-14,17,41,0,0
2015-06-21,21,13,0,0
2015-06-28,0,36,0,0
2015-07-05,24,63,0,0
2015-07-12,20,40,0,0
2015-07-19,25,0,0,0
2015-07-26,0,38,0,0
2015-08-02,0,18,0,43
2015-08-09,0,0,0,0
2015-08-16,0,35,0,15
2015-08-23,22,46,0,0
2015-08-30,37,22,0,0
2015-09-06,48,0,0,0
2015-09-13,0,12,0,0
2015-09-20,0,13,0,15
2015-09-27,41,37,0,0
2015-10-04,0,52,0,0
2015-10-11,33,36,0,27
2015-10-18,15,30,0,0
2015-10-25,21,36,0,0
2015-11-01,29,30,0,0
2015-11-08,15,33,0,0
2015-11-15,47,0,0,0
2015-11-22,52,17,0,0
2015-11-29,27,17,0,19
2015-12-06,33,39,0,0
2015-12-13,0,30,0,0
2015-12-20,28,43,0,0
2015-12-27,21,0,0,0
2016-01-03,84,28,0,0
2016-01-10,56,34,0,0
2016-01-17,26,49,0,0
2016-01-24,48,46,0,0
2016-01-31,43,53,0,0
2016-02-07,0,53,0,0
2016-02-14,62,45,0,12
2016-02-21,24,39,0,0
2016-02-28,35,51,0,0
2016-03-06,40,59,0,0
2016-03-13,65,59,0,0
2016-03-20,33,50,0,0
2016-03-27,19,100,0,0
2016-04-03,58,38,0,0
2016-04-10,27,15,0,0
2016-04-17,28,19,0,0
2016-04-24,9,19,0,0
2016-05-01,0,50,0,0
2016-05-08,24,31,0,0
2016-05-15,0,38,0,0
2016-05-22,15,0,0,0
2016-05-29,25,35,0,0
2016-06-05,43,27,0,0
2016-06-12,14,17,0,0
2016-06-19,24,38,0,0
2016-06-26,27,29,0,0
2016-07-03,25,69,0,0
2016-07-10,21,15,0,0
2016-07-17,58,33,0,14
2016-07-24,0,74,0,0
2016-07-31,0,23,0,0
2016-08-07,0,0,0,0
2016-08-14,0,36,0,0
2016-08-21,15,27,0,0
2016-08-28,14,35,0,0
2016-09-04,15,60,0,0
2016-09-11,26,33,0,0
2016-09-18,0,38,0,11
2016-09-25,0,38,0,0
2016-10-02,28,38,0,0
2016-10-09,36,37,0,0
2016-10-16,47,0,0,0
2016-10-23,27,0,0,23
2016-10-30,18,30,0,0
2016-11-06,20,49,0,44
2016-11-13,16,41,0,0
2016-11-20,33,23,0,0
2016-11-27,0,27,0,0
2016-12-04,33,66,0,14
2016-12-11,43,68,0,0
2016-12-18,41,42,0,0
2016-12-25,34,80,0,0
2017-01-01,58,33,0,0
2017-01-08,37,77,0,0
2017-01-15,69,65,0,0
2017-01-22,32,75,0,0
2017-01-29,13,55,0,0
2017-02-05,48,72,0,0
2017-02-12,37,35,0,0
2017-02-19,16,50,0,0
2017-02-26,56,37,0,0
2017-03-05,47,31,0,0
2017-03-12,30,52,0,0
2017-03-19,51,36,0,0
2017-03-26,48,55,0,51
2017-04-02,43,27,0,21
2017-04-09,24,32,0,0
2017-04-16,28,40,0,0
2017-04-23,11,12,0,0
2017-04-30,28,36,0,0
2017-05-07,21,61,0,0
2017-05-14,10,28,0,0
2017-05-21,23,37,0,0
2017-05-28,14,60,0,0
2017-06-04,22,32,0,0
2017-06-11,42,56,0,0
2017-06-18,0,0,0,0
2017-06-25,15,29,0,0
2017-07-02,31,24,0,0
2017-07-09,12,72,0,0
2017-07-16,0,16,0,0
2017-07-23,68,26,0,0
2017-07-30,19,49,0,0
2017-08-06,18,41,0,20
2017-08-13,0,55,0,0
2017-08-20,24,61,0,0
2017-08-27,43,47,0,0
2017-09-03,0,35,0,0
2017-09-10,26,13,0,0
2017-09-17,0,61,0,11
2017-09-24,45,49,0,0
2017-10-01,0,37,0,0
2017-10-08,46,33,0,0
2017-10-15,0,21,0,0
2017-10-22,0,28,0,0
2017-10-29,12,50,0,0
2017-11-05,37,45,0,10
2017-11-12,0,34,0,0
2017-11-19,48,32,0,0
2017-11-26,14,36,0,0
2017-12-03,36,29,0,0
2017-12-10,35,28,0,0
2017-12-17,31,25,0,12
2017-12-24,54,97,0,10
2017-12-31,39,64,0,0
