Kategorie: Alle Kategorien

Woche,Influenza: (Bern),influenza: (Bern),Grippe: (Bern),Flu: (Bern)
2013-01-06,44,6,43,5
2013-01-13,44,6,34,4
2013-01-20,63,5,43,6
2013-01-27,84,6,68,12
2013-02-03,48,0,50,0
2013-02-10,52,0,46,0
2013-02-17,41,0,43,0
2013-02-24,42,0,29,5
2013-03-03,44,0,41,0
2013-03-10,38,0,28,6
2013-03-17,7,6,31,0
2013-03-24,20,0,18,0
2013-03-31,15,0,16,0
2013-04-07,8,0,12,0
2013-04-14,13,5,10,0
2013-04-21,12,0,8,0
2013-04-28,10,0,0,5
2013-05-05,0,0,11,0
2013-05-12,0,7,0,0
2013-05-19,6,7,0,0
2013-05-26,11,0,13,0
2013-06-02,7,8,5,0
2013-06-09,0,0,0,6
2013-06-16,18,0,0,0
2013-06-23,9,0,9,0
2013-06-30,9,0,5,0
2013-07-07,9,0,0,0
2013-07-14,0,14,0,9
2013-07-21,11,6,0,0
2013-07-28,0,0,7,0
2013-08-04,12,0,0,0
2013-08-11,7,0,10,7
2013-08-18,0,0,9,0
2013-08-25,8,0,0,0
2013-09-01,9,0,8,0
2013-09-08,0,0,21,0
2013-09-15,10,0,12,0
2013-09-22,14,6,18,0
2013-09-29,5,0,0,7
2013-10-06,6,14,0,0
2013-10-13,17,0,29,7
2013-10-20,11,9,14,16
2013-10-27,23,0,17,0
2013-11-03,8,0,0,0
2013-11-10,22,0,20,5
2013-11-17,16,0,14,0
2013-11-24,12,0,48,7
2013-12-01,7,0,0,0
2013-12-08,17,5,11,9
2013-12-15,17,0,10,0
2013-12-22,0,0,6,0
2013-12-29,12,0,15,0
2014-01-05,31,0,7,5
2014-01-12,11,0,10,0
2014-01-19,19,7,9,0
2014-01-26,23,5,10,15
2014-02-02,39,0,49,0
2014-02-09,46,10,28,6
2014-02-16,9,9,31,8
2014-02-23,44,7,25,6
2014-03-02,21,0,26,0
2014-03-09,5,0,11,0
2014-03-16,13,0,9,0
2014-03-23,17,0,15,17
2014-03-30,0,5,0,0
2014-04-06,10,5,20,0
2014-04-13,0,8,0,0
2014-04-20,9,5,0,0
2014-04-27,11,0,6,0
2014-05-04,10,0,0,0
2014-05-11,6,0,0,0
2014-05-18,11,21,0,9
2014-05-25,0,6,0,0
2014-06-01,0,0,0,21
2014-06-08,27,0,9,0
