Kategorie: Alle Kategorien

Woche,Influenza: (Basel-Stadt),influenza: (Basel-Stadt),Grippe: (Basel-Stadt),Flu: (Basel-Stadt)
2013-01-06,49,0,23,8
2013-01-13,41,7,31,15
2013-01-20,36,11,21,0
2013-01-27,67,12,45,9
2013-02-03,59,0,33,8
2013-02-10,42,11,0,7
2013-02-17,52,0,28,0
2013-02-24,53,0,33,15
2013-03-03,52,0,36,10
2013-03-10,39,11,28,17
2013-03-17,19,0,15,0
2013-03-24,16,0,17,0
2013-03-31,33,9,9,0
2013-04-07,36,7,16,13
2013-04-14,17,0,0,11
2013-04-21,37,0,8,0
2013-04-28,13,0,19,10
2013-05-05,0,0,0,0
2013-05-12,9,11,18,0
2013-05-19,11,0,20,0
2013-05-26,23,14,30,11
2013-06-02,25,0,0,0
2013-06-09,23,0,0,9
2013-06-16,0,0,14,14
2013-06-23,10,0,8,0
2013-06-30,12,0,0,11
2013-07-07,0,0,0,19
2013-07-14,14,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,0,0,0
2013-08-04,0,0,27,0
2013-08-11,24,31,0,0
2013-08-18,0,0,24,0
2013-08-25,17,0,28,16
2013-09-01,0,19,0,0
2013-09-08,10,13,15,0
2013-09-15,10,0,0,40
2013-09-22,10,36,0,17
2013-09-29,0,0,0,0
2013-10-06,20,0,0,28
2013-10-13,34,0,0,0
2013-10-20,12,10,14,16
2013-10-27,0,0,0,35
2013-11-03,33,8,14,13
2013-11-10,40,26,28,13
2013-11-17,0,0,18,0
2013-11-24,22,10,19,0
2013-12-01,0,0,10,0
2013-12-08,28,0,17,0
2013-12-15,14,91,29,12
2013-12-22,0,0,0,0
2013-12-29,32,0,0,0
2014-01-05,21,0,34,0
2014-01-12,14,0,15,0
2014-01-19,30,40,15,0
2014-01-26,20,0,16,20
2014-02-02,40,0,13,11
2014-02-09,17,0,0,0
2014-02-16,47,0,24,23
2014-02-23,28,0,31,0
2014-03-02,27,0,34,0
2014-03-09,16,32,30,0
2014-03-16,0,0,0,0
2014-03-23,42,9,39,0
2014-03-30,22,11,12,0
2014-04-06,25,13,15,14
2014-04-13,25,0,18,0
2014-04-20,9,0,40,0
2014-04-27,0,0,0,0
2014-05-04,9,16,23,0
2014-05-11,21,0,0,0
2014-05-18,12,16,0,0
2014-05-25,19,0,16,0
2014-06-01,0,13,12,0
2014-06-08,20,0,37,11
2014-06-15,0,0,0,0
2014-06-22,9,0,0,0
2014-06-29,13,0,0,20
2014-07-06,0,0,0,0
2014-07-13,0,0,14,14
2014-07-20,24,0,0,11
2014-07-27,20,0,0,0
2014-08-03,15,22,28,0
2014-08-10,0,0,0,0
2014-08-17,0,18,13,0
2014-08-24,11,0,0,14
2014-08-31,23,9,12,0
2014-09-07,0,0,10,9
2014-09-14,0,0,12,0
2014-09-21,0,0,0,0
2014-09-28,0,0,0,0
2014-10-05,21,0,27,0
2014-10-12,25,12,24,11
2014-10-19,39,0,21,0
2014-10-26,28,0,8,11
2014-11-02,22,0,22,0
2014-11-09,34,0,22,12
2014-11-16,16,0,20,0
2014-11-23,31,26,17,0
2014-11-30,21,20,13,11
2014-12-07,13,28,29,0
2014-12-14,24,0,20,19
2014-12-21,29,27,23,0
2014-12-28,26,0,20,16
2015-01-04,8,8,0,0
2015-01-11,19,0,0,18
2015-01-18,17,0,41,0
2015-01-25,50,22,29,13
2015-02-01,90,0,59,0
2015-02-08,63,18,54,0
2015-02-15,78,14,71,0
2015-02-22,85,0,79,0
2015-03-01,67,13,39,8
2015-03-08,33,0,31,0
2015-03-15,59,0,28,12
2015-03-22,12,0,0,0
2015-03-29,24,0,0,12
2015-04-05,20,0,11,0
2015-04-12,26,0,10,0
2015-04-19,0,0,0,7
2015-04-26,30,0,0,17
2015-05-03,20,0,11,0
2015-05-10,0,0,0,0
2015-05-17,0,0,0,10
2015-05-24,18,0,0,11
2015-05-31,12,0,0,9
2015-06-07,0,26,0,0
2015-06-14,0,0,0,0
2015-06-21,14,0,33,0
2015-06-28,26,0,0,29
2015-07-05,47,0,0,0
2015-07-12,0,0,19,0
2015-07-19,0,13,0,18
2015-07-26,11,0,0,0
2015-08-02,0,0,0,0
2015-08-09,0,0,0,0
2015-08-16,18,0,0,0
2015-08-23,0,0,0,0
2015-08-30,0,0,0,0
2015-09-06,38,0,12,0
2015-09-13,37,0,13,0
2015-09-20,25,0,17,16
2015-09-27,24,0,0,12
2015-10-04,23,0,15,0
2015-10-11,15,0,0,19
2015-10-18,0,31,29,0
2015-10-25,21,21,0,0
2015-11-01,42,0,0,23
2015-11-08,0,0,29,0
2015-11-15,19,0,9,11
2015-11-22,33,0,12,12
2015-11-29,0,34,0,0
2015-12-06,21,0,11,0
2015-12-13,0,0,0,0
2015-12-20,0,0,25,0
2015-12-27,26,0,64,0
2016-01-03,30,13,0,0
2016-01-10,51,13,0,0
2016-01-17,44,0,27,0
2016-01-24,30,0,36,19
2016-01-31,14,10,20,0
2016-02-07,46,0,30,14
2016-02-14,42,0,20,47
2016-02-21,66,14,18,0
2016-02-28,38,0,13,12
2016-03-06,35,0,56,23
2016-03-13,34,0,53,69
2016-03-20,18,24,34,17
2016-03-27,20,14,19,0
2016-04-03,0,0,23,12
2016-04-10,0,0,11,0
2016-04-17,11,13,32,0
2016-04-24,21,0,0,0
2016-05-01,33,21,19,0
2016-05-08,12,0,0,0
2016-05-15,0,13,0,0
2016-05-22,0,0,0,0
2016-05-29,0,0,23,10
2016-06-05,0,0,0,0
2016-06-12,27,0,0,0
2016-06-19,0,0,0,15
2016-06-26,0,0,0,0
2016-07-03,0,25,0,22
2016-07-10,0,0,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,0
2016-07-31,0,0,0,0
2016-08-07,0,0,34,0
2016-08-14,14,12,0,0
2016-08-21,0,41,0,0
2016-08-28,0,13,0,13
2016-09-04,19,0,11,0
2016-09-11,0,0,0,16
2016-09-18,13,0,19,0
2016-09-25,0,20,13,0
2016-10-02,0,0,12,0
2016-10-09,0,0,0,0
2016-10-16,44,0,36,0
2016-10-23,20,15,15,9
2016-10-30,28,10,23,0
2016-11-06,14,0,0,0
2016-11-13,34,0,16,0
2016-11-20,28,24,14,0
2016-11-27,32,0,22,0
2016-12-04,19,0,15,0
2016-12-11,41,0,37,0
2016-12-18,63,0,31,21
2016-12-25,76,57,84,0
2017-01-01,80,0,66,10
2017-01-08,74,9,54,11
2017-01-15,64,22,50,0
2017-01-22,59,14,48,14
2017-01-29,59,10,26,0
2017-02-05,56,0,18,0
2017-02-12,30,35,26,0
2017-02-19,0,0,9,0
2017-02-26,35,0,0,0
2017-03-05,23,0,54,0
2017-03-12,37,10,26,8
2017-03-19,23,11,11,0
2017-03-26,12,27,31,8
2017-04-02,19,24,0,14
2017-04-09,0,0,0,0
2017-04-16,25,7,32,22
2017-04-23,0,0,0,15
2017-04-30,7,11,0,6
2017-05-07,20,0,0,10
2017-05-14,13,0,0,0
2017-05-21,10,10,12,0
2017-05-28,0,7,0,0
2017-06-04,8,7,9,0
2017-06-11,0,0,0,9
2017-06-18,0,0,0,0
2017-06-25,14,12,0,0
2017-07-02,19,8,0,0
2017-07-09,0,0,10,0
2017-07-16,0,16,0,0
2017-07-23,10,0,0,8
2017-07-30,25,0,11,17
2017-08-06,9,0,0,0
2017-08-13,0,0,0,0
2017-08-20,9,0,14,0
2017-08-27,0,0,0,0
2017-09-03,13,48,0,0
2017-09-10,12,0,0,21
2017-09-17,42,16,46,10
2017-09-24,18,0,0,0
2017-10-01,24,61,26,11
2017-10-08,0,0,0,12
2017-10-15,34,0,12,16
2017-10-22,52,17,10,0
2017-10-29,27,20,0,17
2017-11-05,100,0,35,18
2017-11-12,0,15,27,0
2017-11-19,0,0,0,0
2017-11-26,36,0,34,0
2017-12-03,27,0,22,14
2017-12-10,26,0,0,23
2017-12-17,27,14,0,0
2017-12-24,48,0,21,0
2017-12-31,88,0,44,0
