Kategorie: Alle Kategorien

Woche,husten: (Basel-Stadt),Fieber: (Basel-Stadt),fièvre: (Basel-Stadt),toux: (Basel-Stadt)
2013-01-06,18,18,0,0
2013-01-13,12,12,0,0
2013-01-20,35,0,0,0
2013-01-27,0,35,0,0
2013-02-03,0,43,0,8
2013-02-10,10,19,17,0
2013-02-17,29,29,0,0
2013-02-24,24,19,0,0
2013-03-03,0,0,0,0
2013-03-10,29,9,0,0
2013-03-17,0,20,0,0
2013-03-24,0,38,0,0
2013-03-31,16,11,8,0
2013-04-07,8,12,0,0
2013-04-14,22,22,0,8
2013-04-21,18,0,0,0
2013-04-28,13,0,9,0
2013-05-05,22,16,0,11
2013-05-12,36,13,0,0
2013-05-19,0,28,12,0
2013-05-26,10,0,0,7
2013-06-02,20,18,0,0
2013-06-09,0,35,0,0
2013-06-16,0,17,9,15
2013-06-23,0,33,0,0
2013-06-30,12,27,0,0
2013-07-07,0,43,0,0
2013-07-14,0,23,0,0
2013-07-21,0,25,0,0
2013-07-28,21,16,0,0
2013-08-04,0,33,0,0
2013-08-11,0,15,0,0
2013-08-18,0,34,15,17
2013-08-25,14,13,0,10
2013-09-01,20,18,0,0
2013-09-08,51,26,0,0
2013-09-15,11,13,0,0
2013-09-22,18,0,0,0
2013-09-29,0,17,0,28
2013-10-06,0,0,0,0
2013-10-13,15,0,0,0
2013-10-20,20,9,0,11
2013-10-27,22,22,0,0
2013-11-03,22,14,29,0
2013-11-10,18,16,0,0
2013-11-17,0,12,0,11
2013-11-24,11,17,0,0
2013-12-01,57,0,13,0
2013-12-08,18,28,40,18
2013-12-15,49,22,0,0
2013-12-22,100,0,0,0
2013-12-29,20,0,0,0
2014-01-05,13,11,0,0
2014-01-12,0,13,16,0
2014-01-19,45,19,0,0
2014-01-26,15,16,0,0
2014-02-02,13,0,0,0
2014-02-09,33,21,0,0
2014-02-16,21,25,10,0
2014-02-23,30,13,0,0
2014-03-02,32,30,0,0
2014-03-09,21,0,0,0
2014-03-16,25,21,13,0
2014-03-23,13,41,0,12
2014-03-30,27,48,0,0
2014-04-06,55,31,0,0
2014-04-13,29,0,0,14
2014-04-20,13,0,0,0
2014-04-27,16,38,0,0
2014-05-04,0,12,0,0
2014-05-11,0,17,0,0
2014-05-18,0,31,0,9
2014-05-25,14,36,0,0
2014-06-01,0,20,14,0
2014-06-08,0,17,47,0
2014-06-15,0,28,0,0
2014-06-22,0,20,0,0
2014-06-29,0,11,0,0
2014-07-06,27,26,0,0
2014-07-13,0,44,0,0
2014-07-20,0,0,0,0
2014-07-27,47,18,0,0
2014-08-03,0,42,0,0
2014-08-10,0,34,0,0
2014-08-17,19,12,0,0
2014-08-24,25,0,0,0
2014-08-31,0,31,0,0
2014-09-07,12,0,0,0
2014-09-14,11,29,13,0
2014-09-21,9,0,0,0
2014-09-28,0,18,0,0
2014-10-05,0,24,0,0
2014-10-12,15,23,0,22
2014-10-19,19,30,0,36
2014-10-26,9,18,0,0
2014-11-02,23,15,0,0
2014-11-09,11,29,0,0
2014-11-16,12,13,17,0
2014-11-23,24,0,0,0
2014-11-30,15,17,0,0
2014-12-07,42,10,0,8
2014-12-14,44,40,0,0
2014-12-21,27,0,0,0
2014-12-28,30,17,0,0
2015-01-04,20,15,12,0
2015-01-11,0,18,0,0
2015-01-18,11,26,0,17
2015-01-25,37,21,0,17
2015-02-01,26,56,0,0
2015-02-08,0,31,0,0
2015-02-15,17,51,23,18
2015-02-22,0,31,0,12
2015-03-01,19,21,0,19
2015-03-08,0,17,0,0
2015-03-15,23,35,0,18
2015-03-22,0,18,0,10
2015-03-29,11,18,0,0
2015-04-05,24,0,0,0
2015-04-12,0,22,0,13
2015-04-19,0,13,0,16
2015-04-26,0,8,0,11
2015-05-03,0,31,0,0
2015-05-10,16,0,0,0
2015-05-17,0,9,0,18
2015-05-24,25,53,0,0
2015-05-31,11,14,9,21
2015-06-07,0,11,10,0
2015-06-14,0,24,0,0
2015-06-21,28,12,0,0
2015-06-28,37,30,0,17
2015-07-05,11,0,0,0
2015-07-12,0,29,21,0
2015-07-19,0,0,0,29
2015-07-26,0,13,27,0
2015-08-02,0,25,20,0
2015-08-09,0,39,0,0
2015-08-16,27,43,0,0
2015-08-23,18,0,0,0
2015-08-30,20,0,24,0
2015-09-06,17,0,0,0
2015-09-13,0,0,0,0
2015-09-20,22,25,0,0
2015-09-27,17,22,0,0
2015-10-04,13,11,13,10
2015-10-11,12,0,0,0
2015-10-18,14,0,20,0
2015-10-25,14,36,0,0
2015-11-01,0,18,15,11
2015-11-08,0,20,0,22
2015-11-15,11,0,17,0
2015-11-22,14,71,22,13
2015-11-29,24,21,0,0
2015-12-06,12,0,0,0
2015-12-13,30,0,0,0
2015-12-20,15,14,0,0
2015-12-27,52,37,0,34
2016-01-03,22,38,0,0
2016-01-10,0,24,0,0
2016-01-17,0,13,0,0
2016-01-24,31,11,0,0
2016-01-31,28,21,0,18
2016-02-07,0,0,0,0
2016-02-14,28,16,0,0
2016-02-21,36,40,30,0
2016-02-28,12,48,0,10
2016-03-06,10,31,0,0
2016-03-13,24,57,0,0
2016-03-20,21,55,0,33
2016-03-27,17,39,12,0
2016-04-03,0,30,11,0
2016-04-10,15,21,0,21
2016-04-17,28,13,0,0
2016-04-24,0,38,0,0
2016-05-01,16,25,15,0
2016-05-08,16,27,0,0
2016-05-15,0,41,0,0
2016-05-22,15,30,0,19
2016-05-29,0,22,0,0
2016-06-05,0,26,0,0
