Kategorie: Alle Kategorien

Woche,Flu: (Schweiz),Influenza: (Schweiz),influenza: (Schweiz),Grippe: (Schweiz)
2013-01-06,6,47,6,36
2013-01-13,6,52,6,38
2013-01-20,6,58,7,44
2013-01-27,7,73,7,54
2013-02-03,6,74,6,58
2013-02-10,4,69,7,56
2013-02-17,7,61,7,48
2013-02-24,4,52,4,39
2013-03-03,4,38,5,31
2013-03-10,3,32,3,27
2013-03-17,3,25,2,21
2013-03-24,2,23,3,22
2013-03-31,4,26,4,20
2013-04-07,4,21,2,15
2013-04-14,3,15,2,15
2013-04-21,2,12,2,10
2013-04-28,2,15,4,9
2013-05-05,2,9,2,8
2013-05-12,3,13,3,7
2013-05-19,2,13,0,11
2013-05-26,3,14,2,11
2013-06-02,2,10,0,9
2013-06-09,3,11,1,5
2013-06-16,2,9,1,7
2013-06-23,1,9,1,7
2013-06-30,3,11,2,6
2013-07-07,3,7,2,5
2013-07-14,1,8,3,5
2013-07-21,1,6,1,5
2013-07-28,1,8,3,7
2013-08-04,2,7,2,8
2013-08-11,3,12,0,10
2013-08-18,1,7,1,9
2013-08-25,3,10,2,6
2013-09-01,1,11,1,9
2013-09-08,3,18,2,16
2013-09-15,1,14,2,10
2013-09-22,2,16,2,13
2013-09-29,1,16,2,10
2013-10-06,3,18,3,15
2013-10-13,0,21,5,15
2013-10-20,2,19,2,14
2013-10-27,4,20,3,14
2013-11-03,3,24,4,17
2013-11-10,3,18,3,16
2013-11-17,3,18,2,14
2013-11-24,3,19,3,14
2013-12-01,0,17,2,16
2013-12-08,3,17,2,12
2013-12-15,3,21,3,17
2013-12-22,2,21,2,17
2013-12-29,1,23,2,20
2014-01-05,2,20,5,16
2014-01-12,3,26,3,21
2014-01-19,2,25,4,19
2014-01-26,4,35,5,26
2014-02-02,3,43,5,34
2014-02-09,3,39,4,34
2014-02-16,2,37,6,33
2014-02-23,3,32,2,26
2014-03-02,4,32,4,25
2014-03-09,2,25,5,18
2014-03-16,2,20,3,17
2014-03-23,2,18,3,18
2014-03-30,3,17,3,16
2014-04-06,4,16,3,13
2014-04-13,2,14,4,10
2014-04-20,1,13,2,11
2014-04-27,4,14,1,10
2014-05-04,3,13,2,8
2014-05-11,2,11,2,9
2014-05-18,2,13,0,11
2014-05-25,4,7,2,6
2014-06-01,2,11,1,8
2014-06-08,1,8,2,8
2014-06-15,1,7,0,6
2014-06-22,1,5,2,4
2014-06-29,2,12,1,9
2014-07-06,5,10,1,7
2014-07-13,2,8,2,7
2014-07-20,2,11,3,9
2014-07-27,2,11,1,8
2014-08-03,1,12,2,8
2014-08-10,2,11,1,8
2014-08-17,1,8,2,7
2014-08-24,4,15,1,13
2014-08-31,3,15,1,13
2014-09-07,2,15,2,11
2014-09-14,2,15,2,12
2014-09-21,2,21,1,15
2014-09-28,3,15,2,9
2014-10-05,4,21,2,16
2014-10-12,5,27,3,22
2014-10-19,2,18,2,15
2014-10-26,4,19,3,13
2014-11-02,4,26,3,17
2014-11-09,3,25,2,20
2014-11-16,4,23,3,20
2014-11-23,4,23,2,18
2014-11-30,5,26,4,19
2014-12-07,4,25,2,21
2014-12-14,4,25,2,21
2014-12-21,3,18,4,20
2014-12-28,4,29,5,22
2015-01-04,4,32,5,22
2015-01-11,4,44,5,36
2015-01-18,2,51,9,44
2015-01-25,4,77,6,66
2015-02-01,6,85,11,68
2015-02-08,6,88,10,73
2015-02-15,6,81,6,67
2015-02-22,6,74,9,60
2015-03-01,6,60,4,47
2015-03-08,4,44,5,39
