Kategorie: Alle Kategorien

Woche,Fieber: (Schweiz),husten: (Schweiz),fièvre: (Schweiz),toux: (Schweiz)
2013-01-06,53,46,12,15
2013-01-13,67,46,6,15
2013-01-20,69,55,8,13
2013-01-27,87,55,9,14
2013-02-03,72,56,11,21
2013-02-10,81,49,7,16
2013-02-17,73,46,7,17
2013-02-24,61,38,7,14
2013-03-03,52,38,4,9
2013-03-10,53,36,6,12
2013-03-17,46,32,3,14
2013-03-24,46,26,5,14
2013-03-31,43,44,6,9
2013-04-07,36,31,4,8
2013-04-14,42,28,7,10
2013-04-21,35,30,4,7
2013-04-28,34,30,5,5
2013-05-05,26,21,4,13
2013-05-12,36,25,6,7
2013-05-19,34,24,5,7
2013-05-26,37,21,5,5
2013-06-02,42,23,4,10
2013-06-09,42,22,6,10
2013-06-16,38,19,6,4
2013-06-23,40,25,6,10
2013-06-30,40,22,4,5
2013-07-07,40,19,3,9
2013-07-14,51,16,9,2
2013-07-21,49,15,6,4
2013-07-28,41,18,6,5
2013-08-04,51,11,6,2
2013-08-11,41,17,7,4
2013-08-18,38,24,4,7
2013-08-25,33,15,8,8
2013-09-01,38,18,5,9
2013-09-08,39,22,7,6
2013-09-15,37,25,7,6
2013-09-22,33,23,5,11
2013-09-29,46,27,10,8
2013-10-06,34,26,6,7
2013-10-13,36,33,4,5
2013-10-20,36,26,5,5
2013-10-27,34,26,2,11
2013-11-03,42,33,8,11
2013-11-10,37,36,9,8
2013-11-17,49,38,9,12
2013-11-24,35,30,3,11
2013-12-01,35,34,5,14
2013-12-08,47,36,5,10
2013-12-15,40,41,7,10
2013-12-22,43,49,4,20
2013-12-29,49,50,7,13
2014-01-05,39,40,6,14
2014-01-12,45,37,7,10
2014-01-19,53,38,6,13
2014-01-26,47,43,5,11
2014-02-02,55,39,5,11
2014-02-09,48,44,5,16
2014-02-16,54,47,6,17
2014-02-23,54,39,8,12
2014-03-02,54,42,9,12
2014-03-09,49,40,3,12
2014-03-16,50,35,9,11
2014-03-23,46,39,7,9
2014-03-30,57,31,7,12
2014-04-06,54,34,6,14
2014-04-13,44,32,6,8
2014-04-20,43,29,7,6
2014-04-27,38,23,4,6
