Kategorie: Alle Kategorien

Woche,husten: (Genf),toux: (Genf),fièvre: (Genf),Fieber: (Genf)
2013-01-06,0,33,0,0
2013-01-13,0,49,32,0
2013-01-20,22,0,45,54
2013-01-27,0,0,33,18
2013-02-03,0,52,34,0
2013-02-10,0,52,45,35
2013-02-17,0,46,32,0
2013-02-24,0,28,58,72
2013-03-03,18,35,45,0
2013-03-10,0,31,42,29
2013-03-17,0,17,0,25
2013-03-24,0,88,28,42
2013-03-31,0,35,0,0
2013-04-07,0,17,0,19
2013-04-14,0,0,0,0
2013-04-21,17,16,0,0
2013-04-28,0,0,34,22
2013-05-05,0,53,0,18
2013-05-12,0,0,0,29
2013-05-19,23,20,20,24
2013-05-26,0,26,0,0
2013-06-02,19,0,83,0
2013-06-09,0,0,24,29
2013-06-16,0,0,19,0
2013-06-23,0,0,23,0
2013-06-30,0,43,0,0
2013-07-07,29,66,0,0
2013-07-14,0,24,0,0
2013-07-21,0,22,0,0
2013-07-28,0,0,0,0
2013-08-04,0,0,63,0
2013-08-11,0,0,0,0
2013-08-18,0,0,0,0
2013-08-25,0,0,0,0
2013-09-01,55,0,0,0
2013-09-08,0,0,26,0
2013-09-15,0,18,29,16
2013-09-22,17,0,0,0
2013-09-29,0,24,26,36
2013-10-06,0,0,23,22
2013-10-13,22,23,0,0
2013-10-20,0,35,0,0
2013-10-27,0,45,0,21
2013-11-03,54,75,37,0
2013-11-10,0,41,0,0
2013-11-17,46,78,56,25
2013-11-24,27,62,0,44
2013-12-01,0,44,0,39
2013-12-08,0,33,0,0
2013-12-15,30,49,14,14
2013-12-22,0,0,58,41
2013-12-29,51,31,29,22
2014-01-05,0,22,52,17
2014-01-12,0,20,24,0
2014-01-19,0,28,0,0
2014-01-26,0,39,0,18
2014-02-02,0,29,0,35
2014-02-09,0,18,35,0
2014-02-16,0,14,0,74
2014-02-23,0,0,29,26
2014-03-02,0,37,61,0
2014-03-09,38,0,32,0
2014-03-16,37,41,0,0
2014-03-23,35,52,29,43
2014-03-30,0,0,31,20
2014-04-06,39,30,26,29
2014-04-13,50,48,17,0
2014-04-20,0,20,0,0
2014-04-27,25,0,0,0
2014-05-04,0,0,28,38
2014-05-11,0,42,0,0
2014-05-18,0,0,0,0
2014-05-25,0,0,0,0
2014-06-01,0,62,24,18
2014-06-08,0,0,0,0
2014-06-15,0,45,0,0
2014-06-22,50,41,0,0
2014-06-29,0,0,0,100
2014-07-06,0,0,21,0
2014-07-13,0,25,32,65
2014-07-20,19,43,26,17
2014-07-27,0,43,42,0
2014-08-03,0,0,0,26
2014-08-10,93,34,52,29
2014-08-17,18,0,0,0
2014-08-24,0,43,0,0
2014-08-31,52,0,41,0
2014-09-07,0,38,0,30
2014-09-14,37,30,0,25
2014-09-21,0,21,0,28
2014-09-28,32,44,0,26
2014-10-05,41,45,0,33
2014-10-12,57,21,61,33
2014-10-19,0,66,0,0
2014-10-26,34,48,0,0
2014-11-02,28,31,0,30
2014-11-09,17,21,29,18
2014-11-16,30,15,0,0
2014-11-23,0,52,16,68
2014-11-30,0,34,22,17
2014-12-07,0,0,0,0
2014-12-14,0,14,16,43
2014-12-21,0,0,0,57
2014-12-28,62,27,0,0
2015-01-04,28,38,13,24
2015-01-11,0,64,0,34
2015-01-18,17,45,16,41
2015-01-25,18,16,11,32
2015-02-01,0,25,0,41
2015-02-08,24,61,0,33
2015-02-15,57,36,0,27
2015-02-22,14,48,22,39
2015-03-01,0,20,0,22
2015-03-08,11,36,17,24
2015-03-15,0,39,0,20
2015-03-22,29,0,25,24
2015-03-29,12,16,0,16
2015-04-05,0,45,0,0
2015-04-12,0,48,36,17
2015-04-19,21,21,0,24
2015-04-26,18,23,15,20
2015-05-03,0,0,12,25
2015-05-10,0,0,0,0
2015-05-17,36,18,47,19
2015-05-24,39,16,0,17
2015-05-31,18,0,17,52
2015-06-07,0,0,18,25
2015-06-14,17,0,21,29
2015-06-21,32,0,18,18
2015-06-28,0,22,0,0
2015-07-05,0,0,0,47
2015-07-12,0,32,21,0
2015-07-19,0,0,23,72
2015-07-26,0,31,30,0
2015-08-02,30,0,0,0
2015-08-09,0,0,0,0
2015-08-16,0,21,0,41
2015-08-23,17,66,0,48
2015-08-30,0,17,14,0
2015-09-06,17,20,32,0
2015-09-13,0,0,23,0
2015-09-20,24,38,0,68
2015-09-27,0,75,24,32
2015-10-04,32,40,0,0
2015-10-11,19,38,46,0
2015-10-18,0,37,37,0
2015-10-25,0,0,40,21
2015-11-01,0,69,0,19
2015-11-08,0,34,0,0
2015-11-15,23,23,0,64
2015-11-22,0,18,34,21
2015-11-29,0,29,0,0
2015-12-06,0,20,0,0
2015-12-13,34,47,84,0
2015-12-20,0,42,0,0
2015-12-27,0,54,0,0
2016-01-03,44,75,15,27
2016-01-10,48,30,30,32
2016-01-17,0,21,17,0
2016-01-24,0,54,0,0
2016-01-31,20,0,24,0
2016-02-07,40,41,0,0
2016-02-14,0,25,40,38
2016-02-21,21,41,0,24
2016-02-28,17,54,62,0
2016-03-06,0,38,0,18
2016-03-13,19,87,31,0
2016-03-20,25,0,0,27
2016-03-27,33,38,21,73
2016-04-03,34,25,38,43
2016-04-10,23,31,0,0
2016-04-17,13,58,0,39
2016-04-24,0,18,0,0
2016-05-01,0,100,28,21
2016-05-08,17,38,39,23
2016-05-15,0,19,25,0
2016-05-22,0,0,0,49
2016-05-29,0,31,0,0
2016-06-05,0,28,15,0
2016-06-12,0,44,0,0
2016-06-19,14,50,16,19
2016-06-26,0,39,0,0
2016-07-03,0,38,0,0
2016-07-10,0,39,0,32
2016-07-17,37,32,0,32
2016-07-24,0,81,0,0
2016-07-31,0,0,0,22
2016-08-07,0,66,33,0
2016-08-14,0,0,0,0
2016-08-21,0,0,24,33
2016-08-28,0,0,0,0
2016-09-04,27,47,18,0
2016-09-11,0,51,41,0
2016-09-18,0,0,0,0
2016-09-25,0,39,0,18
2016-10-02,20,38,39,0
2016-10-09,0,0,20,13
2016-10-16,0,51,28,0
2016-10-23,21,17,0,0
2016-10-30,26,55,0,24
2016-11-06,23,34,22,0
2016-11-13,0,35,28,49
2016-11-20,34,38,15,23
2016-11-27,29,61,0,0
2016-12-04,0,48,0,0
2016-12-11,28,65,0,0
2016-12-18,17,76,63,22
2016-12-25,42,69,22,21
2017-01-01,21,52,37,31
2017-01-08,24,63,0,33
2017-01-15,0,77,0,19
2017-01-22,14,25,40,17
2017-01-29,63,0,21,26
2017-02-05,33,48,0,46
2017-02-12,0,60,0,0
2017-02-19,28,31,38,27
2017-02-26,28,35,13,14
2017-03-05,17,32,21,21
2017-03-12,0,58,19,24
2017-03-19,25,23,0,11
2017-03-26,0,21,0,14
2017-04-02,0,0,0,36
2017-04-09,0,48,0,90
2017-04-16,0,34,22,35
2017-04-23,37,15,18,0
2017-04-30,0,68,30,0
2017-05-07,0,0,29,0
2017-05-14,17,28,0,0
2017-05-21,0,0,0,44
2017-05-28,16,31,63,0
2017-06-04,0,63,0,0
2017-06-11,0,0,0,0
2017-06-18,0,0,31,0
2017-06-25,0,0,17,0
2017-07-02,0,47,18,0
2017-07-09,0,0,28,0
2017-07-16,43,0,0,0
2017-07-23,0,0,21,0
2017-07-30,0,23,22,28
2017-08-06,0,23,0,0
2017-08-13,0,66,68,19
2017-08-20,0,33,0,0
2017-08-27,0,19,0,0
2017-09-03,0,88,15,39
2017-09-10,0,26,40,0
2017-09-17,31,46,0,46
2017-09-24,21,50,34,15
2017-10-01,15,50,14,19
2017-10-08,41,51,0,50
2017-10-15,20,46,26,28
2017-10-22,0,55,17,19
2017-10-29,69,23,0,10
2017-11-05,0,17,0,13
