Kategorie: Alle Kategorien

Woche,husten: (Neuenburg),Fieber: (Neuenburg),fièvre: (Neuenburg),toux: (Neuenburg)
2013-01-06,28,0,0,44
2013-01-13,0,0,0,0
2013-01-20,23,0,0,0
2013-01-27,0,0,21,0
2013-02-03,0,0,0,0
2013-02-10,0,0,0,0
2013-02-17,0,0,0,46
2013-02-24,24,0,24,48
2013-03-03,0,0,0,0
2013-03-10,0,0,0,0
2013-03-17,0,23,0,0
2013-03-24,15,0,0,0
2013-03-31,26,32,0,0
2013-04-07,16,0,0,16
2013-04-14,0,0,21,0
2013-04-21,21,0,0,17
2013-04-28,0,0,0,26
2013-05-05,0,29,0,0
2013-05-12,0,0,0,46
2013-05-19,0,0,0,0
2013-05-26,0,21,0,0
2013-06-02,31,0,41,0
2013-06-09,25,0,0,0
2013-06-16,24,0,26,0
2013-06-23,0,0,0,20
2013-06-30,0,0,0,26
2013-07-07,64,0,0,0
2013-07-14,0,0,0,0
2013-07-21,27,0,0,0
2013-07-28,28,0,0,0
2013-08-04,0,0,0,0
2013-08-11,0,64,0,23
2013-08-18,32,0,0,35
2013-08-25,0,0,22,0
2013-09-01,0,0,0,20
2013-09-08,0,15,17,0
2013-09-15,0,0,0,21
2013-09-22,0,0,0,0
2013-09-29,0,50,0,31
2013-10-06,0,0,0,24
2013-10-13,19,0,0,21
2013-10-20,0,32,0,0
2013-10-27,0,15,0,0
2013-11-03,0,0,0,0
2013-11-10,0,0,18,0
2013-11-17,0,0,0,21
2013-11-24,0,0,0,0
2013-12-01,0,0,0,24
2013-12-08,0,26,0,22
2013-12-15,21,0,44,0
2013-12-22,0,0,0,0
2013-12-29,0,0,0,35
2014-01-05,0,0,29,23
2014-01-12,35,20,34,0
2014-01-19,0,0,0,16
2014-01-26,24,0,0,28
2014-02-02,0,16,0,19
2014-02-09,15,0,0,0
2014-02-16,0,0,0,24
2014-02-23,0,0,0,0
2014-03-02,35,0,0,0
2014-03-09,0,0,0,23
2014-03-16,0,0,0,0
2014-03-23,0,0,0,0
2014-03-30,0,0,0,0
2014-04-06,0,0,0,0
2014-04-13,0,0,0,53
2014-04-20,0,0,0,0
2014-04-27,15,17,23,0
2014-05-04,17,0,0,0
2014-05-11,77,0,0,0
2014-05-18,0,21,0,23
2014-05-25,0,0,0,21
2014-06-01,53,0,0,0
2014-06-08,0,0,0,0
2014-06-15,35,22,0,0
2014-06-22,0,22,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,32,0
2014-07-13,0,0,0,0
2014-07-20,0,22,0,0
2014-07-27,0,0,0,84
2014-08-03,0,0,49,100
2014-08-10,0,0,28,0
2014-08-17,0,0,0,22
2014-08-24,0,0,0,0
2014-08-31,0,0,0,48
2014-09-07,0,28,0,0
2014-09-14,0,0,21,20
2014-09-21,0,0,0,0
2014-09-28,0,0,0,0
2014-10-05,0,0,34,20
2014-10-12,0,0,0,0
2014-10-19,18,0,0,0
2014-10-26,0,0,0,0
2014-11-02,0,0,0,0
2014-11-09,0,0,62,0
2014-11-16,45,0,0,19
2014-11-23,0,0,0,0
2014-11-30,0,0,0,0
2014-12-07,0,0,0,21
2014-12-14,28,0,0,22
2014-12-21,0,0,0,22
2014-12-28,27,17,0,59
2015-01-04,0,14,0,21
2015-01-11,0,26,0,0
2015-01-18,0,0,0,42
2015-01-25,0,35,0,0
2015-02-01,0,0,0,0
2015-02-08,21,0,0,0
2015-02-15,0,0,0,0
2015-02-22,0,0,0,0
2015-03-01,35,55,0,0
2015-03-08,0,19,80,27
2015-03-15,0,0,0,0
2015-03-22,28,0,23,0
2015-03-29,0,17,0,20
2015-04-05,0,0,0,23
2015-04-12,18,35,0,0
2015-04-19,15,0,0,24
2015-04-26,0,0,0,0
2015-05-03,0,0,0,55
2015-05-10,0,36,0,0
2015-05-17,0,29,0,80
2015-05-24,0,22,0,0
2015-05-31,0,34,0,0
2015-06-07,0,0,22,0
2015-06-14,0,17,0,0
2015-06-21,0,0,0,0
2015-06-28,0,0,44,0
2015-07-05,0,0,29,0
2015-07-12,0,50,0,31
2015-07-19,0,0,99,0
2015-07-26,0,0,0,21
2015-08-02,29,0,0,27
2015-08-09,31,0,0,0
2015-08-16,0,0,0,0
2015-08-23,0,0,0,21
2015-08-30,0,0,0,27
2015-09-06,0,32,0,0
2015-09-13,23,0,33,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,0
2015-10-04,0,0,0,0
2015-10-11,0,20,0,0
2015-10-18,0,0,0,0
2015-10-25,0,0,0,0
2015-11-01,29,0,58,20
2015-11-08,0,0,53,0
2015-11-15,19,25,0,39
2015-11-22,0,0,0,0
2015-11-29,0,0,0,0
2015-12-06,0,0,0,28
2015-12-13,0,0,49,0
2015-12-20,0,41,48,0
2015-12-27,0,0,0,0
2016-01-03,0,0,40,0
2016-01-10,0,0,12,0
2016-01-17,0,0,0,0
2016-01-24,0,0,0,0
2016-01-31,0,0,0,0
