Kategorie: Alle Kategorien

Woche,Influenza: (Schaffhausen),influenza: (Schaffhausen),Grippe: (Schaffhausen),Flu: (Schaffhausen)
2013-01-06,16,59,0,0
2013-01-13,0,50,0,0
2013-01-20,25,0,0,0
2013-01-27,0,0,0,0
2013-02-03,28,0,0,20
2013-02-10,0,0,0,0
2013-02-17,0,24,17,0
2013-02-24,0,0,0,0
2013-03-03,0,0,0,0
2013-03-10,35,0,21,0
2013-03-17,0,0,0,0
2013-03-24,0,24,0,16
2013-03-31,0,0,0,0
2013-04-07,0,0,16,0
2013-04-14,32,0,0,18
2013-04-21,0,30,0,0
2013-04-28,0,0,0,15
2013-05-05,29,0,0,0
2013-05-12,0,0,0,0
2013-05-19,37,0,0,0
2013-05-26,17,0,0,35
2013-06-02,0,0,0,0
2013-06-09,0,0,0,0
2013-06-16,0,0,20,0
2013-06-23,15,0,0,0
2013-06-30,0,24,0,0
2013-07-07,0,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,0,32,0
2013-08-04,20,0,29,0
2013-08-11,0,0,28,0
2013-08-18,0,0,0,0
2013-08-25,0,23,0,0
2013-09-01,0,16,19,0
2013-09-08,28,27,17,0
2013-09-15,0,0,0,0
2013-09-22,0,0,0,0
2013-09-29,0,0,0,33
2013-10-06,42,0,0,0
2013-10-13,74,0,0,82
2013-10-20,0,0,0,0
2013-10-27,0,0,0,0
2013-11-03,0,0,0,17
2013-11-10,0,0,20,31
2013-11-17,0,22,61,0
2013-11-24,0,0,0,0
2013-12-01,0,16,42,0
2013-12-08,0,0,0,23
2013-12-15,0,29,43,0
2013-12-22,0,0,68,0
2013-12-29,0,0,0,0
2014-01-05,20,0,0,0
2014-01-12,0,0,0,0
2014-01-19,0,66,0,0
2014-01-26,0,0,0,0
2014-02-02,0,0,0,39
2014-02-09,0,18,0,0
2014-02-16,36,0,21,0
2014-02-23,0,0,0,0
2014-03-02,0,15,36,0
2014-03-09,0,17,0,0
2014-03-16,0,23,0,0
2014-03-23,0,0,0,16
2014-03-30,27,15,16,22
2014-04-06,22,0,50,0
2014-04-13,0,0,0,0
2014-04-20,0,0,0,0
2014-04-27,0,0,0,0
2014-05-04,0,0,0,0
2014-05-11,0,0,0,0
2014-05-18,31,60,0,0
2014-05-25,0,0,0,0
2014-06-01,0,0,0,0
2014-06-08,0,37,0,0
2014-06-15,0,0,0,19
2014-06-22,24,0,0,28
2014-06-29,39,0,0,0
2014-07-06,18,0,0,0
2014-07-13,0,0,0,0
2014-07-20,18,0,0,0
2014-07-27,0,0,0,0
2014-08-03,0,0,0,30
2014-08-10,0,20,0,64
2014-08-17,0,0,0,0
2014-08-24,0,0,0,0
2014-08-31,0,0,0,0
2014-09-07,0,0,33,0
2014-09-14,0,0,0,0
2014-09-21,0,0,0,0
2014-09-28,0,0,0,0
2014-10-05,16,0,20,0
2014-10-12,0,85,0,49
2014-10-19,0,0,0,0
2014-10-26,0,0,36,0
2014-11-02,0,0,28,22
2014-11-09,29,0,0,0
2014-11-16,35,0,17,0
2014-11-23,0,0,0,0
2014-11-30,0,0,0,0
2014-12-07,0,0,0,0
2014-12-14,43,0,0,0
2014-12-21,0,0,0,0
2014-12-28,0,51,56,33
2015-01-04,0,0,0,0
2015-01-11,0,19,0,0
2015-01-18,0,0,0,0
2015-01-25,0,0,0,36
2015-02-01,83,0,0,0
2015-02-08,0,0,0,0
2015-02-15,62,0,21,0
2015-02-22,0,0,24,0
2015-03-01,32,18,21,0
2015-03-08,0,0,0,0
2015-03-15,0,0,0,0
2015-03-22,0,0,0,0
2015-03-29,0,0,0,0
2015-04-05,0,0,0,37
2015-04-12,22,0,0,24
2015-04-19,0,18,0,0
2015-04-26,47,0,0,0
2015-05-03,0,14,0,0
2015-05-10,19,34,0,0
2015-05-17,0,0,29,0
2015-05-24,26,0,30,21
2015-05-31,0,0,0,0
2015-06-07,0,22,0,0
2015-06-14,0,0,0,0
2015-06-21,0,0,0,0
2015-06-28,0,0,0,0
2015-07-05,0,71,0,0
2015-07-12,0,0,0,0
2015-07-19,28,0,0,39
2015-07-26,0,23,0,0
2015-08-02,0,52,0,0
2015-08-09,0,0,0,0
2015-08-16,18,0,0,0
2015-08-23,43,0,25,0
2015-08-30,0,60,0,0
2015-09-06,0,0,0,25
2015-09-13,0,48,0,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,28
2015-10-04,0,0,0,0
2015-10-11,31,0,0,0
2015-10-18,0,0,0,19
2015-10-25,0,0,0,0
2015-11-01,0,0,0,0
2015-11-08,0,0,40,0
2015-11-15,0,0,0,0
2015-11-22,0,33,0,0
2015-11-29,21,0,0,0
2015-12-06,24,24,0,0
2015-12-13,0,26,0,0
2015-12-20,0,30,0,0
2015-12-27,0,0,0,0
2016-01-03,31,0,0,0
2016-01-10,70,0,0,32
2016-01-17,0,0,0,0
2016-01-24,0,0,0,0
2016-01-31,0,0,0,19
2016-02-07,35,38,26,0
2016-02-14,18,0,0,0
2016-02-21,43,0,24,0
2016-02-28,0,0,0,0
2016-03-06,0,31,48,0
2016-03-13,17,0,0,0
2016-03-20,0,0,0,0
2016-03-27,0,0,0,82
2016-04-03,0,0,0,29
2016-04-10,32,0,0,22
2016-04-17,0,0,0,0
2016-04-24,19,0,0,0
2016-05-01,0,56,50,0
2016-05-08,0,0,0,86
2016-05-15,0,0,0,0
2016-05-22,40,19,0,0
2016-05-29,0,0,0,0
2016-06-05,0,0,0,26
2016-06-12,0,0,18,0
2016-06-19,0,0,45,0
2016-06-26,31,0,0,0
2016-07-03,0,0,0,25
2016-07-10,0,0,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,39
2016-07-31,32,0,0,57
2016-08-07,0,0,0,0
2016-08-14,0,0,0,0
2016-08-21,0,0,27,0
2016-08-28,0,29,23,0
2016-09-04,0,0,19,0
2016-09-11,0,0,0,0
2016-09-18,0,0,67,0
2016-09-25,0,0,0,0
2016-10-02,0,0,100,0
2016-10-09,22,0,0,0
2016-10-16,0,0,0,0
2016-10-23,0,0,0,0
2016-10-30,0,0,0,0
2016-11-06,0,0,0,0
2016-11-13,0,45,0,29
2016-11-20,0,0,0,0
2016-11-27,0,0,0,0
2016-12-04,0,0,0,0
2016-12-11,0,0,0,0
2016-12-18,38,25,0,0
2016-12-25,56,0,34,0
2017-01-01,0,0,0,0
2017-01-08,22,0,0,0
2017-01-15,0,0,0,0
2017-01-22,0,30,0,0
2017-01-29,32,0,0,0
2017-02-05,0,0,19,0
2017-02-12,0,0,16,0
2017-02-19,0,0,0,0
2017-02-26,0,0,0,0
2017-03-05,0,0,0,0
2017-03-12,29,0,0,0
2017-03-19,20,18,0,64
2017-03-26,0,0,0,21
2017-04-02,0,0,0,0
2017-04-09,0,0,0,0
2017-04-16,0,0,0,36
2017-04-23,19,0,16,32
2017-04-30,0,0,0,0
2017-05-07,26,0,22,17
2017-05-14,0,0,0,26
2017-05-21,0,0,0,27
2017-05-28,22,19,0,30
2017-06-04,24,20,0,0
2017-06-11,0,0,0,0
2017-06-18,16,17,0,0
2017-06-25,34,0,0,22
2017-07-02,0,0,0,0
2017-07-09,0,28,67,0
2017-07-16,0,0,0,0
2017-07-23,0,26,16,51
2017-07-30,0,0,0,0
2017-08-06,27,0,0,0
2017-08-13,0,0,0,25
2017-08-20,0,0,0,0
2017-08-27,0,0,0,0
2017-09-03,0,0,0,22
2017-09-10,0,0,0,0
2017-09-17,67,0,0,21
2017-09-24,19,0,0,0
2017-10-01,0,0,0,0
2017-10-08,0,0,0,0
2017-10-15,39,0,0,0
2017-10-22,0,0,0,36
2017-10-29,0,25,17,13
2017-11-05,0,0,0,0
2017-11-12,31,0,0,0
2017-11-19,0,0,33,0
2017-11-26,0,0,16,0
2017-12-03,27,0,11,0
2017-12-10,0,0,0,22
2017-12-17,0,0,0,0
2017-12-24,15,0,0,0
