Kategorie: Alle Kategorien

Woche,Influenza: (Solothurn),influenza: (Solothurn),Grippe: (Solothurn),Flu: (Solothurn)
2013-01-06,25,0,43,27
2013-01-13,100,0,72,0
2013-01-20,22,42,48,66
2013-01-27,28,0,35,0
2013-02-03,0,0,51,43
2013-02-10,25,20,0,0
2013-02-17,0,46,26,0
2013-02-24,0,0,0,24
2013-03-03,23,0,0,0
2013-03-10,0,0,20,0
2013-03-17,22,29,0,15
2013-03-24,0,0,15,0
2013-03-31,0,0,34,0
2013-04-07,0,0,0,15
2013-04-14,26,18,85,24
2013-04-21,33,0,0,0
2013-04-28,0,0,0,0
2013-05-05,0,0,0,0
2013-05-12,0,0,19,31
2013-05-19,0,0,0,30
2013-05-26,65,0,0,0
2013-06-02,0,0,0,0
2013-06-09,0,0,42,0
2013-06-16,23,64,0,19
2013-06-23,0,25,0,0
2013-06-30,20,0,31,0
2013-07-07,0,0,0,0
2013-07-14,31,0,34,89
2013-07-21,0,27,0,0
2013-07-28,0,0,41,47
2013-08-04,22,0,0,43
2013-08-11,0,0,0,0
2013-08-18,33,0,0,0
2013-08-25,21,0,0,0
2013-09-01,0,0,27,0
2013-09-08,26,17,0,0
2013-09-15,0,0,0,0
2013-09-22,0,0,0,21
2013-09-29,0,0,21,0
2013-10-06,0,0,0,0
2013-10-13,16,0,0,0
2013-10-20,29,0,81,0
2013-10-27,0,0,0,0
2013-11-03,20,0,29,0
2013-11-10,0,0,0,0
2013-11-17,16,0,0,0
2013-11-24,0,0,0,0
2013-12-01,0,0,0,0
2013-12-08,0,0,0,0
2013-12-15,0,25,40,0
2013-12-22,20,0,0,0
2013-12-29,39,0,0,17
2014-01-05,0,0,0,0
2014-01-12,32,0,13,0
2014-01-19,0,37,16,28
2014-01-26,0,0,0,0
2014-02-02,0,18,39,0
2014-02-09,0,0,0,0
2014-02-16,50,36,43,45
2014-02-23,0,58,0,0
2014-03-02,15,51,0,0
2014-03-09,0,22,30,0
2014-03-16,33,0,0,0
2014-03-23,43,0,0,25
2014-03-30,0,0,0,38
2014-04-06,0,0,0,23
2014-04-13,0,0,0,0
2014-04-20,23,0,17,0
2014-04-27,15,0,0,34
2014-05-04,22,72,0,0
2014-05-11,0,0,0,28
2014-05-18,0,0,0,0
2014-05-25,0,0,0,26
2014-06-01,0,0,0,0
2014-06-08,0,35,0,0
2014-06-15,0,0,0,0
2014-06-22,19,21,0,0
2014-06-29,0,0,0,57
2014-07-06,0,0,21,0
2014-07-13,0,0,29,48
2014-07-20,55,0,22,29
2014-07-27,25,0,44,0
2014-08-03,29,0,0,54
2014-08-10,0,37,0,0
2014-08-17,57,27,0,0
2014-08-24,0,0,0,0
2014-08-31,24,0,0,0
2014-09-07,0,0,0,0
2014-09-14,0,0,17,0
2014-09-21,0,0,0,0
2014-09-28,0,34,0,0
2014-10-05,0,0,26,0
2014-10-12,28,0,38,17
2014-10-19,0,0,0,0
2014-10-26,17,0,0,19
2014-11-02,31,0,0,0
2014-11-09,0,0,0,0
2014-11-16,0,0,0,0
2014-11-23,15,0,0,0
2014-11-30,0,32,0,0
2014-12-07,0,0,26,42
2014-12-14,34,0,0,36
2014-12-21,0,24,0,0
2014-12-28,0,0,48,0
2015-01-04,45,0,19,0
2015-01-11,0,0,0,24
2015-01-18,29,0,41,0
2015-01-25,61,0,21,0
2015-02-01,0,0,0,0
2015-02-08,74,0,71,0
2015-02-15,95,0,49,0
2015-02-22,37,0,36,0
2015-03-01,0,0,19,0
2015-03-08,0,0,0,18
2015-03-15,45,0,0,0
2015-03-22,15,20,34,80
2015-03-29,0,0,0,0
2015-04-05,0,0,0,0
2015-04-12,0,0,0,0
2015-04-19,0,0,0,0
2015-04-26,24,0,16,0
2015-05-03,0,0,0,0
2015-05-10,0,0,24,0
2015-05-17,0,0,0,0
2015-05-24,0,0,0,0
2015-05-31,0,0,39,0
2015-06-07,0,0,0,0
2015-06-14,0,0,0,0
2015-06-21,0,0,0,0
2015-06-28,0,0,0,0
2015-07-05,0,0,0,0
2015-07-12,22,0,0,43
2015-07-19,0,0,0,32
2015-07-26,0,0,0,0
2015-08-02,0,0,0,0
2015-08-09,0,0,0,38
2015-08-16,0,0,65,0
2015-08-23,0,0,30,0
2015-08-30,0,20,41,0
2015-09-06,0,0,0,0
2015-09-13,0,0,0,0
2015-09-20,0,0,19,0
2015-09-27,36,23,21,0
2015-10-04,0,0,0,37
2015-10-11,0,0,0,0
2015-10-18,0,0,18,0
2015-10-25,28,0,38,0
2015-11-01,0,0,35,0
2015-11-08,0,36,0,0
2015-11-15,0,0,22,0
2015-11-22,0,27,22,0
2015-11-29,0,0,19,0
2015-12-06,0,0,27,0
2015-12-13,0,20,22,0
2015-12-20,34,0,0,0
2015-12-27,0,0,0,0
2016-01-03,30,24,13,0
2016-01-10,25,0,63,0
2016-01-17,0,0,36,14
2016-01-24,28,34,26,0
2016-01-31,19,0,27,0
2016-02-07,42,0,0,0
2016-02-14,0,0,0,0
2016-02-21,62,20,40,0
2016-02-28,66,18,66,0
2016-03-06,49,0,15,18
2016-03-13,44,0,36,0
2016-03-20,45,0,34,0
2016-03-27,21,0,0,0
2016-04-03,0,0,16,0
2016-04-10,0,0,12,0
2016-04-17,15,13,0,15
2016-04-24,0,13,0,13
2016-05-01,0,0,0,0
2016-05-08,0,12,0,0
2016-05-15,0,0,15,0
2016-05-22,0,0,25,0
2016-05-29,0,0,0,0
2016-06-05,33,0,0,0
2016-06-12,0,0,0,0
2016-06-19,21,0,0,0
2016-06-26,17,0,0,0
2016-07-03,32,0,0,0
2016-07-10,0,0,35,0
2016-07-17,0,0,0,25
2016-07-24,0,0,0,0
2016-07-31,0,0,24,0
2016-08-07,0,15,0,0
2016-08-14,19,0,0,0
2016-08-21,0,22,51,0
2016-08-28,0,0,22,16
2016-09-04,24,0,0,21
2016-09-11,0,0,0,0
2016-09-18,15,13,41,0
2016-09-25,18,0,24,0
2016-10-02,0,0,0,0
2016-10-09,0,0,14,0
2016-10-16,58,13,25,0
2016-10-23,17,0,0,22
2016-10-30,0,0,0,0
2016-11-06,16,0,0,0
2016-11-13,0,0,42,0
2016-11-20,0,0,25,0
2016-11-27,44,0,37,0
2016-12-04,43,0,28,12
2016-12-11,39,20,35,0
2016-12-18,40,0,49,0
2016-12-25,67,0,49,0
2017-01-01,29,17,41,0
2017-01-08,50,11,31,0
2017-01-15,31,17,25,0
2017-01-22,0,0,36,0
2017-01-29,22,0,29,38
2017-02-05,26,0,48,0
2017-02-12,30,0,0,0
2017-02-19,28,0,0,0
2017-02-26,15,0,0,0
2017-03-05,33,17,15,0
2017-03-12,12,0,27,11
2017-03-19,0,0,0,0
2017-03-26,0,0,19,0
2017-04-02,0,0,0,0
2017-04-09,0,0,0,30
2017-04-16,0,0,0,0
2017-04-23,10,0,0,0
2017-04-30,0,0,13,0
2017-05-07,0,0,22,0
2017-05-14,0,0,15,0
2017-05-21,0,32,38,0
2017-05-28,0,0,0,0
2017-06-04,37,0,0,12
2017-06-11,34,22,0,0
2017-06-18,14,0,0,0
2017-06-25,0,0,0,0
2017-07-02,0,36,0,55
2017-07-09,0,0,0,0
2017-07-16,0,0,0,0
2017-07-23,71,0,22,0
2017-07-30,16,0,14,0
2017-08-06,0,0,0,18
2017-08-13,0,0,0,0
2017-08-20,0,0,0,0
2017-08-27,0,32,0,0
2017-09-03,0,11,0,0
2017-09-10,0,0,0,17
2017-09-17,0,0,10,14
2017-09-24,23,0,20,13
2017-10-01,14,0,0,28
2017-10-08,28,0,0,0
2017-10-15,21,0,0,0
2017-10-22,20,0,0,11
2017-10-29,46,0,16,0
2017-11-05,25,0,18,0
2017-11-12,0,0,0,0
2017-11-19,14,0,29,0
2017-11-26,24,18,15,21
2017-12-03,21,0,19,0
2017-12-10,28,0,0,12
2017-12-17,35,32,27,0
2017-12-24,28,12,25,0
2017-12-31,46,0,32,0
