Kategorie: Alle Kategorien

Woche,husten: (Thurgau),Fieber: (Thurgau),fièvre: (Thurgau),toux: (Thurgau)
2013-01-06,31,0,0,0
2013-01-13,47,0,0,0
2013-01-20,41,14,0,0
2013-01-27,0,22,0,16
2013-02-03,0,0,0,16
2013-02-10,20,23,0,35
2013-02-17,0,0,0,0
2013-02-24,0,0,0,0
2013-03-03,8,16,0,0
2013-03-10,8,7,0,0
2013-03-17,14,0,0,0
2013-03-24,0,9,0,0
2013-03-31,0,11,0,0
2013-04-07,21,0,0,20
2013-04-14,0,38,0,0
2013-04-21,37,0,0,0
2013-04-28,21,0,0,0
2013-05-05,0,0,0,0
2013-05-12,0,0,0,20
2013-05-19,0,0,0,0
2013-05-26,0,0,0,0
2013-06-02,0,0,0,0
2013-06-09,0,0,0,0
2013-06-16,20,40,0,14
2013-06-23,0,0,0,13
2013-06-30,0,0,0,100
2013-07-07,0,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,45,0,0
2013-08-04,17,58,0,47
2013-08-11,19,45,0,0
2013-08-18,0,20,0,0
2013-08-25,0,19,0,19
2013-09-01,25,0,0,0
2013-09-08,0,19,0,68
2013-09-15,15,0,0,0
2013-09-22,0,0,0,0
2013-09-29,0,22,0,0
2013-10-06,75,0,0,0
2013-10-13,0,0,0,0
2013-10-20,0,18,0,0
2013-10-27,0,0,0,0
2013-11-03,0,0,0,0
2013-11-10,0,0,0,0
2013-11-17,20,0,0,0
2013-11-24,0,0,0,16
2013-12-01,0,31,0,0
2013-12-08,18,24,0,0
2013-12-15,14,0,0,0
2013-12-22,0,36,0,0
2013-12-29,0,0,0,0
2014-01-05,0,10,0,0
2014-01-12,12,0,0,0
2014-01-19,0,0,0,0
2014-01-26,0,22,0,0
2014-02-02,0,0,0,0
2014-02-09,24,0,0,16
2014-02-16,41,10,0,0
2014-02-23,0,22,0,0
2014-03-02,11,0,0,0
2014-03-09,13,0,0,0
2014-03-16,0,0,0,0
2014-03-23,0,12,0,0
2014-03-30,0,0,0,0
2014-04-06,0,0,0,0
2014-04-13,0,13,0,0
2014-04-20,13,22,0,0
2014-04-27,0,0,0,0
2014-05-04,0,38,0,0
2014-05-11,0,0,0,0
2014-05-18,0,0,0,0
2014-05-25,15,0,0,0
2014-06-01,14,0,0,0
2014-06-08,0,0,0,47
2014-06-15,0,0,0,0
2014-06-22,0,17,0,17
2014-06-29,0,0,0,0
2014-07-06,25,0,0,18
2014-07-13,0,0,0,0
2014-07-20,25,0,0,20
2014-07-27,0,0,0,39
2014-08-03,0,0,0,0
2014-08-10,0,0,0,55
2014-08-17,0,0,0,0
