Kategorie: Alle Kategorien

Woche,husten: (Wallis),Fieber: (Wallis),fièvre: (Wallis),toux: (Wallis)
2013-01-06,0,0,0,32
2013-01-13,0,0,0,0
2013-01-20,0,0,0,0
2013-01-27,14,18,18,0
2013-02-03,0,0,0,0
2013-02-10,0,22,0,0
2013-02-17,0,23,0,18
2013-02-24,0,0,0,0
2013-03-03,0,0,0,0
2013-03-10,0,0,23,20
2013-03-17,0,17,0,30
2013-03-24,0,13,0,19
2013-03-31,0,0,0,0
2013-04-07,16,0,0,0
2013-04-14,0,0,45,0
2013-04-21,0,0,0,19
2013-04-28,0,0,15,0
2013-05-05,21,0,0,35
2013-05-12,22,0,0,0
2013-05-19,0,28,0,0
2013-05-26,0,0,0,0
2013-06-02,0,0,0,0
2013-06-09,0,0,35,0
2013-06-16,0,0,22,0
2013-06-23,58,0,0,100
2013-06-30,0,0,0,0
2013-07-07,0,0,0,0
2013-07-14,0,0,73,0
2013-07-21,30,0,19,0
2013-07-28,26,0,0,0
2013-08-04,0,0,0,28
2013-08-11,43,0,0,0
2013-08-18,0,0,0,0
2013-08-25,69,0,0,23
2013-09-01,0,17,0,65
2013-09-08,27,0,0,0
2013-09-15,0,17,0,0
2013-09-22,0,0,32,0
2013-09-29,0,0,23,16
2013-10-06,0,21,0,0
2013-10-13,0,17,33,0
2013-10-20,0,0,0,0
2013-10-27,0,0,0,0
2013-11-03,0,0,0,0
2013-11-10,22,0,0,0
2013-11-17,0,0,0,0
2013-11-24,0,15,51,0
2013-12-01,0,0,0,48
2013-12-08,0,0,0,0
2013-12-15,0,0,41,0
2013-12-22,0,0,0,0
2013-12-29,32,0,0,0
2014-01-05,0,0,0,27
2014-01-12,0,18,0,18
2014-01-19,0,22,29,0
2014-01-26,70,0,0,0
2014-02-02,16,21,0,0
2014-02-09,0,0,0,22
2014-02-16,0,0,13,17
2014-02-23,0,0,23,13
2014-03-02,0,0,0,18
2014-03-09,13,57,0,0
2014-03-16,28,0,0,0
2014-03-23,33,0,0,0
2014-03-30,15,0,0,0
2014-04-06,0,0,0,14
2014-04-13,18,0,54,15
2014-04-20,0,0,14,0
2014-04-27,58,0,0,0
2014-05-04,0,34,0,0
2014-05-11,21,0,31,18
2014-05-18,18,0,0,0
2014-05-25,0,0,0,0
2014-06-01,0,0,0,30
2014-06-08,0,0,0,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,89
2014-06-29,0,18,0,0
2014-07-06,33,0,0,0
2014-07-13,0,19,0,0
2014-07-20,0,51,0,33
2014-07-27,0,0,0,0
2014-08-03,0,0,32,0
2014-08-10,0,17,22,0
2014-08-17,0,0,0,0
2014-08-24,0,23,0,0
2014-08-31,22,17,0,0
2014-09-07,0,34,0,0
2014-09-14,0,0,0,37
2014-09-21,0,0,0,61
2014-09-28,0,0,0,16
2014-10-05,0,0,0,34
2014-10-12,0,0,0,61
2014-10-19,0,0,0,54
2014-10-26,0,0,0,22
2014-11-02,0,0,0,0
2014-11-09,0,0,0,0
2014-11-16,0,0,21,0
2014-11-23,23,0,0,0
2014-11-30,0,0,0,0
2014-12-07,0,25,0,0
2014-12-14,0,0,0,0
2014-12-21,21,0,0,0
2014-12-28,0,16,0,0
2015-01-04,0,19,0,22
2015-01-11,0,0,0,52
2015-01-18,0,28,0,0
2015-01-25,23,0,0,0
2015-02-01,0,48,0,28
2015-02-08,0,18,19,0
2015-02-15,0,0,15,0
2015-02-22,0,0,26,21
2015-03-01,0,0,45,36
2015-03-08,62,13,19,0
2015-03-15,32,23,0,25
2015-03-22,0,0,0,0
2015-03-29,0,29,0,0
2015-04-05,0,0,0,28
2015-04-12,0,31,31,22
2015-04-19,0,0,0,0
2015-04-26,0,20,0,0
2015-05-03,0,0,0,0
2015-05-10,0,0,0,20
2015-05-17,0,0,0,0
2015-05-24,0,34,0,0
2015-05-31,0,0,0,54
2015-06-07,0,0,0,0
2015-06-14,0,49,0,0
2015-06-21,0,0,0,0
2015-06-28,0,0,24,0
2015-07-05,0,0,0,0
2015-07-12,0,0,21,0
2015-07-19,0,0,0,0
2015-07-26,0,0,0,0
2015-08-02,0,0,0,29
2015-08-09,0,31,0,0
2015-08-16,0,0,20,0
2015-08-23,18,0,17,0
2015-08-30,29,0,0,0
2015-09-06,0,42,0,0
2015-09-13,20,0,21,0
2015-09-20,0,0,0,19
2015-09-27,0,0,0,69
2015-10-04,0,0,0,0
2015-10-11,0,0,0,0
2015-10-18,0,0,0,67
2015-10-25,0,0,27,21
2015-11-01,0,35,24,41
2015-11-08,0,0,0,0
2015-11-15,0,17,26,0
2015-11-22,0,31,29,0
2015-11-29,0,0,0,0
2015-12-06,0,0,24,54
2015-12-13,0,0,0,0
2015-12-20,0,0,0,0
2015-12-27,0,36,30,0
2016-01-03,0,0,0,0
2016-01-10,0,0,0,0
2016-01-17,0,13,14,17
2016-01-24,0,0,0,24
2016-01-31,0,0,0,28
2016-02-07,11,0,0,30
2016-02-14,22,0,0,60
2016-02-21,0,0,15,26
2016-02-28,0,35,0,28
2016-03-06,0,0,0,0
2016-03-13,0,21,12,20
2016-03-20,0,49,0,36
2016-03-27,0,0,31,24
2016-04-03,0,0,0,23
2016-04-10,0,15,46,27
2016-04-17,29,0,0,0
2016-04-24,0,0,0,36
2016-05-01,25,0,28,0
2016-05-08,0,0,0,91
2016-05-15,0,0,0,0
2016-05-22,0,0,0,0
2016-05-29,0,0,0,18
2016-06-05,31,0,0,38
2016-06-12,17,0,0,16
2016-06-19,0,15,15,0
2016-06-26,0,31,0,0
2016-07-03,0,19,0,0
2016-07-10,14,0,0,16
2016-07-17,0,53,0,0
2016-07-24,0,0,0,0
2016-07-31,24,20,22,0
2016-08-07,0,13,0,0
2016-08-14,0,0,24,0
2016-08-21,14,0,0,32
2016-08-28,0,0,0,0
2016-09-04,0,0,0,16
2016-09-11,41,0,0,19
2016-09-18,0,0,0,13
2016-09-25,0,29,0,0
2016-10-02,0,0,0,24
2016-10-09,0,0,92,0
2016-10-16,0,0,0,62
2016-10-23,0,0,0,26
2016-10-30,15,31,27,0
2016-11-06,0,0,0,24
2016-11-13,0,0,26,0
2016-11-20,0,0,0,14
2016-11-27,0,0,0,54
2016-12-04,0,0,16,20
2016-12-11,0,57,0,23
2016-12-18,15,36,0,0
2016-12-25,36,0,19,14
2017-01-01,0,0,0,14
2017-01-08,19,0,22,11
2017-01-15,0,0,0,44
2017-01-22,0,0,10,20
2017-01-29,0,0,0,17
2017-02-05,0,0,0,15
2017-02-12,19,0,0,0
2017-02-19,0,0,0,37
2017-02-26,11,16,25,23
2017-03-05,0,22,0,0
2017-03-12,0,0,0,0
2017-03-19,0,0,15,14
2017-03-26,19,11,0,0
2017-04-02,0,0,0,22
2017-04-09,25,0,0,16
2017-04-16,23,38,0,35
2017-04-23,13,0,0,15
2017-04-30,0,26,0,0
2017-05-07,0,0,0,0
2017-05-14,0,0,0,0
2017-05-21,37,0,0,0
2017-05-28,23,0,0,47
2017-06-04,0,0,16,0
2017-06-11,0,0,0,28
2017-06-18,27,0,0,16
2017-06-25,0,0,0,0
2017-07-02,39,0,0,0
2017-07-09,0,0,0,0
2017-07-16,0,0,0,12
2017-07-23,0,0,0,0
2017-07-30,0,17,0,26
2017-08-06,0,0,0,20
2017-08-13,11,13,28,0
2017-08-20,19,0,0,11
2017-08-27,0,0,0,0
2017-09-03,19,0,0,0
2017-09-10,0,0,0,13
2017-09-17,0,0,0,30
2017-09-24,0,0,0,0
2017-10-01,13,0,0,43
2017-10-08,0,20,0,15
2017-10-15,19,0,0,12
2017-10-22,0,23,0,0
2017-10-29,25,0,42,22
2017-11-05,0,0,0,0
2017-11-12,0,0,0,0
2017-11-19,0,0,0,15
2017-11-26,0,0,9,12
2017-12-03,0,0,19,14
2017-12-10,0,0,0,14
2017-12-17,0,0,0,16
2017-12-24,0,9,0,11
2017-12-31,16,0,0,46
