Kategorie: Alle Kategorien

Woche,Flu: (Zürich),Influenza: (Zürich),influenza: (Zürich),Grippe: (Zürich)
2013-01-06,7,55,10,36
2013-01-13,7,51,6,40
2013-01-20,8,64,4,52
2013-01-27,6,76,8,56
2013-02-03,8,83,3,62
2013-02-10,7,66,5,50
2013-02-17,8,63,8,50
2013-02-24,7,47,3,37
2013-03-03,5,39,2,34
2013-03-10,0,26,3,22
2013-03-17,7,26,5,19
2013-03-24,0,20,3,26
2013-03-31,11,30,0,17
2013-04-07,2,22,0,16
2013-04-14,6,21,1,16
2013-04-21,2,6,0,11
2013-04-28,2,11,0,19
2013-05-05,0,12,5,7
2013-05-12,3,11,0,10
2013-05-19,5,16,3,15
2013-05-26,2,10,2,6
2013-06-02,5,17,0,12
2013-06-09,4,10,3,6
2013-06-16,3,8,0,5
2013-06-23,0,10,0,5
2013-06-30,4,12,2,7
2013-07-07,4,7,0,9
2013-07-14,0,5,0,3
2013-07-21,4,6,0,6
2013-07-28,0,8,4,6
2013-08-04,3,6,0,0
2013-08-11,0,10,0,11
2013-08-18,0,8,0,10
2013-08-25,0,6,5,6
2013-09-01,4,11,3,12
2013-09-08,4,17,0,11
2013-09-15,2,11,4,8
2013-09-22,3,15,0,12
2013-09-29,0,15,0,18
2013-10-06,4,16,5,15
2013-10-13,2,19,0,13
2013-10-20,2,18,0,13
2013-10-27,2,21,3,21
2013-11-03,0,25,3,23
2013-11-10,3,17,3,13
2013-11-17,3,14,3,11
2013-11-24,3,20,3,16
2013-12-01,0,22,4,16
2013-12-08,2,15,0,15
2013-12-15,0,21,0,23
2013-12-22,0,24,3,22
2013-12-29,6,22,2,28
2014-01-05,2,22,0,15
2014-01-12,4,31,5,13
2014-01-19,0,17,3,20
2014-01-26,3,33,5,34
2014-02-02,3,36,4,24
2014-02-09,0,36,5,28
2014-02-16,0,35,4,26
2014-02-23,3,31,4,29
2014-03-02,5,31,0,28
2014-03-09,0,21,3,18
2014-03-16,6,25,2,18
2014-03-23,8,23,4,18
2014-03-30,0,16,0,19
2014-04-06,2,9,0,11
2014-04-13,0,15,0,14
2014-04-20,3,12,0,10
2014-04-27,0,14,0,11
2014-05-04,4,14,2,12
2014-05-11,6,12,0,11
2014-05-18,5,19,0,14
2014-05-25,3,5,0,11
2014-06-01,2,6,4,8
2014-06-08,0,6,3,5
2014-06-15,0,8,0,9
2014-06-22,0,4,2,6
2014-06-29,11,12,4,11
2014-07-06,2,13,0,9
2014-07-13,0,6,2,9
2014-07-20,2,10,0,9
2014-07-27,5,14,0,12
2014-08-03,7,13,4,11
2014-08-10,4,12,0,6
2014-08-17,1,10,0,8
2014-08-24,0,14,2,17
2014-08-31,2,13,0,15
2014-09-07,2,20,3,19
2014-09-14,0,17,2,12
2014-09-21,3,24,2,19
2014-09-28,5,15,4,14
2014-10-05,3,21,0,17
2014-10-12,0,28,0,19
2014-10-19,0,18,11,16
2014-10-26,6,15,0,11
2014-11-02,6,27,0,19
2014-11-09,4,23,2,20
2014-11-16,5,26,5,23
2014-11-23,3,22,5,18
2014-11-30,3,27,3,24
2014-12-07,3,25,0,16
2014-12-14,7,30,3,24
2014-12-21,4,19,0,18
2014-12-28,0,28,5,20
2015-01-04,3,36,3,30
2015-01-11,4,54,6,41
2015-01-18,4,47,2,47
2015-01-25,4,92,8,76
2015-02-01,5,100,11,78
2015-02-08,2,86,7,74
2015-02-15,6,89,6,77
2015-02-22,8,72,5,60
2015-03-01,7,67,8,55
2015-03-08,5,44,6,42
2015-03-15,5,44,4,35
2015-03-22,4,28,0,19
2015-03-29,3,19,2,18
2015-04-05,7,21,2,18
2015-04-12,3,13,1,14
2015-04-19,3,12,3,15
2015-04-26,6,15,0,11
2015-05-03,3,11,5,11
2015-05-10,2,5,0,6
2015-05-17,3,5,0,7
2015-05-24,0,8,0,6
2015-05-31,3,11,0,9
2015-06-07,1,11,2,9
2015-06-14,0,15,3,16
2015-06-21,0,11,0,8
2015-06-28,2,10,6,9
2015-07-05,2,8,0,7
2015-07-12,2,14,3,11
2015-07-19,2,10,0,6
2015-07-26,2,11,0,6
2015-08-02,3,12,3,12
2015-08-09,2,8,3,6
2015-08-16,0,13,0,11
2015-08-23,2,14,0,11
2015-08-30,3,15,3,13
2015-09-06,0,13,0,12
2015-09-13,3,17,7,19
2015-09-20,0,19,0,15
2015-09-27,9,24,4,20
2015-10-04,4,18,3,11
2015-10-11,2,22,3,27
2015-10-18,2,22,2,17
2015-10-25,5,21,2,19
2015-11-01,5,31,3,25
2015-11-08,0,20,7,23
2015-11-15,2,22,2,20
2015-11-22,5,18,4,12
2015-11-29,4,23,4,17
2015-12-06,3,24,7,23
2015-12-13,4,30,4,22
2015-12-20,3,24,5,21
2015-12-27,0,28,6,26
2016-01-03,4,34,4,28
2016-01-10,9,33,2,25
2016-01-17,7,43,7,32
2016-01-24,7,62,11,43
2016-01-31,6,68,5,51
2016-02-07,8,57,5,45
2016-02-14,8,56,6,50
2016-02-21,1,64,8,56
2016-02-28,5,61,5,49
2016-03-06,4,57,5,45
2016-03-13,8,51,9,47
2016-03-20,3,41,4,31
2016-03-27,4,36,7,34
2016-04-03,2,25,3,27
2016-04-10,4,26,3,22
2016-04-17,3,11,0,16
2016-04-24,4,16,2,15
2016-05-01,0,19,3,15
2016-05-08,7,15,0,13
2016-05-15,3,12,2,10
2016-05-22,6,15,1,10
2016-05-29,0,14,3,9
2016-06-05,1,9,1,7
2016-06-12,0,3,0,8
2016-06-19,3,7,3,6
2016-06-26,2,10,0,8
2016-07-03,5,13,0,15
2016-07-10,2,7,0,4
2016-07-17,2,11,0,16
2016-07-24,5,16,0,8
2016-07-31,0,5,3,8
2016-08-07,4,15,0,11
2016-08-14,2,9,0,12
2016-08-21,0,13,0,15
2016-08-28,4,14,0,15
2016-09-04,7,16,4,15
2016-09-11,3,15,0,13
2016-09-18,3,19,0,21
2016-09-25,4,19,0,18
2016-10-02,5,20,5,21
2016-10-09,3,23,3,21
2016-10-16,0,20,0,22
2016-10-23,0,21,0,15
2016-10-30,2,26,5,23
2016-11-06,11,44,4,28
2016-11-13,3,46,6,32
2016-11-20,6,37,4,24
2016-11-27,3,40,7,31
2016-12-04,2,36,4,25
2016-12-11,6,54,6,39
2016-12-18,9,74,8,60
2016-12-25,6,87,10,67
2017-01-01,3,95,6,72
2017-01-08,0,89,5,67
2017-01-15,4,68,5,59
2017-01-22,5,63,6,49
2017-01-29,10,61,5,46
2017-02-05,3,54,4,42
2017-02-12,2,45,8,28
2017-02-19,4,29,9,18
2017-02-26,6,29,2,19
2017-03-05,3,26,2,20
2017-03-12,0,24,6,11
2017-03-19,4,21,0,16
2017-03-26,2,24,2,19
2017-04-02,2,19,5,15
2017-04-09,4,22,3,11
2017-04-16,4,18,6,10
2017-04-23,0,15,4,12
2017-04-30,0,18,0,11
2017-05-07,1,21,0,17
2017-05-14,5,17,1,18
2017-05-21,6,18,0,8
2017-05-28,4,13,2,5
2017-06-04,7,10,0,12
2017-06-11,2,16,2,6
2017-06-18,4,12,3,19
2017-06-25,0,21,6,12
2017-07-02,9,18,2,16
2017-07-09,5,16,2,9
2017-07-16,4,11,0,10
2017-07-23,0,17,5,9
2017-07-30,0,16,2,10
2017-08-06,0,15,0,8
2017-08-13,2,14,2,14
2017-08-20,0,17,0,14
2017-08-27,3,18,3,10
2017-09-03,0,17,0,10
2017-09-10,2,24,0,15
2017-09-17,2,23,4,21
2017-09-24,9,29,0,15
2017-10-01,7,27,3,15
2017-10-08,3,30,0,14
2017-10-15,4,36,2,24
2017-10-22,4,31,2,14
2017-10-29,5,33,0,26
2017-11-05,7,33,7,14
2017-11-12,0,42,3,30
2017-11-19,7,39,5,30
2017-11-26,6,40,4,23
2017-12-03,4,42,2,26
2017-12-10,4,47,7,39
2017-12-17,7,52,4,39
