Kategorie: Alle Kategorien

Woche,Influenza: (Aargau),influenza: (Aargau),Grippe: (Aargau),Flu: (Aargau)
2017-11-05,7,4,5,0
2017-11-12,5,0,0,0
2017-11-19,10,0,7,0
2017-11-26,9,0,6,2
2017-12-03,7,0,3,4
2017-12-10,9,3,6,0
2017-12-17,13,0,13,2
2017-12-24,15,4,10,4
2017-12-31,22,4,15,0
2018-01-07,24,6,19,2
2018-01-14,21,5,13,0
2018-01-21,21,0,16,0
2018-01-28,19,2,18,2
2018-02-04,17,4,17,0
2018-02-11,17,3,15,0
2018-02-18,15,0,12,0
2018-02-25,19,3,17,0
2018-03-04,19,2,19,0
2018-03-11,11,0,12,0
2018-03-18,6,3,12,0
2018-03-25,8,0,12,0
2018-04-01,7,0,4,0
2018-04-08,13,0,8,0
2018-04-15,4,0,7,0
2018-04-22,0,0,0,0
2018-04-29,4,2,2,0
2018-05-06,3,0,6,2
2018-05-13,0,5,2,2
2018-05-20,3,10,3,0
2018-05-27,0,0,0,0
2018-06-03,4,0,5,0
2018-06-10,0,0,3,0
2018-06-17,3,0,0,0
2018-06-24,0,0,3,0
2018-07-01,2,0,0,0
2018-07-08,0,0,2,0
2018-07-15,0,2,0,4
2018-07-22,9,0,3,3
2018-07-29,4,0,4,0
2018-08-05,0,0,0,0
2018-08-12,3,0,5,0
2018-08-19,2,4,9,2
2018-08-26,7,0,3,2
2018-09-02,0,0,2,0
2018-09-09,3,0,3,0
2018-09-16,3,0,0,0
2018-09-23,6,0,5,0
2018-09-30,7,4,5,13
2018-10-07,4,0,0,0
2018-10-14,5,0,6,0
2018-10-21,6,0,9,2
2018-10-28,4,0,2,0
2018-11-04,8,0,6,0
2018-11-11,7,0,0,2
2018-11-18,5,0,10,0
2018-11-25,9,0,7,5
2018-12-02,6,3,6,2
2018-12-09,13,2,9,0
2018-12-16,7,2,3,2
2018-12-23,9,0,6,3
2018-12-30,11,0,8,8
2019-01-06,7,0,8,0
2019-01-13,11,0,4,0
2019-01-20,15,2,11,0
2019-01-27,13,4,18,3
2019-02-03,19,5,13,2
2019-02-10,14,4,11,2
2019-02-17,10,0,6,0
2019-02-24,15,4,6,2
2019-03-03,9,0,11,0
2019-03-10,5,2,9,0
2019-03-17,5,3,7,0
2019-03-24,10,0,7,0
2019-03-31,6,0,5,2
2019-04-07,10,0,5,0
2019-04-14,8,0,6,0
2019-04-21,6,5,2,0
2019-04-28,3,0,3,0
2019-05-05,4,0,2,0
2019-05-12,0,0,0,3
2019-05-19,3,0,2,0
2019-05-26,2,0,0,0
2019-06-02,0,0,0,2
2019-06-09,8,0,2,2
2019-06-16,0,2,2,0
2019-06-23,7,2,3,0
2019-06-30,0,0,5,2
2019-07-07,0,0,3,0
2019-07-14,0,0,0,0
2019-07-21,3,0,0,0
2019-07-28,4,0,2,2
2019-08-04,0,0,0,0
2019-08-11,2,0,1,0
2019-08-18,3,0,3,0
2019-08-25,5,0,2,0
2019-09-01,2,0,10,0
2019-09-08,0,3,5,0
2019-09-15,4,2,7,3
2019-09-22,6,0,5,0
2019-09-29,3,0,6,0
2019-10-06,4,5,4,5
2019-10-13,7,0,7,0
2019-10-20,5,2,5,0
2019-10-27,6,0,7,3
2019-11-03,7,0,2,0
2019-11-10,7,2,7,0
2019-11-17,3,0,5,0
2019-11-24,8,2,6,0
2019-12-01,4,4,7,3
2019-12-08,6,0,9,0
2019-12-15,7,3,5,0
2019-12-22,4,0,11,0
2019-12-29,6,4,6,3
2020-01-05,10,3,9,0
2020-01-12,12,3,7,2
2020-01-19,15,5,14,1
2020-01-26,36,3,28,2
2020-02-02,27,6,17,5
2020-02-09,21,4,17,0
2020-02-16,18,4,11,3
2020-02-23,71,12,56,7
2020-03-01,56,10,41,4
2020-03-08,77,10,55,8
2020-03-15,100,14,75,6
2020-03-22,58,11,38,5
2020-03-29,41,7,27,0
2020-04-05,24,0,22,0
2020-04-12,16,3,12,3
2020-04-19,22,2,14,6
2020-04-26,18,3,11,0
2020-05-03,12,2,7,3
2020-05-10,11,3,1,1
2020-05-17,9,0,11,1
2020-05-24,6,2,6,4
2020-05-31,7,2,2,0
2020-06-07,6,2,2,2
2020-06-14,7,0,4,0
2020-06-21,7,0,3,0
2020-06-28,6,0,4,0
2020-07-05,13,2,6,0
2020-07-12,8,4,5,0
2020-07-19,5,3,3,2
2020-07-26,7,0,6,0
2020-08-02,10,1,7,0
2020-08-09,7,0,7,2
2020-08-16,7,2,5,3
2020-08-23,12,0,7,6
2020-08-30,4,4,8,0
2020-09-06,7,3,6,0
2020-09-13,10,2,9,0
2020-09-20,7,0,5,0
2020-09-27,6,0,8,2
2020-10-04,12,2,11,2
2020-10-11,17,3,12,5
2020-10-18,21,3,15,0
2020-10-25,27,0,16,6
2020-11-01,12,0,12,3
2020-11-08,15,0,11,4
2020-11-15,14,0,12,1
2020-11-22,7,0,5,3
2020-11-29,10,0,8,0
2020-12-06,15,3,11,0
2020-12-13,17,1,10,0
2020-12-20,13,2,8,0
2020-12-27,13,0,9,2
2021-01-03,11,2,8,3
2021-01-10,10,0,7,0
2021-01-17,11,2,8,2
2021-01-24,10,2,7,0
2021-01-31,8,0,7,0
2021-02-07,11,0,8,2
2021-02-14,11,1,7,0
2021-02-21,8,2,7,0
2021-02-28,6,0,11,4
2021-03-07,9,0,3,0
2021-03-14,11,0,8,0
2021-03-21,6,0,4,0
2021-03-28,4,0,7,0
2021-04-04,8,0,0,0
2021-04-11,0,0,4,2
2021-04-18,5,4,3,0
2021-04-25,3,0,3,0
2021-05-02,6,0,3,3
2021-05-09,6,5,8,0
2021-05-16,5,0,3,0
2021-05-23,2,0,1,0
2021-05-30,5,4,4,2
2021-06-06,4,0,4,2
2021-06-13,0,0,0,5
2021-06-20,4,0,4,0
2021-06-27,0,0,2,0
2021-07-04,3,2,4,0
2021-07-11,5,2,6,2
2021-07-18,4,0,0,3
2021-07-25,4,0,4,0
2021-08-01,8,0,7,2
2021-08-08,8,0,9,0
2021-08-15,7,1,3,0
2021-08-22,7,0,4,0
2021-08-29,7,2,9,0
2021-09-05,8,0,3,0
2021-09-12,11,0,4,2
2021-09-19,5,2,5,0
2021-09-26,5,2,5,0
2021-10-03,7,4,4,0
2021-10-10,7,0,2,0
2021-10-17,5,0,7,0
2021-10-24,8,0,7,2
2021-10-31,12,0,10,2
2021-11-07,7,0,8,0
2021-11-14,13,2,12,0
2021-11-21,8,0,11,0
2021-11-28,15,4,11,0
2021-12-05,12,2,15,0
2021-12-12,7,0,8,1
2021-12-19,7,2,7,0
2021-12-26,8,5,14,0
2022-01-02,9,2,9,0
2022-01-09,10,2,8,3
2022-01-16,13,0,9,0
2022-01-23,7,2,5,2
2022-01-30,7,3,7,0
2022-02-06,5,2,3,0
2022-02-13,7,3,5,0
2022-02-20,6,2,2,0
2022-02-27,7,3,8,3
2022-03-06,6,0,6,0
2022-03-13,9,0,4,0
2022-03-20,12,4,6,2
2022-03-27,10,0,10,3
2022-04-03,9,0,5,2
2022-04-10,2,1,2,1
2022-04-17,8,5,5,0
2022-04-24,5,0,5,2
2022-05-01,3,0,3,0
2022-05-08,3,3,3,0
2022-05-15,3,1,2,3
2022-05-22,4,0,3,0
2022-05-29,2,0,2,0
2022-06-05,2,0,3,2
2022-06-12,4,0,3,0
2022-06-19,5,0,5,0
2022-06-26,0,2,4,0
2022-07-03,6,0,4,2
2022-07-10,0,0,0,1
2022-07-17,6,1,3,0
2022-07-24,6,0,4,0
2022-07-31,3,0,3,0
2022-08-07,2,0,4,0
2022-08-14,4,0,8,0
2022-08-21,0,1,6,2
2022-08-28,7,1,6,2
2022-09-04,6,0,5,0
2022-09-11,4,0,7,1
2022-09-18,5,0,6,3
2022-09-25,7,0,6,0
2022-10-02,9,4,11,0
2022-10-09,5,0,6,2
2022-10-16,9,0,6,3
2022-10-23,9,3,6,0
2022-10-30,9,1,6,1
2022-11-06,11,0,9,4
2022-11-13,11,2,6,2
2022-11-20,6,2,7,0
2022-11-27,7,0,8,4
2022-12-04,16,5,12,0
2022-12-11,26,5,15,4
2022-12-18,29,9,21,2
2022-12-25,30,7,22,0
