Kategorie: Alle Kategorien

Woche,Influenza: (Appenzell Ausserrhoden),influenza: (Appenzell Ausserrhoden),Grippe: (Appenzell Ausserrhoden),Flu: (Appenzell Ausserrhoden)
2017-11-05,0,0,0,0
2017-11-12,42,0,42,0
2017-11-19,28,0,0,0
2017-11-26,0,52,0,0
2017-12-03,0,0,0,0
2017-12-10,0,43,0,0
2017-12-17,0,0,0,0
2017-12-24,50,0,0,0
2017-12-31,0,0,0,0
2018-01-07,0,0,0,0
2018-01-14,100,0,0,0
2018-01-21,24,0,0,0
2018-01-28,0,32,0,0
2018-02-04,0,0,0,0
2018-02-11,67,0,0,0
2018-02-18,0,41,0,0
2018-02-25,0,0,54,0
2018-03-04,0,31,0,0
2018-03-11,0,0,60,0
2018-03-18,0,42,32,0
2018-03-25,51,0,0,0
2018-04-01,0,0,0,0
2018-04-08,0,0,0,0
2018-04-15,0,33,0,0
2018-04-22,0,56,55,0
2018-04-29,0,0,0,0
2018-05-06,0,0,49,0
2018-05-13,0,24,0,0
2018-05-20,0,0,0,0
2018-05-27,78,0,0,0
2018-06-03,0,0,47,0
2018-06-10,0,0,0,0
2018-06-17,88,74,0,0
2018-06-24,0,0,0,0
2018-07-01,0,0,0,0
2018-07-08,0,0,75,0
2018-07-15,0,0,40,0
2018-07-22,0,0,0,0
2018-07-29,0,42,0,0
2018-08-05,0,0,0,0
2018-08-12,0,0,24,0
2018-08-19,0,0,0,0
2018-08-26,0,0,0,0
2018-09-02,0,0,0,0
2018-09-09,0,0,0,0
2018-09-16,0,0,0,0
2018-09-23,86,0,0,0
2018-09-30,26,48,0,0
2018-10-07,0,0,38,0
2018-10-14,0,83,0,0
2018-10-21,89,0,0,0
2018-10-28,0,0,0,0
2018-11-04,0,0,0,0
2018-11-11,49,0,0,0
2018-11-18,0,36,0,0
2018-11-25,27,0,0,0
2018-12-02,0,0,0,0
2018-12-09,0,0,0,0
2018-12-16,0,0,0,0
2018-12-23,0,40,0,0
2018-12-30,32,0,0,0
2019-01-06,0,0,0,0
2019-01-13,0,0,0,0
2019-01-20,0,0,21,0
2019-01-27,69,26,52,0
2019-02-03,28,0,50,0
2019-02-10,0,0,0,0
2019-02-17,0,0,0,0
2019-02-24,0,0,0,0
2019-03-03,0,0,28,0
2019-03-10,58,0,0,0
2019-03-17,32,0,0,0
2019-03-24,0,0,94,0
2019-03-31,0,0,0,0
2019-04-07,0,0,0,0
2019-04-14,0,52,0,0
2019-04-21,0,0,0,0
2019-04-28,0,0,0,0
2019-05-05,0,0,48,0
2019-05-12,0,0,61,0
2019-05-19,24,0,0,0
2019-05-26,0,0,0,0
2019-06-02,0,0,0,0
2019-06-09,0,0,0,0
2019-06-16,0,57,53,0
2019-06-23,0,0,0,0
2019-06-30,0,0,0,0
2019-07-07,0,0,0,0
2019-07-14,0,0,0,0
2019-07-21,25,0,0,0
2019-07-28,0,0,33,0
2019-08-04,23,0,0,0
2019-08-11,0,0,40,0
2019-08-18,0,51,0,0
2019-08-25,40,24,0,0
2019-09-01,0,20,65,0
2019-09-08,37,0,0,0
2019-09-15,0,44,35,0
2019-09-22,0,0,0,0
2019-09-29,0,0,0,0
2019-10-06,0,25,39,0
2019-10-13,0,0,0,0
2019-10-20,19,0,24,0
2019-10-27,0,0,0,0
2019-11-03,0,27,0,0
2019-11-10,0,0,19,0
2019-11-17,0,0,27,0
2019-11-24,0,0,18,0
2019-12-01,0,0,0,0
2019-12-08,44,0,0,0
2019-12-15,64,0,22,0
2019-12-22,0,0,0,0
2019-12-29,0,27,0,0
2020-01-05,34,0,0,0
2020-01-12,0,0,0,0
2020-01-19,0,40,25,0
2020-01-26,88,44,47,0
2020-02-02,0,0,42,0
2020-02-09,17,0,44,0
2020-02-16,0,0,46,0
2020-02-23,42,64,24,0
2020-03-01,40,24,0,0
2020-03-08,66,0,72,0
2020-03-15,87,0,86,0
2020-03-22,32,0,33,0
2020-03-29,52,0,19,0
2020-04-05,32,0,0,0
2020-04-12,0,0,21,0
2020-04-19,0,0,0,0
2020-04-26,35,0,0,0
2020-05-03,0,0,0,0
2020-05-10,44,0,0,0
2020-05-17,0,0,0,0
2020-05-24,0,0,0,0
2020-05-31,0,15,0,0
2020-06-07,0,0,0,0
2020-06-14,0,0,0,0
2020-06-21,0,0,0,0
2020-06-28,0,0,0,0
2020-07-05,17,0,0,0
2020-07-12,0,0,43,0
2020-07-19,30,0,36,0
2020-07-26,0,0,0,0
2020-08-02,0,0,22,0
2020-08-09,0,0,0,0
2020-08-16,35,0,0,0
2020-08-23,0,21,0,0
2020-08-30,0,0,0,0
2020-09-06,17,0,0,0
2020-09-13,0,0,0,0
2020-09-20,0,0,0,0
2020-09-27,46,0,0,0
2020-10-04,0,0,0,0
2020-10-11,26,54,0,0
2020-10-18,0,0,0,0
2020-10-25,0,0,56,0
2020-11-01,0,0,0,0
2020-11-08,21,0,18,0
2020-11-15,62,0,23,0
2020-11-22,31,0,0,0
2020-11-29,0,0,28,0
2020-12-06,17,0,39,0
2020-12-13,19,0,28,0
2020-12-20,0,0,0,0
2020-12-27,0,19,0,0
2021-01-03,40,0,24,0
2021-01-10,25,0,25,0
2021-01-17,60,0,24,0
2021-01-24,0,16,0,0
2021-01-31,16,0,38,0
2021-02-07,0,0,0,0
2021-02-14,0,0,0,0
2021-02-21,0,20,0,0
2021-02-28,0,0,0,0
2021-03-07,27,0,0,0
2021-03-14,0,0,0,0
2021-03-21,0,33,0,0
2021-03-28,0,0,0,0
2021-04-04,0,0,0,0
2021-04-11,0,0,19,0
2021-04-18,25,0,0,0
2021-04-25,46,0,0,0
2021-05-02,0,0,29,0
2021-05-09,0,0,26,0
2021-05-16,37,0,0,0
2021-05-23,0,22,0,0
2021-05-30,0,0,0,0
2021-06-06,41,0,0,0
2021-06-13,0,0,0,0
2021-06-20,0,39,48,0
2021-06-27,0,0,0,0
2021-07-04,0,0,0,0
2021-07-11,0,0,0,0
2021-07-18,0,0,30,0
2021-07-25,0,0,57,0
2021-08-01,0,0,0,0
2021-08-08,0,0,0,0
2021-08-15,54,0,28,0
2021-08-22,0,0,0,0
2021-08-29,0,0,21,0
2021-09-05,0,0,0,0
2021-09-12,0,35,61,0
2021-09-19,0,0,0,0
2021-09-26,0,0,0,0
