Kategorie: Alle Kategorien

Woche,Influenza: (Basel-Landschaft),influenza: (Basel-Landschaft),Grippe: (Basel-Landschaft),Flu: (Basel-Landschaft)
2017-11-05,12,0,24,0
2017-11-12,5,5,8,0
2017-11-19,12,4,5,6
2017-11-26,14,4,21,0
2017-12-03,16,4,22,0
2017-12-10,10,0,0,0
2017-12-17,10,0,14,0
2017-12-24,13,0,5,0
2017-12-31,12,0,11,0
2018-01-07,27,0,26,7
2018-01-14,17,5,26,7
2018-01-21,22,5,14,0
2018-01-28,27,0,12,0
2018-02-04,14,6,5,4
2018-02-11,17,0,24,11
2018-02-18,29,15,15,0
2018-02-25,20,10,23,0
2018-03-04,15,0,12,0
2018-03-11,13,0,0,6
2018-03-18,10,5,9,0
2018-03-25,0,0,0,0
2018-04-01,4,0,4,5
2018-04-08,10,0,6,0
2018-04-15,0,8,0,0
2018-04-22,0,0,0,4
2018-04-29,4,0,5,0
2018-05-06,6,0,0,0
2018-05-13,0,0,4,0
2018-05-20,7,0,0,0
2018-05-27,0,0,4,4
2018-06-03,9,0,0,0
2018-06-10,6,0,0,0
2018-06-17,11,0,4,7
2018-06-24,0,5,4,6
2018-07-01,0,0,7,0
2018-07-08,0,4,0,0
2018-07-15,4,0,14,0
2018-07-22,4,0,8,0
2018-07-29,6,0,0,0
2018-08-05,4,19,0,0
2018-08-12,4,0,0,0
2018-08-19,0,0,0,4
2018-08-26,0,7,0,0
2018-09-02,0,5,12,5
2018-09-09,0,0,4,0
2018-09-16,5,0,0,0
2018-09-23,5,6,11,0
2018-09-30,5,0,0,0
2018-10-07,7,0,0,0
2018-10-14,0,4,16,0
2018-10-21,5,0,0,0
2018-10-28,4,0,8,0
2018-11-04,0,4,0,0
2018-11-11,6,0,0,0
2018-11-18,16,0,12,0
2018-11-25,13,0,10,0
2018-12-02,0,0,9,8
2018-12-09,10,9,0,0
2018-12-16,10,0,7,7
2018-12-23,10,0,10,0
2018-12-30,0,0,6,0
2019-01-06,9,0,7,0
2019-01-13,0,0,4,0
2019-01-20,0,0,7,0
2019-01-27,8,0,11,0
2019-02-03,11,5,16,0
2019-02-10,25,3,18,11
2019-02-17,15,11,14,0
2019-02-24,9,10,4,0
2019-03-03,22,0,17,0
2019-03-10,5,0,7,0
2019-03-17,14,0,4,0
2019-03-24,4,5,11,0
2019-03-31,8,0,0,3
2019-04-07,0,0,8,0
2019-04-14,5,0,0,0
2019-04-21,15,0,0,9
2019-04-28,8,0,3,0
2019-05-05,3,0,5,6
2019-05-12,0,0,0,0
2019-05-19,0,0,7,0
2019-05-26,15,0,0,0
2019-06-02,0,0,10,0
2019-06-09,0,0,0,8
2019-06-16,0,0,0,0
2019-06-23,0,0,0,4
2019-06-30,7,0,0,0
2019-07-07,0,4,6,12
2019-07-14,0,0,0,6
2019-07-21,0,0,5,0
2019-07-28,0,4,4,0
2019-08-04,0,0,5,0
2019-08-11,0,0,0,0
2019-08-18,0,0,4,0
2019-08-25,0,7,0,0
2019-09-01,0,0,0,0
2019-09-08,4,0,3,7
2019-09-15,0,6,4,9
2019-09-22,5,0,0,3
2019-09-29,0,0,7,0
2019-10-06,7,0,0,5
2019-10-13,0,0,0,5
2019-10-20,5,0,5,0
2019-10-27,10,6,0,0
2019-11-03,13,0,6,6
2019-11-10,3,0,0,3
2019-11-17,5,0,10,4
2019-11-24,9,0,10,6
2019-12-01,0,7,0,0
2019-12-08,10,0,10,0
2019-12-15,11,0,7,4
2019-12-22,6,0,9,0
2019-12-29,6,0,0,4
2020-01-05,0,3,3,0
2020-01-12,0,0,7,7
2020-01-19,0,0,0,0
2020-01-26,18,7,24,3
2020-02-02,18,4,10,0
2020-02-09,18,9,24,0
2020-02-16,27,7,16,0
2020-02-23,100,12,71,16
2020-03-01,72,12,53,3
2020-03-08,73,9,50,7
2020-03-15,86,16,70,0
2020-03-22,62,12,52,0
2020-03-29,36,15,25,3
2020-04-05,27,11,15,9
2020-04-12,23,6,20,6
2020-04-19,17,4,13,4
2020-04-26,20,4,11,0
2020-05-03,5,3,8,17
2020-05-10,15,5,19,0
2020-05-17,7,0,4,0
2020-05-24,7,0,0,3
2020-05-31,6,0,0,4
2020-06-07,9,0,4,0
2020-06-14,6,0,7,0
2020-06-21,5,0,4,0
2020-06-28,14,0,0,0
2020-07-05,0,4,0,0
2020-07-12,5,4,0,0
2020-07-19,6,8,4,3
2020-07-26,15,0,5,0
2020-08-02,6,0,8,0
2020-08-09,9,0,6,0
2020-08-16,7,3,0,0
2020-08-23,9,6,0,3
2020-08-30,8,0,7,0
2020-09-06,25,4,12,0
2020-09-13,9,0,6,4
2020-09-20,0,0,6,6
2020-09-27,8,0,0,0
2020-10-04,0,5,9,0
2020-10-11,13,0,7,0
2020-10-18,14,4,5,0
2020-10-25,15,0,8,0
2020-11-01,13,0,4,0
2020-11-08,12,0,10,0
2020-11-15,13,0,9,8
2020-11-22,9,0,10,0
2020-11-29,8,0,8,0
2020-12-06,16,0,7,0
2020-12-13,8,0,8,0
2020-12-20,9,0,16,0
2020-12-27,6,5,10,0
2021-01-03,8,3,7,0
2021-01-10,13,4,9,0
2021-01-17,9,0,7,3
2021-01-24,7,0,16,0
2021-01-31,8,0,6,0
2021-02-07,12,0,0,0
2021-02-14,9,0,8,0
2021-02-21,9,5,0,0
2021-02-28,0,4,0,9
2021-03-07,3,0,0,0
2021-03-14,9,0,10,0
2021-03-21,6,0,7,0
2021-03-28,0,0,9,0
2021-04-04,13,0,0,0
2021-04-11,8,0,0,0
2021-04-18,7,0,0,0
2021-04-25,9,0,3,0
2021-05-02,0,0,6,5
2021-05-09,14,0,0,0
2021-05-16,0,0,6,0
2021-05-23,0,5,0,7
2021-05-30,5,0,3,0
2021-06-06,0,0,3,0
2021-06-13,0,5,0,0
2021-06-20,0,0,0,0
2021-06-27,3,0,0,0
2021-07-04,3,0,0,0
2021-07-11,9,0,0,0
2021-07-18,14,0,4,0
2021-07-25,0,0,0,0
2021-08-01,8,14,0,3
2021-08-08,16,4,6,0
2021-08-15,10,5,6,0
2021-08-22,0,0,9,0
2021-08-29,3,0,0,0
2021-09-05,5,0,10,0
2021-09-12,5,0,0,0
2021-09-19,0,0,7,12
2021-09-26,4,0,5,0
2021-10-03,15,0,6,0
2021-10-10,0,0,0,0
2021-10-17,8,0,4,0
2021-10-24,9,0,10,4
2021-10-31,6,3,9,5
2021-11-07,4,0,8,0
2021-11-14,10,0,8,0
2021-11-21,3,0,3,0
2021-11-28,21,6,15,0
2021-12-05,12,0,10,3
2021-12-12,13,0,22,6
2021-12-19,10,10,11,0
2021-12-26,11,0,8,0
2022-01-02,10,7,4,0
2022-01-09,6,5,18,7
2022-01-16,5,0,3,0
2022-01-23,10,6,8,0
2022-01-30,4,0,5,5
2022-02-06,9,0,7,6
2022-02-13,13,0,13,0
2022-02-20,5,0,12,3
2022-02-27,11,5,0,0
2022-03-06,7,0,5,0
2022-03-13,6,0,4,0
2022-03-20,7,0,3,3
2022-03-27,7,3,3,0
2022-04-03,6,0,11,0
2022-04-10,0,0,3,0
2022-04-17,0,0,3,0
2022-04-24,6,6,0,3
2022-05-01,5,0,5,0
2022-05-08,5,0,5,4
2022-05-15,7,5,0,0
2022-05-22,0,4,0,0
2022-05-29,0,0,0,0
2022-06-05,0,0,4,0
2022-06-12,0,0,4,0
2022-06-19,0,3,3,10
2022-06-26,0,0,4,4
2022-07-03,8,3,0,16
2022-07-10,4,0,7,3
2022-07-17,0,4,0,12
2022-07-24,0,10,0,0
2022-07-31,0,0,5,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,3,0,0,0
2022-08-28,0,0,6,0
2022-09-04,4,0,4,0
2022-09-11,3,4,3,0
2022-09-18,0,0,5,0
2022-09-25,0,0,0,3
2022-10-02,0,0,3,9
2022-10-09,6,0,4,5
2022-10-16,0,4,4,0
2022-10-23,0,3,0,11
2022-10-30,12,0,10,0
2022-11-06,16,7,8,0
2022-11-13,20,6,13,0
2022-11-20,0,0,9,3
2022-11-27,5,0,7,4
2022-12-04,16,0,5,3
2022-12-11,13,7,10,6
2022-12-18,32,13,21,0
2022-12-25,42,16,31,0
