Kategorie: Alle Kategorien

Woche,husten: (Basel-Landschaft),Fieber: (Basel-Landschaft),fièvre: (Basel-Landschaft),toux: (Basel-Landschaft)
2017-11-05,0,24,0,0
2017-11-12,15,34,0,0
2017-11-19,0,38,0,0
2017-11-26,52,33,0,0
2017-12-03,19,19,0,0
2017-12-10,62,13,0,0
2017-12-17,47,72,0,0
2017-12-24,31,34,0,0
2017-12-31,27,17,0,0
2018-01-07,0,28,0,0
2018-01-14,11,50,0,0
2018-01-21,16,34,0,0
2018-01-28,33,32,0,0
2018-02-04,16,51,0,0
2018-02-11,20,86,0,0
2018-02-18,53,26,0,0
2018-02-25,77,13,0,0
2018-03-04,0,16,0,0
2018-03-11,47,66,0,0
2018-03-18,58,15,0,0
2018-03-25,17,0,0,0
2018-04-01,0,30,0,0
2018-04-08,0,22,0,0
2018-04-15,0,0,0,0
2018-04-22,0,0,0,0
2018-04-29,14,51,0,0
2018-05-06,20,24,0,0
2018-05-13,15,46,0,0
2018-05-20,12,0,0,0
2018-05-27,0,40,0,0
2018-06-03,32,20,0,0
2018-06-10,24,48,0,0
2018-06-17,48,37,0,0
2018-06-24,0,24,0,0
2018-07-01,0,42,0,0
2018-07-08,0,23,0,0
2018-07-15,17,27,0,0
2018-07-22,0,0,0,0
2018-07-29,22,15,0,0
2018-08-05,24,21,0,0
2018-08-12,18,35,0,0
2018-08-19,15,27,0,0
2018-08-26,0,17,0,0
2018-09-02,0,23,0,0
2018-09-09,24,0,0,0
2018-09-16,0,24,0,0
2018-09-23,40,20,0,0
2018-09-30,16,55,0,0
2018-10-07,36,28,0,0
2018-10-14,23,0,0,0
2018-10-21,0,19,0,0
2018-10-28,0,27,0,0
2018-11-04,15,0,0,0
2018-11-11,26,28,0,0
2018-11-18,34,0,0,0
2018-11-25,0,56,0,0
2018-12-02,34,19,0,0
2018-12-09,53,14,0,0
2018-12-16,37,34,0,0
2018-12-23,52,42,0,0
2018-12-30,0,0,0,0
2019-01-06,23,21,0,0
2019-01-13,68,18,0,0
2019-01-20,52,52,0,0
2019-01-27,14,13,0,0
2019-02-03,18,75,0,0
2019-02-10,44,65,0,0
2019-02-17,13,34,0,0
2019-02-24,57,23,0,0
2019-03-03,42,0,0,0
2019-03-10,30,38,0,0
2019-03-17,57,21,0,0
2019-03-24,17,0,0,0
2019-03-31,15,54,0,0
2019-04-07,26,0,0,0
2019-04-14,14,0,0,0
2019-04-21,58,53,0,0
2019-04-28,0,0,0,0
2019-05-05,0,45,0,0
2019-05-12,19,0,0,0
2019-05-19,16,44,0,0
2019-05-26,0,0,0,0
2019-06-02,16,28,0,0
2019-06-09,0,0,0,0
2019-06-16,13,22,0,0
2019-06-23,14,27,0,0
2019-06-30,15,43,0,0
2019-07-07,0,0,0,0
2019-07-14,15,34,0,0
2019-07-21,0,0,0,0
2019-07-28,23,31,0,0
2019-08-04,40,47,0,0
2019-08-11,15,0,0,0
2019-08-18,17,0,0,0
2019-08-25,0,0,0,0
2019-09-01,0,0,0,0
2019-09-08,0,30,0,0
2019-09-15,0,31,0,0
2019-09-22,25,23,0,0
2019-09-29,18,35,0,0
2019-10-06,44,25,0,0
2019-10-13,14,55,0,0
2019-10-20,0,12,0,0
2019-10-27,24,57,0,0
2019-11-03,0,38,0,0
2019-11-10,24,22,0,0
2019-11-17,34,0,0,0
2019-11-24,28,0,0,0
2019-12-01,39,32,0,0
2019-12-08,0,19,0,0
2019-12-15,21,19,0,0
2019-12-22,0,25,0,0
2019-12-29,28,34,0,0
2020-01-05,22,34,0,0
2020-01-12,54,57,0,0
2020-01-19,51,49,0,0
2020-01-26,40,49,0,0
2020-02-02,52,43,0,0
2020-02-09,26,34,0,0
2020-02-16,24,45,0,0
2020-02-23,63,69,0,0
2020-03-01,71,100,0,0
2020-03-08,60,82,0,0
2020-03-15,70,55,0,0
2020-03-22,25,68,0,0
2020-03-29,22,38,0,0
2020-04-05,58,45,0,0
2020-04-12,13,38,0,0
2020-04-19,0,45,0,0
2020-04-26,0,0,0,0
2020-05-03,0,59,0,0
2020-05-10,0,26,0,0
2020-05-17,12,13,0,0
2020-05-24,0,33,0,0
2020-05-31,19,23,0,0
2020-06-07,16,22,0,0
2020-06-14,33,27,0,0
2020-06-21,0,27,0,0
2020-06-28,25,14,0,0
2020-07-05,32,17,0,0
2020-07-12,20,14,0,0
2020-07-19,15,0,0,0
2020-07-26,25,41,0,0
2020-08-02,0,17,0,0
2020-08-09,38,34,0,0
2020-08-16,0,43,0,0
2020-08-23,0,45,0,0
2020-08-30,40,42,0,0
2020-09-06,0,33,0,0
2020-09-13,9,26,0,0
2020-09-20,49,44,0,0
2020-09-27,28,19,0,0
2020-10-04,0,30,0,0
2020-10-11,23,27,0,0
2020-10-18,28,43,0,0
2020-10-25,25,35,0,0
2020-11-01,27,49,0,0
2020-11-08,34,0,0,0
2020-11-15,33,12,0,0
2020-11-22,32,43,0,0
2020-11-29,0,30,0,0
2020-12-06,0,0,0,0
2020-12-13,18,30,0,0
2020-12-20,13,65,0,0
2020-12-27,0,29,0,0
2021-01-03,24,15,0,0
2021-01-10,0,39,0,0
2021-01-17,10,17,0,0
2021-01-24,31,0,0,0
2021-01-31,0,14,0,0
2021-02-07,21,24,0,0
2021-02-14,0,34,0,0
2021-02-21,13,35,0,0
2021-02-28,0,20,0,0
2021-03-07,27,53,0,0
2021-03-14,13,37,0,0
2021-03-21,0,27,0,0
2021-03-28,45,41,0,0
2021-04-04,30,22,0,0
2021-04-11,0,32,0,0
2021-04-18,0,19,0,0
2021-04-25,16,18,0,0
2021-05-02,0,0,0,0
2021-05-09,0,35,0,0
2021-05-16,23,31,0,0
2021-05-23,13,16,0,0
2021-05-30,0,0,0,0
2021-06-06,19,24,0,0
2021-06-13,19,12,0,0
2021-06-20,31,52,0,0
2021-06-27,66,19,0,0
2021-07-04,36,43,0,0
2021-07-11,0,35,0,0
2021-07-18,0,39,0,0
2021-07-25,0,33,0,0
2021-08-01,30,37,0,0
2021-08-08,18,34,0,0
2021-08-15,0,39,0,0
2021-08-22,40,53,0,0
2021-08-29,0,16,0,0
2021-09-05,46,41,0,0
2021-09-12,0,0,0,0
2021-09-19,0,33,0,0
2021-09-26,25,23,0,0
2021-10-03,33,35,0,0
2021-10-10,43,23,0,0
2021-10-17,49,26,0,0
2021-10-24,34,42,0,0
2021-10-31,29,36,0,0
2021-11-07,45,0,0,0
2021-11-14,36,21,0,0
2021-11-21,0,55,0,0
2021-11-28,0,56,0,0
2021-12-05,21,58,0,0
2021-12-12,38,42,0,0
2021-12-19,29,38,0,0
2021-12-26,43,52,0,0
2022-01-02,19,15,0,0
2022-01-09,0,57,0,0
2022-01-16,19,56,0,0
2022-01-23,34,50,0,0
2022-01-30,26,26,0,0
2022-02-06,39,48,0,0
2022-02-13,22,10,0,0
2022-02-20,22,46,0,0
2022-02-27,41,48,0,0
2022-03-06,30,48,0,0
2022-03-13,45,73,0,0
2022-03-20,37,71,0,0
2022-03-27,38,53,0,0
2022-04-03,24,36,0,0
2022-04-10,70,40,0,0
2022-04-17,64,40,0,0
2022-04-24,46,14,0,0
2022-05-01,32,30,0,0
2022-05-08,17,22,0,0
2022-05-15,15,48,0,0
2022-05-22,22,25,0,0
2022-05-29,43,12,0,0
2022-06-05,21,22,0,0
2022-06-12,36,47,0,0
2022-06-19,31,84,0,0
2022-06-26,0,16,0,0
2022-07-03,37,74,0,0
2022-07-10,0,22,0,0
2022-07-17,0,38,0,0
2022-07-24,43,31,0,0
2022-07-31,17,21,0,0
2022-08-07,14,18,0,0
2022-08-14,12,30,0,0
2022-08-21,25,31,0,0
2022-08-28,10,13,0,0
2022-09-04,39,37,0,0
2022-09-11,35,32,0,0
2022-09-18,0,48,0,0
2022-09-25,33,66,0,0
2022-10-02,39,30,0,0
2022-10-09,17,33,0,0
2022-10-16,21,32,0,0
2022-10-23,27,53,0,0
2022-10-30,44,58,0,0
2022-11-06,46,47,0,0
2022-11-13,31,39,0,0
2022-11-20,37,40,0,0
2022-11-27,51,51,0,0
2022-12-04,59,49,0,0
2022-12-11,29,97,0,0
2022-12-18,56,100,0,0
2022-12-25,65,99,0,0
