Kategorie: Alle Kategorien

Woche,Influenza: (Schweiz),influenza: (Schweiz),Grippe: (Schweiz),Flu: (Schweiz)
2017-11-05,11,1,8,1
2017-11-12,10,1,7,<1
2017-11-19,11,1,7,1
2017-11-26,11,1,7,1
2017-12-03,11,1,7,1
2017-12-10,12,2,9,1
2017-12-17,15,2,11,2
2017-12-24,26,4,20,1
2017-12-31,27,4,19,2
2018-01-07,26,3,18,3
2018-01-14,21,2,15,2
2018-01-21,23,3,17,2
2018-01-28,22,3,17,2
2018-02-04,22,2,16,3
2018-02-11,21,3,15,2
2018-02-18,22,3,16,1
2018-02-25,18,3,14,1
2018-03-04,17,2,14,2
2018-03-11,14,2,11,1
2018-03-18,14,2,12,1
2018-03-25,11,2,9,1
2018-04-01,9,1,7,1
2018-04-08,7,1,6,1
2018-04-15,6,1,5,1
2018-04-22,3,1,3,<1
2018-04-29,4,1,3,1
2018-05-06,3,<1,3,<1
2018-05-13,4,<1,3,1
2018-05-20,4,1,3,1
2018-05-27,4,<1,3,1
2018-06-03,3,1,3,1
2018-06-10,3,1,2,1
2018-06-17,3,1,3,<1
2018-06-24,3,<1,3,1
2018-07-01,3,1,2,1
2018-07-08,4,<1,3,1
2018-07-15,4,1,3,1
2018-07-22,3,<1,3,1
2018-07-29,3,<1,3,0
2018-08-05,3,<1,3,1
2018-08-12,3,<1,4,1
2018-08-19,3,1,4,1
2018-08-26,3,1,3,1
2018-09-02,5,<1,5,1
2018-09-09,5,1,4,1
2018-09-16,5,1,4,1
2018-09-23,6,<1,4,1
2018-09-30,7,1,6,1
2018-10-07,7,1,5,1
2018-10-14,8,1,6,1
2018-10-21,7,1,6,1
2018-10-28,8,1,6,1
2018-11-04,9,1,7,1
2018-11-11,9,1,7,1
2018-11-18,8,1,7,1
2018-11-25,9,1,8,1
2018-12-02,9,1,8,1
2018-12-09,9,1,8,1
2018-12-16,9,1,8,1
2018-12-23,10,1,9,2
2018-12-30,10,2,9,1
2019-01-06,12,2,10,1
2019-01-13,14,2,12,1
2019-01-20,17,2,14,1
2019-01-27,21,3,17,1
2019-02-03,26,4,21,2
2019-02-10,24,4,20,1
2019-02-17,19,3,15,2
2019-02-24,16,2,13,1
2019-03-03,12,2,10,1
2019-03-10,10,2,9,1
2019-03-17,8,2,8,1
2019-03-24,8,2,7,1
2019-03-31,7,1,6,1
2019-04-07,6,1,5,1
2019-04-14,4,1,4,1
2019-04-21,4,1,4,<1
2019-04-28,4,1,3,1
2019-05-05,4,1,3,1
2019-05-12,4,<1,4,1
2019-05-19,3,1,3,<1
2019-05-26,3,1,3,1
2019-06-02,3,<1,3,1
2019-06-09,4,1,3,1
2019-06-16,2,1,3,1
2019-06-23,3,1,2,1
2019-06-30,4,<1,3,1
2019-07-07,4,1,4,1
2019-07-14,3,1,3,1
2019-07-21,2,<1,3,<1
2019-07-28,3,<1,3,1
2019-08-04,3,<1,3,1
2019-08-11,3,1,3,1
2019-08-18,4,<1,3,1
2019-08-25,4,1,3,1
2019-09-01,4,<1,4,1
2019-09-08,5,1,5,1
2019-09-15,6,1,4,1
2019-09-22,6,1,5,1
2019-09-29,6,1,5,1
2019-10-06,7,1,6,1
2019-10-13,7,1,6,1
2019-10-20,8,1,6,1
2019-10-27,8,1,6,2
2019-11-03,11,2,9,1
2019-11-10,10,1,8,1
2019-11-17,8,1,7,1
2019-11-24,8,1,6,1
2019-12-01,8,1,7,1
2019-12-08,10,1,8,1
2019-12-15,9,1,8,1
2019-12-22,10,1,9,1
2019-12-29,11,1,10,2
2020-01-05,11,2,9,1
2020-01-12,15,2,13,2
2020-01-19,22,3,18,3
2020-01-26,45,6,32,5
2020-02-02,35,5,27,4
2020-02-09,30,4,22,3
2020-02-16,24,4,18,3
2020-02-23,93,14,70,9
2020-03-01,79,11,56,7
2020-03-08,88,12,66,9
2020-03-15,100,13,73,9
2020-03-22,67,10,47,6
2020-03-29,50,8,35,5
2020-04-05,34,4,23,4
2020-04-12,25,3,18,3
2020-04-19,22,3,16,3
2020-04-26,19,2,14,2
2020-05-03,17,2,12,2
2020-05-10,15,2,11,1
2020-05-17,11,2,7,2
2020-05-24,9,2,6,2
2020-05-31,7,1,4,1
2020-06-07,8,1,5,1
2020-06-14,7,1,5,1
2020-06-21,8,1,5,1
2020-06-28,10,1,8,2
2020-07-05,8,1,6,1
2020-07-12,8,1,6,2
2020-07-19,8,1,5,1
2020-07-26,8,1,6,1
2020-08-02,8,1,6,1
2020-08-09,9,1,7,1
2020-08-16,9,1,6,1
2020-08-23,11,2,7,1
2020-08-30,11,1,9,1
2020-09-06,11,2,8,1
2020-09-13,11,1,8,2
2020-09-20,11,1,8,1
2020-09-27,12,2,8,2
2020-10-04,15,2,10,2
2020-10-11,22,3,16,3
2020-10-18,29,4,21,2
2020-10-25,29,3,22,3
2020-11-01,21,2,16,2
2020-11-08,18,2,14,1
2020-11-15,16,2,12,2
2020-11-22,12,1,9,1
2020-11-29,12,1,8,2
2020-12-06,15,2,12,1
2020-12-13,15,2,11,2
2020-12-20,15,1,11,2
2020-12-27,14,1,11,1
2021-01-03,11,2,8,1
2021-01-10,13,1,11,1
2021-01-17,11,1,8,1
2021-01-24,11,1,8,1
2021-01-31,9,1,7,1
2021-02-07,11,1,9,1
2021-02-14,9,1,6,1
2021-02-21,9,1,6,1
2021-02-28,8,1,6,1
2021-03-07,7,1,6,1
2021-03-14,8,1,7,1
2021-03-21,7,1,5,1
2021-03-28,7,1,5,1
2021-04-04,7,1,6,1
2021-04-11,7,1,5,1
2021-04-18,8,1,6,1
2021-04-25,6,1,5,<1
2021-05-02,6,1,4,1
2021-05-09,5,1,4,1
2021-05-16,5,1,4,1
2021-05-23,5,<1,4,1
2021-05-30,6,1,4,1
2021-06-06,4,<1,3,<1
2021-06-13,3,<1,2,1
2021-06-20,5,1,3,<1
2021-06-27,4,<1,3,1
2021-07-04,4,1,4,1
2021-07-11,5,1,4,1
2021-07-18,6,1,5,1
2021-07-25,5,1,4,1
2021-08-01,5,<1,5,1
2021-08-08,6,0,5,1
2021-08-15,6,<1,6,1
2021-08-22,6,1,6,1
2021-08-29,7,1,6,1
2021-09-05,8,1,7,1
2021-09-12,8,1,6,1
2021-09-19,8,1,7,1
2021-09-26,8,1,6,1
2021-10-03,9,1,7,2
2021-10-10,8,1,7,1
2021-10-17,10,2,8,1
2021-10-24,10,2,9,1
2021-10-31,12,1,10,2
2021-11-07,12,1,11,1
2021-11-14,12,2,11,1
2021-11-21,14,2,11,1
2021-11-28,15,2,13,1
2021-12-05,12,2,11,1
2021-12-12,11,2,11,1
2021-12-19,12,2,11,1
2021-12-26,15,2,14,2
2022-01-02,16,2,12,2
2022-01-09,13,2,9,2
2022-01-16,9,1,7,1
2022-01-23,10,2,8,1
2022-01-30,8,2,7,1
2022-02-06,7,1,6,1
2022-02-13,7,1,6,1
2022-02-20,7,1,6,1
2022-02-27,8,2,6,1
2022-03-06,9,1,8,1
2022-03-13,11,2,9,1
2022-03-20,11,2,9,1
2022-03-27,10,2,8,1
2022-04-03,9,2,7,1
2022-04-10,8,2,6,1
2022-04-17,6,1,4,<1
2022-04-24,5,1,5,1
2022-05-01,4,1,4,1
2022-05-08,5,1,4,1
2022-05-15,5,1,3,1
2022-05-22,4,1,4,1
2022-05-29,5,1,4,1
2022-06-05,4,<1,4,1
2022-06-12,5,1,4,1
2022-06-19,4,1,3,1
2022-06-26,4,1,4,1
2022-07-03,4,1,4,1
2022-07-10,5,<1,4,1
2022-07-17,5,<1,4,1
2022-07-24,4,1,4,1
2022-07-31,3,<1,3,1
2022-08-07,4,1,4,1
2022-08-14,3,<1,3,1
2022-08-21,5,1,5,1
2022-08-28,5,1,5,<1
2022-09-04,5,1,4,1
2022-09-11,6,1,5,1
2022-09-18,6,1,6,1
2022-09-25,8,1,6,1
2022-10-02,9,1,7,1
2022-10-09,9,1,7,1
2022-10-16,8,1,6,1
2022-10-23,8,1,6,2
2022-10-30,8,1,6,2
2022-11-06,10,2,7,1
2022-11-13,11,1,8,2
2022-11-20,10,1,8,1
2022-11-27,12,2,9,1
2022-12-04,15,3,10,1
2022-12-11,22,5,16,2
2022-12-18,35,7,25,3
2022-12-25,35,7,25,2
