Kategorie: Alle Kategorien

Woche,Influenza: (Freiburg),influenza: (Freiburg),Grippe: (Freiburg),Flu: (Freiburg)
2017-11-05,10,0,15,10
2017-11-12,9,0,12,7
2017-11-19,7,0,10,0
2017-11-26,11,6,0,0
2017-12-03,9,5,5,0
2017-12-10,22,10,12,0
2017-12-17,27,7,21,0
2017-12-24,37,7,7,0
2017-12-31,28,8,23,4
2018-01-07,33,0,26,0
2018-01-14,26,0,14,0
2018-01-21,27,7,21,0
2018-01-28,26,0,24,0
2018-02-04,30,13,20,0
2018-02-11,19,6,12,11
2018-02-18,25,14,20,0
2018-02-25,15,8,0,0
2018-03-04,8,4,4,0
2018-03-11,17,0,8,0
2018-03-18,13,0,13,10
2018-03-25,8,0,6,11
2018-04-01,9,0,18,0
2018-04-08,5,0,6,0
2018-04-15,13,0,9,5
2018-04-22,0,5,8,6
2018-04-29,0,0,0,0
2018-05-06,0,0,11,5
2018-05-13,0,5,0,0
2018-05-20,5,0,0,0
2018-05-27,0,24,0,0
2018-06-03,5,0,4,0
2018-06-10,9,0,7,0
2018-06-17,0,0,9,8
2018-06-24,0,0,0,0
2018-07-01,0,0,0,0
2018-07-08,0,0,12,0
2018-07-15,5,9,5,7
2018-07-22,0,0,0,0
2018-07-29,13,19,0,14
2018-08-05,0,0,0,0
2018-08-12,0,0,0,0
2018-08-19,0,0,0,0
2018-08-26,5,0,9,0
2018-09-02,0,0,0,0
2018-09-09,0,6,0,0
2018-09-16,0,0,13,6
2018-09-23,11,0,10,0
2018-09-30,13,0,5,0
2018-10-07,9,5,13,0
2018-10-14,10,0,8,7
2018-10-21,22,5,0,0
2018-10-28,0,0,9,0
2018-11-04,6,10,7,0
2018-11-11,23,0,16,0
2018-11-18,10,13,8,0
2018-11-25,7,0,0,0
2018-12-02,12,7,0,0
2018-12-09,12,0,9,0
2018-12-16,26,0,5,0
2018-12-23,15,0,0,0
2018-12-30,5,0,15,0
2019-01-06,0,0,7,0
2019-01-13,20,0,20,0
2019-01-20,21,0,17,7
2019-01-27,36,0,32,0
2019-02-03,32,0,31,0
2019-02-10,43,9,33,0
2019-02-17,19,5,22,4
2019-02-24,19,0,22,0
2019-03-03,6,11,5,11
2019-03-10,26,0,18,0
2019-03-17,18,0,8,0
2019-03-24,5,0,15,0
2019-03-31,15,0,13,0
2019-04-07,12,0,9,0
2019-04-14,4,0,7,0
2019-04-21,5,0,0,0
2019-04-28,0,4,0,0
2019-05-05,10,0,0,7
2019-05-12,0,0,12,0
2019-05-19,0,5,0,0
2019-05-26,7,8,9,0
2019-06-02,10,0,5,0
2019-06-09,0,0,12,8
2019-06-16,0,0,0,0
2019-06-23,6,0,0,0
2019-06-30,0,5,0,0
2019-07-07,0,0,0,0
2019-07-14,7,6,0,6
2019-07-21,0,0,0,0
2019-07-28,8,0,0,0
2019-08-04,0,0,11,0
2019-08-11,7,7,0,4
2019-08-18,0,0,0,10
2019-08-25,19,5,5,0
2019-09-01,0,0,0,0
2019-09-08,6,4,14,0
2019-09-15,0,0,14,0
2019-09-22,18,0,6,0
2019-09-29,11,0,0,0
2019-10-06,14,0,14,0
2019-10-13,7,0,12,0
2019-10-20,0,8,6,0
2019-10-27,0,0,0,0
2019-11-03,17,0,29,9
2019-11-10,12,0,5,6
2019-11-17,8,0,5,0
2019-11-24,4,0,5,0
2019-12-01,0,0,5,0
2019-12-08,16,0,11,0
2019-12-15,7,0,8,0
2019-12-22,5,6,0,0
2019-12-29,16,0,18,0
2020-01-05,10,0,6,0
2020-01-12,33,0,12,0
2020-01-19,19,0,22,7
2020-01-26,32,0,32,4
2020-02-02,38,0,38,7
2020-02-09,41,6,29,6
2020-02-16,20,0,30,0
2020-02-23,100,16,82,8
2020-03-01,92,12,83,0
2020-03-08,80,5,70,7
2020-03-15,97,5,74,11
2020-03-22,69,9,63,0
2020-03-29,56,3,41,0
2020-04-05,37,0,22,0
2020-04-12,36,0,38,0
