Kategorie: Alle Kategorien

Woche,husten: (Freiburg),Fieber: (Freiburg),fièvre: (Freiburg),toux: (Freiburg)
2017-11-05,0,0,0,29
2017-11-12,29,0,0,12
2017-11-19,12,0,26,10
2017-11-26,0,0,13,19
2017-12-03,0,15,0,30
2017-12-10,0,0,0,26
2017-12-17,0,16,27,11
2017-12-24,20,0,0,43
2017-12-31,0,0,0,36
2018-01-07,14,0,27,31
2018-01-14,15,0,0,26
2018-01-21,12,30,33,21
2018-01-28,0,33,0,0
2018-02-04,13,11,0,18
2018-02-11,0,25,12,0
2018-02-18,24,18,0,60
2018-02-25,0,0,0,0
2018-03-04,0,16,0,17
2018-03-11,0,0,12,26
2018-03-18,22,0,18,43
2018-03-25,0,32,43,0
2018-04-01,0,0,0,0
2018-04-08,0,0,0,19
2018-04-15,0,0,0,16
2018-04-22,0,16,0,0
2018-04-29,0,12,0,0
2018-05-06,0,0,12,0
2018-05-13,11,0,22,20
2018-05-20,0,0,11,19
2018-05-27,0,32,0,0
2018-06-03,0,14,0,0
2018-06-10,27,18,12,13
2018-06-17,0,0,19,14
2018-06-24,0,0,0,0
2018-07-01,0,0,61,0
2018-07-08,0,14,0,12
2018-07-15,0,0,0,0
2018-07-22,0,0,0,0
2018-07-29,25,38,0,0
2018-08-05,0,0,0,42
2018-08-12,0,0,0,0
2018-08-19,0,0,0,0
2018-08-26,0,11,0,18
2018-09-02,0,16,0,20
2018-09-09,0,0,0,41
2018-09-16,12,0,0,25
2018-09-23,0,11,0,0
2018-09-30,0,0,0,0
2018-10-07,0,0,0,0
2018-10-14,0,15,0,31
2018-10-21,0,30,0,44
2018-10-28,0,15,0,20
2018-11-04,0,17,10,11
2018-11-11,12,0,0,28
2018-11-18,0,0,10,33
2018-11-25,0,0,24,39
2018-12-02,0,26,0,14
2018-12-09,0,0,17,16
2018-12-16,0,12,0,39
2018-12-23,0,0,0,14
2018-12-30,18,31,13,40
2019-01-06,0,27,0,51
2019-01-13,0,28,0,0
2019-01-20,0,0,0,57
2019-01-27,0,27,0,0
2019-02-03,0,0,14,21
2019-02-10,23,18,0,16
2019-02-17,0,0,0,16
2019-02-24,18,19,11,22
2019-03-03,13,23,12,13
2019-03-10,0,14,11,18
2019-03-17,0,0,0,22
2019-03-24,0,0,0,30
2019-03-31,0,0,0,0
2019-04-07,13,13,0,22
2019-04-14,0,0,26,26
2019-04-21,0,0,12,0
2019-04-28,0,0,0,11
2019-05-05,0,0,0,15
2019-05-12,0,0,11,23
2019-05-19,0,0,0,35
2019-05-26,0,41,13,0
2019-06-02,0,0,0,0
2019-06-09,32,0,0,33
2019-06-16,70,18,47,0
2019-06-23,0,38,0,0
2019-06-30,0,0,0,97
2019-07-07,0,0,0,26
2019-07-14,0,24,0,0
2019-07-21,0,0,27,0
2019-07-28,0,0,0,24
2019-08-04,0,0,23,0
2019-08-11,0,26,0,0
2019-08-18,0,0,15,0
2019-08-25,0,16,19,30
2019-09-01,0,0,0,15
2019-09-08,0,0,0,19
2019-09-15,0,15,13,0
2019-09-22,0,0,11,0
2019-09-29,0,10,0,13
2019-10-06,0,0,0,0
2019-10-13,17,21,0,28
2019-10-20,0,16,0,34
2019-10-27,0,0,0,28
2019-11-03,0,0,0,32
2019-11-10,0,0,0,10
2019-11-17,26,0,0,16
2019-11-24,0,0,0,0
2019-12-01,0,13,0,25
2019-12-08,0,0,11,38
2019-12-15,22,0,0,34
2019-12-22,0,0,25,21
2019-12-29,0,0,46,27
2020-01-05,9,0,0,34
2020-01-12,0,0,20,32
2020-01-19,10,19,0,27
2020-01-26,0,30,15,27
2020-02-02,0,22,11,40
2020-02-09,20,0,0,35
2020-02-16,14,12,29,45
2020-02-23,0,0,17,57
2020-03-01,15,0,0,22
2020-03-08,15,21,0,46
2020-03-15,22,30,23,45
2020-03-22,0,24,27,23
2020-03-29,0,24,11,8
2020-04-05,0,18,0,13
2020-04-12,9,9,30,35
2020-04-19,9,0,9,0
2020-04-26,0,8,14,16
2020-05-03,0,0,10,0
2020-05-10,16,0,0,0
2020-05-17,0,0,0,0
2020-05-24,0,0,0,9
2020-05-31,0,11,12,17
2020-06-07,0,0,0,0
2020-06-14,0,0,11,0
2020-06-21,0,22,0,0
2020-06-28,0,0,22,13
2020-07-05,0,0,30,44
2020-07-12,0,0,0,0
2020-07-19,0,0,38,0
2020-07-26,0,0,0,24
2020-08-02,0,0,0,0
2020-08-09,11,0,0,0
2020-08-16,20,14,13,0
2020-08-23,0,20,0,0
2020-08-30,0,0,0,0
2020-09-06,0,0,36,0
2020-09-13,0,0,16,33
2020-09-20,0,22,18,0
2020-09-27,0,10,0,0
2020-10-04,0,0,0,0
2020-10-11,10,26,0,0
2020-10-18,0,15,11,19
2020-10-25,10,0,16,22
2020-11-01,25,11,0,23
2020-11-08,0,0,26,28
2020-11-15,17,0,0,19
2020-11-22,0,22,17,9
2020-11-29,0,0,18,14
2020-12-06,0,11,21,18
2020-12-13,0,0,0,26
2020-12-20,0,13,11,0
2020-12-27,0,12,38,24
2021-01-03,10,55,0,27
2021-01-10,0,0,11,0
2021-01-17,0,0,9,18
2021-01-24,0,0,0,0
2021-01-31,0,0,24,9
2021-02-07,0,30,10,15
2021-02-14,0,0,0,35
2021-02-21,0,29,0,22
2021-02-28,0,0,13,0
2021-03-07,26,14,0,29
2021-03-14,0,0,0,10
2021-03-21,0,0,10,21
2021-03-28,11,0,12,23
2021-04-04,17,0,0,9
2021-04-11,0,31,12,19
2021-04-18,0,10,18,22
2021-04-25,11,16,0,13
2021-05-02,35,0,12,13
2021-05-09,0,10,0,0
2021-05-16,0,0,12,11
2021-05-23,0,15,14,30
2021-05-30,0,11,0,30
2021-06-06,0,10,0,27
2021-06-13,15,13,0,14
2021-06-20,0,28,0,0
2021-06-27,17,0,13,0
2021-07-04,10,0,0,26
2021-07-11,0,16,27,22
2021-07-18,0,14,0,0
2021-07-25,0,0,16,27
2021-08-01,17,0,0,0
2021-08-08,0,16,0,0
2021-08-15,0,40,0,0
2021-08-22,0,21,0,0
2021-08-29,0,0,38,20
2021-09-05,0,0,0,0
2021-09-12,19,12,0,12
2021-09-19,24,0,30,0
2021-09-26,0,11,16,0
2021-10-03,0,14,27,31
2021-10-10,18,0,0,37
2021-10-17,0,0,0,47
2021-10-24,0,0,0,0
2021-10-31,19,14,0,14
2021-11-07,0,0,0,40
2021-11-14,0,32,24,47
2021-11-21,0,0,16,19
2021-11-28,0,0,0,0
2021-12-05,0,21,0,31
2021-12-12,0,22,14,25
2021-12-19,0,24,0,59
2021-12-26,26,0,0,24
2022-01-02,10,24,0,35
2022-01-09,18,31,15,22
2022-01-16,0,13,13,42
2022-01-23,0,0,0,36
2022-01-30,0,21,0,29
2022-02-06,0,0,0,22
2022-02-13,0,8,17,9
2022-02-20,35,15,17,40
2022-02-27,0,0,0,30
2022-03-06,0,20,0,25
2022-03-13,0,0,0,20
2022-03-20,0,12,16,21
2022-03-27,16,0,0,22
2022-04-03,8,15,8,8
2022-04-10,0,27,0,25
2022-04-17,0,0,0,61
2022-04-24,0,0,0,11
2022-05-01,14,0,7,22
2022-05-08,0,12,0,15
2022-05-15,20,0,0,18
2022-05-22,0,0,0,12
2022-05-29,0,15,10,13
2022-06-05,26,12,37,25
2022-06-12,0,14,15,0
2022-06-19,0,20,0,0
2022-06-26,0,0,16,0
2022-07-03,12,22,11,25
2022-07-10,15,0,18,42
2022-07-17,0,13,52,0
2022-07-24,0,0,0,0
2022-07-31,0,9,0,21
2022-08-07,0,17,0,100
2022-08-14,0,0,0,29
2022-08-21,0,0,0,0
2022-08-28,35,18,15,13
2022-09-04,0,9,12,16
2022-09-11,0,31,12,14
2022-09-18,16,0,0,21
2022-09-25,22,0,0,15
2022-10-02,0,0,0,18
2022-10-09,0,27,14,42
2022-10-16,0,32,9,34
2022-10-23,23,0,12,0
2022-10-30,0,0,0,30
2022-11-06,18,0,0,30
2022-11-13,0,10,0,43
2022-11-20,31,18,9,15
2022-11-27,33,20,19,39
2022-12-04,38,8,22,34
2022-12-11,16,20,9,44
2022-12-18,13,34,12,77
2022-12-25,13,23,0,22
