Kategorie: Alle Kategorien

Woche,Influenza: (Neuenburg),influenza: (Neuenburg),Grippe: (Neuenburg),Flu: (Neuenburg)
2017-11-05,8,0,0,0
2017-11-12,8,7,21,0
2017-11-19,7,9,43,0
2017-11-26,0,0,0,0
2017-12-03,8,0,16,0
2017-12-10,0,0,11,0
2017-12-17,48,0,20,0
2017-12-24,28,0,21,0
2017-12-31,30,0,36,0
2018-01-07,30,0,19,0
2018-01-14,0,0,22,0
2018-01-21,35,0,37,0
2018-01-28,24,0,35,0
2018-02-04,7,7,10,0
2018-02-11,15,0,0,0
2018-02-18,9,0,8,0
2018-02-25,8,8,23,0
2018-03-04,20,0,22,0
2018-03-11,8,0,8,0
2018-03-18,0,0,0,0
2018-03-25,10,0,8,0
2018-04-01,0,32,15,0
2018-04-08,10,17,0,9
2018-04-15,0,7,13,0
2018-04-22,15,0,0,0
2018-04-29,0,0,0,0
2018-05-06,0,0,0,0
2018-05-13,0,0,0,0
2018-05-20,0,16,0,0
2018-05-27,7,0,24,0
2018-06-03,0,0,15,0
2018-06-10,27,16,19,10
2018-06-17,0,8,0,0
2018-06-24,0,0,0,0
2018-07-01,0,0,0,0
2018-07-08,0,0,0,0
2018-07-15,8,0,0,0
2018-07-22,0,11,16,14
2018-07-29,0,0,0,0
2018-08-05,0,11,0,0
2018-08-12,0,0,0,0
2018-08-19,0,7,8,18
2018-08-26,0,0,0,0
2018-09-02,0,0,10,0
2018-09-09,18,0,0,0
2018-09-16,18,0,0,0
2018-09-23,0,0,0,0
2018-09-30,11,0,0,0
2018-10-07,24,0,24,0
2018-10-14,0,10,0,0
2018-10-21,14,0,20,0
2018-10-28,19,0,22,7
2018-11-04,17,9,16,0
2018-11-11,8,0,10,0
2018-11-18,8,0,18,19
2018-11-25,13,0,13,0
2018-12-02,13,14,0,10
2018-12-09,0,0,0,0
2018-12-16,10,0,14,0
2018-12-23,0,0,0,13
2018-12-30,0,0,9,11
2019-01-06,18,0,12,13
2019-01-13,12,0,40,0
2019-01-20,25,0,18,0
2019-01-27,9,0,0,0
2019-02-03,37,0,14,0
2019-02-10,48,0,45,0
2019-02-17,46,0,41,0
2019-02-24,0,0,9,0
2019-03-03,12,0,16,0
2019-03-10,0,0,0,0
2019-03-17,0,10,0,0
2019-03-24,15,0,8,9
2019-03-31,0,0,23,0
2019-04-07,11,0,14,0
2019-04-14,10,0,17,0
2019-04-21,10,0,0,0
2019-04-28,12,0,0,9
2019-05-05,11,0,0,0
2019-05-12,8,0,0,10
2019-05-19,0,13,0,0
2019-05-26,18,0,12,0
2019-06-02,25,0,0,0
2019-06-09,7,8,23,9
2019-06-16,0,0,0,0
2019-06-23,0,0,9,0
2019-06-30,0,0,0,9
2019-07-07,0,8,14,0
2019-07-14,0,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,0,0,0
2019-08-04,0,0,0,0
2019-08-11,0,0,9,0
2019-08-18,0,11,0,0
2019-08-25,0,15,0,0
2019-09-01,0,0,18,0
2019-09-08,0,0,14,0
2019-09-15,0,0,11,0
2019-09-22,44,7,10,16
2019-09-29,0,20,9,0
2019-10-06,10,13,0,0
2019-10-13,0,0,0,0
2019-10-20,11,0,17,0
2019-10-27,13,0,35,0
2019-11-03,16,12,17,0
2019-11-10,0,0,18,0
2019-11-17,22,23,23,0
2019-11-24,11,0,0,0
2019-12-01,0,0,17,17
2019-12-08,0,0,11,0
2019-12-15,7,0,10,13
2019-12-22,0,10,11,0
2019-12-29,44,12,0,0
2020-01-05,18,0,10,0
2020-01-12,0,0,20,0
2020-01-19,30,8,25,0
2020-01-26,74,17,54,7
2020-02-02,43,0,59,11
2020-02-09,46,0,12,11
2020-02-16,20,9,34,0
2020-02-23,99,0,90,8
