Kategorie: Alle Kategorien

Woche,husten: (Obwalden),Fieber: (Obwalden),fièvre: (Obwalden),toux: (Obwalden)
2017-11-05,0,0,0,0
2017-11-12,0,0,0,0
2017-11-19,0,63,0,0
2017-11-26,0,0,0,0
2017-12-03,0,0,0,0
2017-12-10,26,0,0,0
2017-12-17,0,0,0,0
2017-12-24,20,0,0,0
2017-12-31,0,0,0,0
2018-01-07,23,21,0,0
2018-01-14,0,0,0,0
2018-01-21,0,0,0,0
2018-01-28,0,0,0,0
2018-02-04,0,0,0,0
2018-02-11,100,35,0,0
2018-02-18,0,0,0,0
2018-02-25,0,0,0,0
2018-03-04,0,0,0,0
2018-03-11,0,0,0,0
2018-03-18,0,31,0,0
2018-03-25,0,0,0,0
2018-04-01,0,0,0,0
2018-04-08,0,0,0,0
2018-04-15,75,0,0,0
2018-04-22,0,0,0,0
2018-04-29,0,0,0,0
2018-05-06,46,0,0,0
2018-05-13,24,0,0,0
2018-05-20,0,0,0,0
2018-05-27,21,0,0,0
2018-06-03,91,0,0,0
2018-06-10,0,0,0,0
2018-06-17,0,56,0,0
2018-06-24,0,25,0,0
2018-07-01,0,17,0,0
2018-07-08,0,0,0,0
2018-07-15,0,0,0,0
2018-07-22,0,0,0,0
2018-07-29,0,0,0,0
2018-08-05,0,0,0,0
2018-08-12,20,0,0,0
2018-08-19,14,0,0,0
2018-08-26,0,40,0,0
2018-09-02,0,0,0,0
2018-09-09,26,0,0,0
2018-09-16,0,0,0,0
2018-09-23,0,0,0,0
2018-09-30,54,58,0,0
2018-10-07,28,0,0,0
2018-10-14,0,0,0,0
2018-10-21,0,18,0,0
2018-10-28,26,0,0,0
2018-11-04,0,19,0,0
2018-11-11,0,0,0,0
2018-11-18,0,0,0,0
2018-11-25,0,30,0,0
2018-12-02,0,0,0,0
2018-12-09,0,17,0,0
2018-12-16,0,23,0,0
2018-12-23,0,0,0,0
2018-12-30,0,0,0,0
2019-01-06,0,0,0,0
2019-01-13,21,24,0,0
2019-01-20,0,0,0,0
2019-01-27,22,21,0,0
2019-02-03,0,0,0,0
2019-02-10,0,41,0,0
2019-02-17,0,0,0,0
2019-02-24,0,0,0,0
2019-03-03,0,39,0,0
