Kategorie: Alle Kategorien

Woche,husten: (Solothurn),Fieber: (Solothurn),fièvre: (Solothurn),toux: (Solothurn)
2017-11-05,0,24,0,0
2017-11-12,14,44,0,0
2017-11-19,19,13,0,0
2017-11-26,27,0,0,0
2017-12-03,0,24,0,0
2017-12-10,16,23,0,0
2017-12-17,14,35,0,0
2017-12-24,42,45,0,0
2017-12-31,0,32,0,0
2018-01-07,25,38,0,0
2018-01-14,37,32,0,0
2018-01-21,33,19,0,0
2018-01-28,19,44,0,0
2018-02-04,56,24,0,0
2018-02-11,40,33,0,0
2018-02-18,43,55,0,0
2018-02-25,56,12,0,0
2018-03-04,0,56,0,0
2018-03-11,17,22,0,0
2018-03-18,32,0,0,0
2018-03-25,0,31,0,0
2018-04-01,18,18,0,0
2018-04-08,0,20,0,0
2018-04-15,22,0,0,0
2018-04-22,0,11,0,0
2018-04-29,19,0,0,0
2018-05-06,0,0,0,0
2018-05-13,34,0,0,0
2018-05-20,0,31,0,0
2018-05-27,0,18,0,0
2018-06-03,0,0,0,0
2018-06-10,0,33,0,0
2018-06-17,22,23,0,0
2018-06-24,21,0,0,0
2018-07-01,29,16,0,0
2018-07-08,0,33,0,0
2018-07-15,0,39,0,0
2018-07-22,21,33,0,0
2018-07-29,16,0,0,0
2018-08-05,16,29,0,0
2018-08-12,0,0,0,0
2018-08-19,0,40,0,0
2018-08-26,0,20,0,0
2018-09-02,21,0,0,0
2018-09-09,21,35,0,0
2018-09-16,0,0,0,0
2018-09-23,25,0,0,0
2018-09-30,38,28,0,0
2018-10-07,0,18,0,0
2018-10-14,40,14,0,0
2018-10-21,15,0,0,0
2018-10-28,28,0,0,0
2018-11-04,11,52,0,0
2018-11-11,0,25,0,0
2018-11-18,0,36,0,0
2018-11-25,14,40,0,0
2018-12-02,15,15,0,0
2018-12-09,26,29,0,0
2018-12-16,33,15,0,0
2018-12-23,33,33,0,0
2018-12-30,42,17,0,0
2019-01-06,13,52,0,0
2019-01-13,33,35,0,0
2019-01-20,37,49,0,0
2019-01-27,16,26,0,0
2019-02-03,42,34,0,0
2019-02-10,0,15,0,0
2019-02-17,16,39,0,0
2019-02-24,0,25,0,0
2019-03-03,0,45,0,0
2019-03-10,20,30,0,0
2019-03-17,27,34,0,0
2019-03-24,0,42,0,0
2019-03-31,0,24,0,0
2019-04-07,19,28,0,0
2019-04-14,0,38,0,0
2019-04-21,17,34,0,0
2019-04-28,23,26,0,0
2019-05-05,24,32,0,0
2019-05-12,33,13,0,0
2019-05-19,16,0,0,0
2019-05-26,14,11,0,0
2019-06-02,14,0,0,0
2019-06-09,16,31,0,0
2019-06-16,23,28,0,0
2019-06-23,0,32,0,0
2019-06-30,15,26,0,0
2019-07-07,0,0,0,0
2019-07-14,0,0,0,0
2019-07-21,0,25,0,0
2019-07-28,60,0,0,0
2019-08-04,53,44,0,0
2019-08-11,0,18,0,0
2019-08-18,0,27,0,0
2019-08-25,0,0,0,0
2019-09-01,0,46,0,0
2019-09-08,0,38,0,0
2019-09-15,0,42,0,0
2019-09-22,27,23,0,0
2019-09-29,16,31,0,0
2019-10-06,18,65,0,0
2019-10-13,26,26,0,0
2019-10-20,0,56,0,0
2019-10-27,21,28,0,0
2019-11-03,39,23,0,0
2019-11-10,0,29,0,0
2019-11-17,10,45,0,0
2019-11-24,33,25,0,0
2019-12-01,0,11,0,0
2019-12-08,24,24,0,0
2019-12-15,24,65,0,0
2019-12-22,18,15,0,0
2019-12-29,30,33,0,0
2020-01-05,0,0,0,0
2020-01-12,20,68,0,0
2020-01-19,49,46,0,0
2020-01-26,64,67,0,0
2020-02-02,20,33,0,0
2020-02-09,0,12,0,0
2020-02-16,41,21,0,0
2020-02-23,32,32,0,0
2020-03-01,51,67,0,0
2020-03-08,50,52,0,0
2020-03-15,57,100,0,0
2020-03-22,23,30,0,0
2020-03-29,24,43,0,0
2020-04-05,28,32,0,0
2020-04-12,23,22,0,0
2020-04-19,16,26,0,0
2020-04-26,0,14,0,0
2020-05-03,0,31,0,0
2020-05-10,17,0,0,0
2020-05-17,16,0,0,0
2020-05-24,0,55,0,0
2020-05-31,0,0,0,0
2020-06-07,0,14,0,0
2020-06-14,22,0,0,0
2020-06-21,31,21,0,0
2020-06-28,0,66,0,0
2020-07-05,15,30,0,0
2020-07-12,0,12,0,0
2020-07-19,15,33,0,0
2020-07-26,17,27,0,0
2020-08-02,0,0,0,0
2020-08-09,0,20,0,0
2020-08-16,0,33,0,0
2020-08-23,16,47,0,0
2020-08-30,17,23,0,0
2020-09-06,16,13,0,0
2020-09-13,14,13,0,0
2020-09-20,0,17,0,0
2020-09-27,0,0,0,0
2020-10-04,0,0,0,0
2020-10-11,14,45,0,0
2020-10-18,11,39,0,0
2020-10-25,0,57,0,0
2020-11-01,50,23,0,0
2020-11-08,19,40,0,0
2020-11-15,20,20,0,0
2020-11-22,0,12,0,0
2020-11-29,10,33,0,0
2020-12-06,47,42,0,0
2020-12-13,0,28,0,0
2020-12-20,0,0,0,0
2020-12-27,0,40,0,0
2021-01-03,0,0,0,0
2021-01-10,16,13,0,0
2021-01-17,9,0,0,0
2021-01-24,0,31,0,0
2021-01-31,0,10,0,0
2021-02-07,19,12,0,0
2021-02-14,23,17,0,0
2021-02-21,17,28,0,0
2021-02-28,13,10,0,0
2021-03-07,14,17,0,0
2021-03-14,9,20,0,0
2021-03-21,0,38,0,0
2021-03-28,20,16,0,0
2021-04-04,13,23,0,0
2021-04-11,18,0,0,0
2021-04-18,15,15,0,0
2021-04-25,21,23,0,0
2021-05-02,20,31,0,0
2021-05-09,0,22,0,0
2021-05-16,0,19,0,0
2021-05-23,0,27,0,0
2021-05-30,32,48,0,0
2021-06-06,24,66,0,0
2021-06-13,0,65,0,0
2021-06-20,0,40,0,0
2021-06-27,12,26,0,0
2021-07-04,0,65,0,0
2021-07-11,0,42,0,0
2021-07-18,29,30,0,0
2021-07-25,34,30,0,0
2021-08-01,22,21,0,0
2021-08-08,0,46,0,0
2021-08-15,0,42,0,0
2021-08-22,0,34,0,0
2021-08-29,0,29,0,0
2021-09-05,43,28,0,0
2021-09-12,19,56,0,0
2021-09-19,20,27,0,0
2021-09-26,43,40,0,0
2021-10-03,0,25,0,0
2021-10-10,34,31,0,0
2021-10-17,16,17,0,0
2021-10-24,0,0,0,0
2021-10-31,20,33,0,0
2021-11-07,51,27,0,0
2021-11-14,17,12,0,0
2021-11-21,12,29,0,0
2021-11-28,39,19,0,0
2021-12-05,35,50,0,0
2021-12-12,49,41,0,0
2021-12-19,22,26,0,0
2021-12-26,42,37,0,0
2022-01-02,45,44,0,0
2022-01-09,37,55,0,0
2022-01-16,32,41,0,0
2022-01-23,0,41,0,0
2022-01-30,0,59,0,0
2022-02-06,45,79,0,0
2022-02-13,0,24,0,0
2022-02-20,19,51,0,0
2022-02-27,30,63,0,0
2022-03-06,25,65,0,0
2022-03-13,24,71,0,0
2022-03-20,55,58,0,0
2022-03-27,35,42,0,0
2022-04-03,12,38,0,0
2022-04-10,28,51,0,0
2022-04-17,0,23,0,0
2022-04-24,28,32,0,0
2022-05-01,0,31,0,0
2022-05-08,12,18,0,0
2022-05-15,10,22,0,0
2022-05-22,36,34,0,0
2022-05-29,13,27,0,0
2022-06-05,0,36,0,0
2022-06-12,36,10,0,0
2022-06-19,67,43,0,0
2022-06-26,26,27,0,0
2022-07-03,22,26,0,0
2022-07-10,15,52,0,0
2022-07-17,25,16,0,0
2022-07-24,23,39,0,0
2022-07-31,13,40,0,0
2022-08-07,0,34,0,0
2022-08-14,0,46,0,0
2022-08-21,0,33,0,0
2022-08-28,0,37,0,0
2022-09-04,26,0,0,0
2022-09-11,13,27,0,0
2022-09-18,0,21,0,0
2022-09-25,23,40,0,0
2022-10-02,25,25,0,0
2022-10-09,28,20,0,0
2022-10-16,32,20,0,0
2022-10-23,14,45,0,0
2022-10-30,30,49,0,0
2022-11-06,31,56,0,0
2022-11-13,54,41,0,0
2022-11-20,29,37,0,0
2022-11-27,73,12,0,0
2022-12-04,54,43,0,0
2022-12-11,40,89,0,0
2022-12-18,80,90,0,0
2022-12-25,71,60,0,0
