Kategorie: Alle Kategorien

Woche,Influenza: (Thurgau),influenza: (Thurgau),Grippe: (Thurgau),Flu: (Thurgau)
2017-11-05,21,17,0,0
2017-11-12,6,6,20,14
2017-11-19,0,0,6,0
2017-11-26,0,0,0,0
2017-12-03,21,0,11,0
2017-12-10,16,0,8,0
2017-12-17,0,0,10,0
2017-12-24,25,10,21,0
2017-12-31,30,0,26,6
2018-01-07,31,6,20,0
2018-01-14,12,16,26,0
2018-01-21,19,9,12,0
2018-01-28,23,0,19,21
2018-02-04,24,0,24,0
2018-02-11,21,0,15,0
2018-02-18,40,0,29,0
2018-02-25,21,0,44,0
2018-03-04,24,0,25,5
2018-03-11,15,11,36,0
2018-03-18,14,0,14,0
2018-03-25,0,0,28,0
2018-04-01,0,0,10,0
2018-04-08,0,0,6,0
2018-04-15,0,0,0,0
2018-04-22,31,0,0,0
2018-04-29,0,5,6,0
2018-05-06,0,0,10,0
2018-05-13,0,0,0,0
2018-05-20,0,0,0,0
2018-05-27,17,0,11,6
2018-06-03,6,0,25,0
2018-06-10,0,0,0,7
2018-06-17,7,0,0,6
2018-06-24,0,0,0,0
2018-07-01,9,0,0,0
2018-07-08,0,0,0,0
2018-07-15,0,0,0,0
2018-07-22,0,0,0,0
2018-07-29,0,0,0,0
2018-08-05,0,0,5,0
2018-08-12,0,6,0,0
2018-08-19,6,0,0,6
2018-08-26,8,0,0,0
2018-09-02,12,0,13,0
2018-09-09,0,10,16,0
2018-09-16,0,0,0,0
2018-09-23,23,0,13,0
2018-09-30,10,0,11,0
2018-10-07,0,6,0,0
2018-10-14,0,0,20,0
2018-10-21,0,0,10,0
2018-10-28,0,0,0,0
2018-11-04,6,0,0,11
2018-11-11,0,20,6,0
2018-11-18,5,6,9,0
2018-11-25,0,0,12,14
2018-12-02,0,6,7,0
2018-12-09,15,0,14,0
2018-12-16,0,0,0,0
2018-12-23,25,0,18,0
2018-12-30,0,0,0,0
2019-01-06,12,0,0,0
2019-01-13,16,0,21,0
2019-01-20,12,18,13,0
2019-01-27,32,0,26,0
2019-02-03,20,0,17,0
2019-02-10,15,5,17,0
2019-02-17,0,0,9,6
2019-02-24,6,0,9,0
2019-03-03,0,0,0,0
2019-03-10,14,0,11,0
2019-03-17,8,8,7,13
2019-03-24,0,0,0,0
2019-03-31,12,11,8,5
2019-04-07,11,0,0,0
2019-04-14,0,0,0,0
2019-04-21,0,0,0,0
2019-04-28,8,0,13,0
2019-05-05,0,0,9,0
2019-05-12,6,0,10,0
2019-05-19,0,5,9,0
2019-05-26,0,0,0,0
2019-06-02,0,0,7,0
2019-06-09,6,0,0,0
2019-06-16,0,0,0,0
2019-06-23,9,8,0,0
2019-06-30,0,0,0,0
2019-07-07,0,0,0,0
2019-07-14,17,0,9,0
2019-07-21,0,0,0,0
2019-07-28,0,0,0,0
2019-08-04,0,0,6,0
2019-08-11,7,0,0,0
2019-08-18,16,0,12,0
2019-08-25,0,0,0,0
2019-09-01,5,0,0,5
2019-09-08,0,6,28,0
2019-09-15,8,0,14,0
2019-09-22,0,11,0,0
2019-09-29,11,8,10,9
2019-10-06,24,0,0,0
2019-10-13,6,0,12,0
2019-10-20,22,0,9,0
2019-10-27,0,0,0,0
2019-11-03,0,14,0,0
2019-11-10,5,10,0,0
2019-11-17,18,6,0,0
2019-11-24,0,0,5,0
2019-12-01,8,12,8,5
2019-12-08,0,0,0,12
2019-12-15,0,0,0,0
2019-12-22,7,0,6,17
2019-12-29,0,0,0,6
2020-01-05,18,0,11,0
2020-01-12,8,10,12,0
2020-01-19,13,0,12,0
2020-01-26,33,0,28,6
2020-02-02,24,6,19,0
2020-02-09,15,0,15,5
2020-02-16,28,14,18,6
2020-02-23,100,17,73,6
2020-03-01,70,7,54,0
2020-03-08,80,0,71,11
2020-03-15,97,21,67,5
2020-03-22,80,15,49,0
2020-03-29,46,7,37,0
2020-04-05,25,6,17,0
2020-04-12,38,0,26,0
2020-04-19,27,7,19,0
2020-04-26,13,9,12,0
2020-05-03,13,4,17,0
2020-05-10,11,0,12,0
2020-05-17,0,8,0,0
2020-05-24,18,0,8,0
2020-05-31,6,0,4,0
2020-06-07,4,6,0,5
2020-06-14,4,0,0,0
2020-06-21,14,0,0,0
