Kategorie: Alle Kategorien

Woche,husten: (Thurgau),toux: (Thurgau),fièvre: (Thurgau),Fieber: (Thurgau)
2017-11-05,0,0,0,0
2017-11-12,19,0,0,40
2017-11-19,0,0,0,0
2017-11-26,20,0,0,18
2017-12-03,0,16,0,0
2017-12-10,0,0,0,18
2017-12-17,13,0,0,33
2017-12-24,0,69,0,0
2017-12-31,33,0,0,37
2018-01-07,0,0,0,27
2018-01-14,40,0,0,44
2018-01-21,0,0,0,29
2018-01-28,13,0,0,0
2018-02-04,0,17,0,46
2018-02-11,43,0,0,29
2018-02-18,25,0,0,20
2018-02-25,30,0,0,54
2018-03-04,11,0,0,59
2018-03-11,23,0,0,0
2018-03-18,0,0,0,44
2018-03-25,0,0,0,11
2018-04-01,22,0,0,12
2018-04-08,21,20,0,16
2018-04-15,14,0,0,15
2018-04-22,21,0,0,0
2018-04-29,13,11,0,26
2018-05-06,0,0,0,29
2018-05-13,29,39,0,34
2018-05-20,0,0,0,0
2018-05-27,0,0,0,30
2018-06-03,0,0,0,0
2018-06-10,13,0,0,0
2018-06-17,10,0,0,32
2018-06-24,0,0,0,13
2018-07-01,0,0,0,14
2018-07-08,0,0,0,27
2018-07-15,15,0,0,0
2018-07-22,17,0,0,0
2018-07-29,16,0,0,15
2018-08-05,0,18,0,24
2018-08-12,0,0,0,18
2018-08-19,0,0,0,27
2018-08-26,26,0,0,27
2018-09-02,33,0,0,0
2018-09-09,0,0,0,0
2018-09-16,0,0,0,0
2018-09-23,32,0,0,11
2018-09-30,48,0,0,54
2018-10-07,30,0,0,20
2018-10-14,28,0,0,0
2018-10-21,0,0,0,14
2018-10-28,23,0,0,30
2018-11-04,0,0,0,33
2018-11-11,0,0,0,35
2018-11-18,23,0,0,41
2018-11-25,28,0,0,28
2018-12-02,18,14,0,16
2018-12-09,84,14,0,0
2018-12-16,24,0,0,0
2018-12-23,38,12,0,15
2018-12-30,13,0,0,26
2019-01-06,26,0,0,22
2019-01-13,28,0,0,43
2019-01-20,15,0,0,29
2019-01-27,22,0,0,60
2019-02-03,19,0,0,25
2019-02-10,68,0,0,73
2019-02-17,54,0,0,57
2019-02-24,0,0,0,57
