Kategorie: Alle Kategorien

Woche,Influenza: (Waadt),influenza: (Waadt),Grippe: (Waadt),Flu: (Waadt)
2017-11-05,11,0,11,1
2017-11-12,8,0,8,0
2017-11-19,10,0,8,0
2017-11-26,11,2,9,0
2017-12-03,12,4,8,2
2017-12-10,11,0,7,2
2017-12-17,14,0,11,4
2017-12-24,31,0,26,0
2017-12-31,37,4,22,2
2018-01-07,27,3,21,3
2018-01-14,20,3,15,2
2018-01-21,18,0,15,1
2018-01-28,18,0,14,1
2018-02-04,17,2,13,3
2018-02-11,16,0,12,2
2018-02-18,21,4,14,3
2018-02-25,15,2,15,0
2018-03-04,15,1,10,2
2018-03-11,13,1,12,2
2018-03-18,13,1,11,0
2018-03-25,10,4,12,0
2018-04-01,8,1,4,0
2018-04-08,6,1,6,0
2018-04-15,4,0,0,1
2018-04-22,4,0,4,0
2018-04-29,6,0,0,0
2018-05-06,3,0,1,0
2018-05-13,5,1,2,1
2018-05-20,3,0,3,0
2018-05-27,4,0,3,0
2018-06-03,4,0,3,0
2018-06-10,1,0,2,2
2018-06-17,1,1,1,0
2018-06-24,3,0,1,0
2018-07-01,0,0,2,0
2018-07-08,3,3,2,2
2018-07-15,3,1,0,0
2018-07-22,2,0,2,0
2018-07-29,0,0,0,0
2018-08-05,3,0,3,0
2018-08-12,4,5,4,0
2018-08-19,3,2,2,0
2018-08-26,1,0,4,1
2018-09-02,4,0,7,1
2018-09-09,5,0,2,1
2018-09-16,4,0,5,3
2018-09-23,6,2,5,1
2018-09-30,8,1,5,0
2018-10-07,8,2,7,0
2018-10-14,9,0,5,4
2018-10-21,8,2,6,0
2018-10-28,8,0,6,0
2018-11-04,13,1,10,0
2018-11-11,8,1,8,1
2018-11-18,8,0,8,2
2018-11-25,10,1,8,0
2018-12-02,8,0,8,3
2018-12-09,9,1,6,1
2018-12-16,10,1,9,0
2018-12-23,12,2,11,3
2018-12-30,9,1,8,2
2019-01-06,14,3,10,0
2019-01-13,15,0,14,0
2019-01-20,16,1,10,3
2019-01-27,25,2,21,3
2019-02-03,25,2,18,6
