Kategorie: Alle Kategorien

Woche,husten: (Waadt),Fieber: (Waadt),fièvre: (Waadt),toux: (Waadt)
2017-11-05,10,0,9,23
2017-11-12,6,7,9,23
2017-11-19,13,0,5,25
2017-11-26,13,6,7,30
2017-12-03,0,17,7,20
2017-12-10,12,9,9,26
2017-12-17,14,9,20,35
2017-12-24,21,28,23,52
2017-12-31,19,18,12,52
2018-01-07,13,0,19,22
2018-01-14,6,0,11,30
2018-01-21,13,20,11,16
2018-01-28,14,16,0,30
2018-02-04,14,14,18,24
2018-02-11,14,18,0,29
2018-02-18,12,30,13,34
2018-02-25,7,11,8,37
2018-03-04,5,10,9,27
2018-03-11,18,17,14,21
2018-03-18,11,7,7,13
2018-03-25,0,19,4,21
2018-04-01,0,17,18,25
2018-04-08,6,14,0,7
2018-04-15,16,13,11,17
2018-04-22,0,13,15,26
2018-04-29,6,10,6,8
2018-05-06,21,0,6,6
2018-05-13,6,4,3,9
2018-05-20,6,10,10,18
2018-05-27,5,11,12,17
2018-06-03,7,21,0,14
2018-06-10,6,6,11,0
2018-06-17,0,23,0,13
2018-06-24,10,0,6,8
2018-07-01,0,12,4,18
2018-07-08,0,14,0,20
2018-07-15,7,12,7,14
2018-07-22,0,18,4,12
2018-07-29,11,14,0,0
2018-08-05,10,6,17,0
2018-08-12,0,0,10,19
2018-08-19,0,0,6,12
2018-08-26,0,11,7,19
2018-09-02,9,8,6,19
2018-09-09,14,0,0,12
2018-09-16,6,5,11,16
2018-09-23,4,6,9,18
2018-09-30,0,8,11,23
2018-10-07,8,5,13,21
2018-10-14,0,0,8,22
2018-10-21,0,10,7,26
2018-10-28,0,9,7,37
2018-11-04,6,8,10,27
2018-11-11,4,12,21,24
2018-11-18,9,8,7,29
2018-11-25,0,7,7,17
2018-12-02,14,7,0,25
2018-12-09,8,13,17,31
2018-12-16,8,8,21,26
2018-12-23,16,7,9,41
2018-12-30,7,0,8,26
2019-01-06,6,9,9,26
2019-01-13,23,15,15,23
2019-01-20,8,6,0,43
2019-01-27,8,22,11,36
2019-02-03,21,28,7,50
2019-02-10,10,30,17,45
2019-02-17,10,22,9,29
2019-02-24,10,24,9,27
2019-03-03,6,7,5,29
2019-03-10,6,11,8,27
2019-03-17,12,17,12,17
2019-03-24,3,18,6,14
2019-03-31,14,10,11,15
2019-04-07,6,5,0,8
2019-04-14,6,13,10,20
2019-04-21,12,10,6,17
2019-04-28,4,10,13,20
2019-05-05,6,6,8,19
2019-05-12,12,10,9,13
2019-05-19,3,13,0,14
2019-05-26,6,8,8,19
2019-06-02,6,0,6,10
2019-06-09,0,0,0,15
2019-06-16,0,9,7,14
2019-06-23,10,5,12,8
2019-06-30,8,12,12,17
2019-07-07,15,13,10,17
2019-07-14,5,11,8,15
2019-07-21,0,16,11,12
2019-07-28,6,22,5,16
2019-08-04,6,16,14,0
2019-08-11,7,14,8,20
2019-08-18,0,4,0,0
2019-08-25,0,7,4,13
2019-09-01,6,0,17,35
2019-09-08,11,9,5,12
2019-09-15,0,7,3,28
2019-09-22,6,9,0,20
2019-09-29,6,9,16,27
2019-10-06,0,11,4,18
2019-10-13,0,0,0,28
2019-10-20,11,4,4,26
2019-10-27,0,13,14,24
2019-11-03,0,10,7,17
2019-11-10,0,17,10,31
2019-11-17,12,14,8,28
2019-11-24,19,19,9,32
2019-12-01,3,6,11,25
2019-12-08,13,8,15,17
2019-12-15,11,8,13,37
2019-12-22,5,9,16,28
2019-12-29,10,6,20,44
2020-01-05,0,8,15,32
2020-01-12,8,21,17,30
2020-01-19,4,12,14,37
2020-01-26,15,23,15,40
2020-02-02,30,23,12,44
2020-02-09,24,14,6,46
2020-02-16,0,15,20,52
2020-02-23,24,15,21,37
2020-03-01,20,27,7,48
2020-03-08,19,35,25,67
2020-03-15,10,36,44,68
2020-03-22,11,11,21,48
2020-03-29,0,0,19,22
2020-04-05,0,16,24,27
2020-04-12,4,6,9,24
2020-04-19,0,0,5,22
2020-04-26,14,5,0,9
2020-05-03,0,0,0,11
2020-05-10,0,7,13,24
2020-05-17,6,11,15,10
2020-05-24,9,6,0,16
2020-05-31,0,0,11,17
2020-06-07,0,6,5,9
2020-06-14,0,6,14,21
2020-06-21,0,9,15,26
2020-06-28,0,11,6,8
2020-07-05,9,4,16,17
2020-07-12,5,10,0,5
2020-07-19,0,20,14,8
2020-07-26,0,0,0,5
2020-08-02,0,21,14,14
2020-08-09,0,8,7,0
2020-08-16,0,0,13,14
2020-08-23,0,0,4,21
2020-08-30,6,9,15,13
2020-09-06,4,6,6,24
2020-09-13,0,3,27,23
2020-09-20,4,7,16,26
2020-09-27,0,0,6,23
2020-10-04,6,6,15,18
2020-10-11,14,7,12,12
2020-10-18,6,16,15,25
2020-10-25,5,12,16,17
2020-11-01,8,10,21,25
2020-11-08,0,6,0,32
2020-11-15,0,10,16,19
2020-11-22,7,4,16,16
2020-11-29,8,7,10,22
2020-12-06,4,8,11,28
2020-12-13,0,14,7,24
2020-12-20,4,8,11,25
2020-12-27,9,14,13,26
2021-01-03,5,6,0,4
2021-01-10,0,0,13,11
2021-01-17,4,4,5,18
2021-01-24,4,4,10,15
2021-01-31,0,11,19,20
2021-02-07,0,20,15,21
2021-02-14,0,9,9,25
2021-02-21,7,5,5,17
2021-02-28,8,0,14,34
2021-03-07,0,7,9,11
2021-03-14,5,0,10,14
2021-03-21,0,7,11,31
2021-03-28,0,12,0,26
2021-04-04,0,0,0,41
2021-04-11,0,9,11,19
2021-04-18,0,0,14,35
2021-04-25,6,0,10,6
2021-05-02,0,6,8,35
2021-05-09,12,0,7,17
2021-05-16,0,11,16,15
2021-05-23,0,11,9,29
2021-05-30,0,7,12,10
2021-06-06,5,0,14,21
2021-06-13,6,8,5,37
2021-06-20,9,8,14,12
2021-06-27,10,6,13,15
2021-07-04,0,0,13,6
2021-07-11,10,17,20,33
2021-07-18,9,18,7,14
2021-07-25,5,8,6,0
2021-08-01,0,5,0,25
2021-08-08,0,19,16,25
2021-08-15,6,8,0,16
2021-08-22,9,12,0,23
2021-08-29,0,7,12,12
2021-09-05,14,18,0,30
2021-09-12,4,6,12,24
2021-09-19,7,5,10,26
2021-09-26,0,10,11,41
2021-10-03,21,11,0,42
2021-10-10,9,0,10,38
2021-10-17,7,15,16,46
2021-10-24,0,0,19,38
2021-10-31,0,11,11,37
2021-11-07,10,13,10,43
2021-11-14,8,9,18,38
2021-11-21,6,22,14,44
2021-11-28,0,0,17,39
2021-12-05,16,13,16,55
2021-12-12,10,7,16,49
2021-12-19,16,20,20,55
2021-12-26,9,0,20,67
2022-01-02,0,0,23,27
2022-01-09,0,0,9,41
2022-01-16,11,0,0,43
2022-01-23,8,0,13,39
2022-01-30,0,6,15,53
2022-02-06,0,17,12,31
2022-02-13,12,0,10,31
2022-02-20,7,0,10,32
2022-02-27,0,16,16,37
2022-03-06,0,0,24,50
2022-03-13,5,0,11,56
2022-03-20,0,0,24,52
2022-03-27,10,3,20,43
2022-04-03,8,0,11,45
2022-04-10,12,0,16,51
2022-04-17,0,0,13,56
2022-04-24,0,4,16,25
2022-05-01,0,6,11,42
2022-05-08,10,0,10,33
2022-05-15,0,0,19,39
2022-05-22,6,0,20,31
2022-05-29,4,16,4,36
2022-06-05,5,5,14,34
2022-06-12,13,0,23,36
2022-06-19,0,0,9,19
2022-06-26,10,9,15,19
2022-07-03,0,8,14,36
2022-07-10,0,0,20,39
2022-07-17,27,0,6,34
2022-07-24,0,8,46,13
2022-07-31,0,0,25,20
2022-08-07,6,0,20,18
2022-08-14,14,0,15,19
2022-08-21,0,6,23,16
2022-08-28,15,10,10,13
2022-09-04,0,4,14,22
2022-09-11,0,0,0,23
2022-09-18,0,6,18,33
2022-09-25,0,0,9,45
2022-10-02,0,5,22,39
2022-10-09,10,6,15,52
2022-10-16,6,10,18,64
2022-10-23,8,0,10,42
2022-10-30,0,0,18,44
2022-11-06,6,0,14,52
2022-11-13,0,0,12,46
2022-11-20,7,4,4,48
2022-11-27,0,0,16,43
2022-12-04,0,0,13,41
2022-12-11,9,0,8,68
2022-12-18,0,12,18,80
2022-12-25,0,25,33,100
