Kategorie: Alle Kategorien

Woche,husten: (Zug),Fieber: (Zug),fièvre: (Zug),toux: (Zug)
2017-11-05,21,0,0,0
2017-11-12,85,0,0,0
2017-11-19,0,16,0,0
2017-11-26,0,30,0,0
2017-12-03,21,0,0,0
2017-12-10,0,0,0,0
2017-12-17,0,0,0,0
2017-12-24,63,34,0,0
2017-12-31,22,36,0,0
2018-01-07,81,29,0,0
2018-01-14,38,0,0,0
2018-01-21,0,22,0,0
2018-01-28,28,97,0,0
2018-02-04,0,29,0,0
2018-02-11,19,0,0,0
2018-02-18,29,0,0,0
2018-02-25,33,33,0,0
2018-03-04,21,26,0,0
2018-03-11,49,27,0,0
2018-03-18,0,69,0,0
2018-03-25,0,33,0,0
2018-04-01,0,0,0,0
2018-04-08,39,0,0,0
2018-04-15,41,0,0,0
2018-04-22,39,32,0,0
2018-04-29,23,21,0,0
2018-05-06,34,0,0,0
2018-05-13,22,0,0,0
2018-05-20,24,0,0,0
2018-05-27,60,43,0,0
2018-06-03,35,0,0,0
2018-06-10,16,27,0,0
2018-06-17,0,25,0,0
2018-06-24,0,0,0,0
2018-07-01,0,0,0,0
2018-07-08,0,0,0,0
2018-07-15,0,0,0,0
2018-07-22,39,29,0,0
2018-07-29,0,38,0,0
2018-08-05,19,48,0,0
2018-08-12,0,0,0,0
2018-08-19,0,0,0,0
2018-08-26,24,54,0,0
2018-09-02,40,18,0,0
2018-09-09,20,34,0,0
2018-09-16,0,0,0,0
2018-09-23,0,0,0,0
2018-09-30,0,0,0,0
2018-10-07,0,39,0,0
2018-10-14,25,20,0,0
2018-10-21,29,0,0,0
2018-10-28,0,24,0,0
2018-11-04,34,0,0,0
2018-11-11,25,0,0,0
2018-11-18,0,52,0,0
2018-11-25,19,0,0,0
2018-12-02,18,0,0,0
2018-12-09,0,19,0,0
2018-12-16,0,0,0,0
2018-12-23,0,24,0,0
2018-12-30,0,0,0,0
2019-01-06,52,0,0,0
2019-01-13,31,48,0,0
2019-01-20,0,16,0,0
2019-01-27,17,17,0,0
2019-02-03,19,0,0,0
2019-02-10,32,41,0,0
2019-02-17,0,0,0,0
2019-02-24,23,17,0,0
2019-03-03,16,34,0,0
2019-03-10,0,31,0,0
2019-03-17,0,0,0,0
2019-03-24,17,0,0,0
2019-03-31,0,0,0,0
2019-04-07,0,0,0,0
2019-04-14,0,29,0,0
2019-04-21,0,0,0,0
2019-04-28,0,0,0,0
2019-05-05,0,0,0,0
2019-05-12,28,20,0,0
2019-05-19,16,0,0,0
2019-05-26,0,48,0,0
2019-06-02,0,0,0,0
2019-06-09,18,0,0,0
2019-06-16,0,60,0,0
2019-06-23,0,26,0,0
2019-06-30,0,0,0,0
2019-07-07,0,0,0,0
2019-07-14,0,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,28,0,0
2019-08-04,41,0,0,0
2019-08-11,0,0,0,0
2019-08-18,0,32,0,0
2019-08-25,0,17,0,0
2019-09-01,0,0,0,0
2019-09-08,0,17,0,0
2019-09-15,0,20,0,0
2019-09-22,0,0,0,0
2019-09-29,21,0,0,0
2019-10-06,45,0,0,0
2019-10-13,28,0,0,0
2019-10-20,0,37,0,0
2019-10-27,46,0,0,0
2019-11-03,0,32,0,0
2019-11-10,16,0,0,0
2019-11-17,0,15,0,0
2019-11-24,0,18,0,0
2019-12-01,100,0,0,0
2019-12-08,0,0,0,0
2019-12-15,0,0,0,0
2019-12-22,0,0,0,0
2019-12-29,21,38,0,0
2020-01-05,27,19,0,0
2020-01-12,0,43,0,0
2020-01-19,54,44,0,0
2020-01-26,29,31,0,0
2020-02-02,0,70,0,0
2020-02-09,0,36,0,0
2020-02-16,52,24,0,0
2020-02-23,0,0,0,0
2020-03-01,42,46,0,0
2020-03-08,17,54,0,0
2020-03-15,70,63,0,0
2020-03-22,0,41,0,0
2020-03-29,23,47,0,0
2020-04-05,16,35,0,0
2020-04-12,17,41,0,0
2020-04-19,22,0,0,0
2020-04-26,0,0,0,0
2020-05-03,0,14,0,0
2020-05-10,0,15,0,0
2020-05-17,0,0,0,0
2020-05-24,0,0,0,0
2020-05-31,0,22,0,0
2020-06-07,0,41,0,0
2020-06-14,0,40,0,0
2020-06-21,18,19,0,0
2020-06-28,0,0,0,0
2020-07-05,18,16,0,0
2020-07-12,27,0,0,0
2020-07-19,0,31,0,0
2020-07-26,39,0,0,0
2020-08-02,0,43,0,0
2020-08-09,31,0,0,0
2020-08-16,0,0,0,0
2020-08-23,48,0,0,0
2020-08-30,0,0,0,0
2020-09-06,0,0,0,0
2020-09-13,0,43,0,0
2020-09-20,65,0,0,0
2020-09-27,22,29,0,0
2020-10-04,0,31,0,0
2020-10-11,0,0,0,0
2020-10-18,0,22,0,0
2020-10-25,0,19,0,0
2020-11-01,0,15,0,0
2020-11-08,0,34,0,0
2020-11-15,0,29,0,0
2020-11-22,52,38,0,0
2020-11-29,0,0,0,0
2020-12-06,0,0,0,0
2020-12-13,0,15,0,0
2020-12-20,0,44,0,0
2020-12-27,0,30,0,0
2021-01-03,75,20,0,0
2021-01-10,0,18,0,0
2021-01-17,0,0,0,0
2021-01-24,0,23,0,0
2021-01-31,0,16,0,0
2021-02-07,25,0,0,0
2021-02-14,0,0,0,0
2021-02-21,25,0,0,0
2021-02-28,28,0,0,0
2021-03-07,0,35,0,0
2021-03-14,0,37,0,0
2021-03-21,46,34,0,0
2021-03-28,56,19,0,0
2021-04-04,0,46,0,0
2021-04-11,0,0,0,0
2021-04-18,19,25,0,0
2021-04-25,0,0,0,0
2021-05-02,0,43,0,0
2021-05-09,27,0,0,0
2021-05-16,0,20,0,0
2021-05-23,0,38,0,0
2021-05-30,0,21,0,0
2021-06-06,57,44,0,0
2021-06-13,0,0,0,0
2021-06-20,0,22,0,0
2021-06-27,0,26,0,0
2021-07-04,0,0,0,0
2021-07-11,65,34,0,0
2021-07-18,39,80,0,0
2021-07-25,0,31,0,0
2021-08-01,0,0,0,0
2021-08-08,0,20,0,0
2021-08-15,0,0,0,0
2021-08-22,0,0,0,0
2021-08-29,0,28,0,0
2021-09-05,0,0,0,0
2021-09-12,17,21,0,0
2021-09-19,0,17,0,0
2021-09-26,21,25,0,0
2021-10-03,0,0,0,0
2021-10-10,0,0,0,0
2021-10-17,85,45,0,0
2021-10-24,0,0,0,0
2021-10-31,48,0,0,0
2021-11-07,0,44,0,0
2021-11-14,0,0,0,0
2021-11-21,0,0,0,0
2021-11-28,40,21,0,0
2021-12-05,40,47,0,0
2021-12-12,51,0,0,0
2021-12-19,41,44,0,0
2021-12-26,0,0,0,0
2022-01-02,30,0,0,0
2022-01-09,0,15,0,0
2022-01-16,0,0,0,0
2022-01-23,0,33,0,0
2022-01-30,17,30,0,0
2022-02-06,50,29,0,0
2022-02-13,0,35,0,0
2022-02-20,15,29,0,0
2022-02-27,39,31,0,0
2022-03-06,19,48,0,0
2022-03-13,0,54,0,0
2022-03-20,0,38,0,0
2022-03-27,0,33,0,0
2022-04-03,0,0,0,0
2022-04-10,40,23,0,0
2022-04-17,0,0,0,0
2022-04-24,24,0,0,0
2022-05-01,25,37,0,0
2022-05-08,31,26,0,0
2022-05-15,62,0,0,0
2022-05-22,24,56,0,0
2022-05-29,0,0,0,0
2022-06-05,22,26,0,0
2022-06-12,16,0,0,0
2022-06-19,0,28,0,0
2022-06-26,0,0,0,0
2022-07-03,0,75,0,0
2022-07-10,61,46,0,0
2022-07-17,0,0,0,0
2022-07-24,0,45,0,0
2022-07-31,0,18,0,0
2022-08-07,24,0,0,0
2022-08-14,0,39,0,0
2022-08-21,66,0,0,0
2022-08-28,0,0,0,0
2022-09-04,19,0,0,0
2022-09-11,26,0,0,0
2022-09-18,37,25,0,0
2022-09-25,34,0,0,0
2022-10-02,40,19,0,0
2022-10-09,52,51,0,0
2022-10-16,43,0,0,0
2022-10-23,0,27,0,0
2022-10-30,0,42,0,0
2022-11-06,0,0,0,0
2022-11-13,0,21,0,0
2022-11-20,23,0,0,0
2022-11-27,59,0,0,0
2022-12-04,0,84,0,0
2022-12-11,64,38,0,0
2022-12-18,45,83,0,0
2022-12-25,30,69,0,0
