Kategorie: Alle Kategorien

Woche,Influenza: (Zürich),influenza: (Zürich),Grippe: (Zürich),Flu: (Zürich)
2017-11-05,9,2,4,2
2017-11-12,12,1,8,0
2017-11-19,11,1,8,2
2017-11-26,11,1,6,2
2017-12-03,12,<1,7,1
2017-12-10,13,2,11,1
2017-12-17,14,1,11,2
2017-12-24,23,3,19,2
2017-12-31,28,5,19,1
2018-01-07,28,4,19,3
2018-01-14,21,3,15,2
2018-01-21,25,4,17,2
2018-01-28,21,2,16,1
2018-02-04,20,2,15,3
2018-02-11,20,1,14,2
2018-02-18,22,3,18,1
2018-02-25,17,2,13,3
2018-03-04,15,1,12,1
2018-03-11,12,1,9,1
2018-03-18,14,1,12,1
2018-03-25,10,2,9,1
2018-04-01,9,<1,7,1
2018-04-08,8,1,8,2
2018-04-15,6,1,6,1
2018-04-22,2,<1,3,1
2018-04-29,4,2,4,0
2018-05-06,3,0,2,2
2018-05-13,4,1,3,0
2018-05-20,3,0,3,<1
2018-05-27,4,0,4,0
2018-06-03,4,1,2,1
2018-06-10,3,0,3,1
2018-06-17,4,<1,3,0
2018-06-24,3,0,3,0
2018-07-01,3,0,2,1
2018-07-08,4,<1,4,1
2018-07-15,3,1,4,<1
2018-07-22,3,0,3,1
2018-07-29,4,2,1,1
2018-08-05,4,1,3,1
2018-08-12,4,0,4,2
2018-08-19,4,1,5,1
2018-08-26,3,1,3,1
2018-09-02,6,1,7,1
2018-09-09,7,0,5,0
2018-09-16,4,0,5,0
2018-09-23,6,1,5,1
2018-09-30,8,0,5,1
2018-10-07,5,1,4,1
2018-10-14,6,2,6,0
2018-10-21,7,0,6,1
2018-10-28,8,1,6,2
2018-11-04,9,1,7,1
2018-11-11,9,1,7,3
2018-11-18,7,1,6,<1
2018-11-25,7,1,6,1
2018-12-02,10,2,9,1
2018-12-09,8,2,7,1
2018-12-16,10,2,9,2
2018-12-23,11,1,11,0
2018-12-30,8,1,8,0
2019-01-06,11,1,9,1
2019-01-13,14,3,12,2
2019-01-20,15,2,13,2
2019-01-27,18,3,12,1
2019-02-03,26,4,23,2
2019-02-10,20,3,16,1
2019-02-17,18,3,13,3
2019-02-24,12,1,12,2
2019-03-03,10,1,9,1
2019-03-10,9,1,10,4
2019-03-17,6,2,7,2
2019-03-24,8,1,7,2
2019-03-31,5,0,7,0
2019-04-07,7,2,6,1
2019-04-14,5,2,5,1
2019-04-21,5,0,4,1
2019-04-28,4,1,3,<1
2019-05-05,5,0,3,1
2019-05-12,4,1,4,0
2019-05-19,3,<1,3,0
2019-05-26,4,1,4,1
2019-06-02,3,1,4,1
2019-06-09,4,1,3,1
2019-06-16,1,1,3,2
2019-06-23,3,1,3,2
2019-06-30,3,0,4,1
2019-07-07,3,1,4,<1
2019-07-14,3,0,3,0
2019-07-21,4,0,4,0
2019-07-28,3,0,1,1
2019-08-04,2,2,4,0
2019-08-11,6,0,3,1
2019-08-18,3,0,4,1
2019-08-25,4,1,3,1
2019-09-01,3,0,4,1
2019-09-08,5,0,5,<1
2019-09-15,5,0,5,1
2019-09-22,7,1,6,1
2019-09-29,5,0,5,1
2019-10-06,7,1,6,1
2019-10-13,7,1,6,4
2019-10-20,8,2,6,1
2019-10-27,7,2,6,1
2019-11-03,9,0,7,2
2019-11-10,10,2,8,1
2019-11-17,8,1,7,2
2019-11-24,6,1,4,2
2019-12-01,6,1,6,1
2019-12-08,8,0,7,2
2019-12-15,9,2,7,2
2019-12-22,10,1,8,2
2019-12-29,9,1,11,1
2020-01-05,12,2,9,2
2020-01-12,14,3,11,2
2020-01-19,21,4,15,3
2020-01-26,43,6,30,5
2020-02-02,35,5,26,4
2020-02-09,24,4,17,4
2020-02-16,25,5,16,3
2020-02-23,97,16,66,12
2020-03-01,69,12,48,11
2020-03-08,80,13,57,10
2020-03-15,100,15,67,11
2020-03-22,65,11,42,8
2020-03-29,46,8,31,6
2020-04-05,33,4,21,5
2020-04-12,25,4,18,3
2020-04-19,19,3,12,3
2020-04-26,19,2,13,3
2020-05-03,18,2,10,3
2020-05-10,13,2,11,1
2020-05-17,12,2,6,2
2020-05-24,10,1,6,3
2020-05-31,8,1,4,1
2020-06-07,9,2,5,2
2020-06-14,7,1,5,1
2020-06-21,10,2,6,3
2020-06-28,12,2,8,3
2020-07-05,8,1,6,3
2020-07-12,8,1,5,2
2020-07-19,8,1,5,2
2020-07-26,8,0,5,1
2020-08-02,9,1,6,2
2020-08-09,9,0,7,3
2020-08-16,9,1,7,2
2020-08-23,11,0,9,1
2020-08-30,10,1,7,3
2020-09-06,9,2,6,2
2020-09-13,11,1,7,2
2020-09-20,11,1,7,2
2020-09-27,11,2,6,2
2020-10-04,12,1,8,3
2020-10-11,21,3,15,3
2020-10-18,30,6,20,2
2020-10-25,25,2,18,2
2020-11-01,19,4,13,2
2020-11-08,16,2,12,2
2020-11-15,15,2,11,3
2020-11-22,11,2,8,1
2020-11-29,11,0,8,1
2020-12-06,15,1,12,1
2020-12-13,17,3,12,2
2020-12-20,14,1,9,2
2020-12-27,13,1,10,2
2021-01-03,11,2,7,2
2021-01-10,11,2,8,1
2021-01-17,10,1,7,1
2021-01-24,12,2,8,1
2021-01-31,10,2,7,1
2021-02-07,11,2,10,2
2021-02-14,7,1,5,1
2021-02-21,7,1,6,0
2021-02-28,8,1,5,2
2021-03-07,7,0,6,1
2021-03-14,8,0,6,2
2021-03-21,7,<1,6,1
2021-03-28,8,2,5,1
2021-04-04,9,<1,5,1
2021-04-11,5,2,5,0
2021-04-18,8,1,7,0
2021-04-25,5,1,4,1
2021-05-02,5,1,4,2
2021-05-09,4,1,4,0
2021-05-16,7,1,5,1
2021-05-23,4,0,4,0
2021-05-30,6,1,5,2
2021-06-06,4,1,4,0
2021-06-13,3,0,2,1
2021-06-20,5,1,4,0
2021-06-27,4,0,3,0
2021-07-04,5,1,4,1
2021-07-11,4,0,3,1
2021-07-18,6,1,5,1
2021-07-25,3,1,4,0
2021-08-01,4,1,3,1
2021-08-08,6,1,5,0
2021-08-15,5,0,6,1
2021-08-22,7,2,6,1
2021-08-29,7,0,7,1
2021-09-05,8,1,7,1
2021-09-12,7,1,5,1
2021-09-19,10,2,7,0
2021-09-26,8,1,6,2
2021-10-03,8,2,7,2
2021-10-10,8,1,8,1
2021-10-17,10,1,8,0
2021-10-24,8,1,8,0
2021-10-31,11,1,9,2
2021-11-07,12,2,11,1
2021-11-14,9,1,9,2
2021-11-21,13,3,11,2
2021-11-28,13,2,12,2
2021-12-05,11,1,10,3
2021-12-12,11,1,10,2
2021-12-19,9,0,12,1
2021-12-26,13,2,12,2
2022-01-02,17,1,13,3
2022-01-09,11,1,7,3
2022-01-16,9,3,7,2
2022-01-23,10,0,8,2
2022-01-30,7,3,7,2
2022-02-06,4,0,6,1
2022-02-13,4,0,4,1
2022-02-20,5,1,5,1
2022-02-27,6,1,4,1
2022-03-06,8,2,6,1
2022-03-13,9,2,8,2
2022-03-20,9,3,6,1
2022-03-27,8,2,5,0
2022-04-03,7,3,7,1
2022-04-10,8,2,7,1
2022-04-17,3,1,4,0
2022-04-24,6,<1,6,1
2022-05-01,4,1,5,1
2022-05-08,6,1,5,3
2022-05-15,5,1,4,1
2022-05-22,4,1,6,1
2022-05-29,5,1,3,1
2022-06-05,2,0,4,0
2022-06-12,5,0,3,1
2022-06-19,4,2,4,<1
2022-06-26,4,1,3,1
2022-07-03,5,1,3,1
2022-07-10,4,1,2,2
2022-07-17,5,1,6,1
2022-07-24,4,0,7,1
2022-07-31,2,1,3,1
2022-08-07,2,0,4,1
2022-08-14,2,0,2,2
2022-08-21,5,0,4,1
2022-08-28,4,1,3,1
2022-09-04,6,1,5,1
2022-09-11,8,1,5,1
2022-09-18,4,1,2,1
2022-09-25,8,1,7,2
2022-10-02,9,1,6,2
2022-10-09,9,2,7,1
2022-10-16,9,2,7,3
2022-10-23,10,1,7,3
2022-10-30,9,1,6,1
2022-11-06,11,1,8,2
2022-11-13,9,2,7,1
2022-11-20,7,1,6,0
2022-11-27,12,3,7,2
2022-12-04,14,4,9,2
2022-12-11,24,5,18,3
