Kategorie: Alle Kategorien

Woche,husten: (Bern),Fieber: (Bern),fièvre: (Bern),toux: (Bern)
2022-11-06,63,54,5,3
2022-11-13,50,52,6,8
2022-11-20,61,51,3,6
2022-11-27,61,65,0,0
2022-12-04,60,61,0,7
2022-12-11,59,72,6,5
2022-12-18,96,100,5,14
2022-12-25,94,92,6,16
2023-01-01,55,67,8,10
2023-01-08,38,44,6,8
2023-01-15,36,35,0,5
2023-01-22,46,58,14,0
2023-01-29,36,62,5,9
2023-02-05,62,63,0,8
2023-02-12,37,89,0,6
2023-02-19,40,69,4,6
2023-02-26,42,71,0,12
2023-03-05,30,48,0,5
2023-03-12,30,50,0,0
2023-03-19,43,61,0,7
2023-03-26,33,52,0,0
2023-04-02,15,31,0,0
2023-04-09,35,49,4,4
2023-04-16,31,45,3,5
2023-04-23,29,38,8,10
2023-04-30,17,38,0,0
2023-05-07,32,39,0,7
2023-05-14,40,24,4,10
2023-05-21,19,40,0,0
2023-05-28,40,43,0,9
2023-06-04,33,25,0,0
2023-06-11,18,31,0,0
2023-06-18,20,29,0,0
2023-06-25,18,33,0,0
2023-07-02,16,28,0,0
2023-07-09,17,25,0,6
2023-07-16,17,39,0,0
2023-07-23,22,38,5,0
2023-07-30,21,32,5,0
2023-08-06,16,35,0,7
2023-08-13,30,35,0,7
2023-08-20,19,43,0,0
2023-08-27,20,42,3,6
2023-09-03,24,38,9,9
2023-09-10,30,47,0,0
2023-09-17,25,38,3,0
2023-09-24,21,30,0,0
2023-10-01,24,41,7,13
2023-10-08,47,51,0,0
2023-10-15,19,45,0,7
2023-10-22,32,33,0,3
2023-10-29,26,51,0,0
2023-11-05,29,32,0,8
2023-11-12,49,59,0,5
