Kategorie: Alle Kategorien

Woche,husten: (Schweiz),Fieber: (Schweiz),fièvre: (Schweiz),toux: (Schweiz)
2022-11-06,50,55,5,16
2022-11-13,50,47,4,16
2022-11-20,55,49,5,20
2022-11-27,55,51,5,18
2022-12-04,62,65,4,20
2022-12-11,68,85,5,24
2022-12-18,84,100,7,33
2022-12-25,85,95,7,34
2023-01-01,65,64,6,22
2023-01-08,47,45,7,16
2023-01-15,37,44,6,12
2023-01-22,35,54,6,15
2023-01-29,39,51,6,16
2023-02-05,45,57,8,18
2023-02-12,39,68,6,21
2023-02-19,51,71,8,21
2023-02-26,43,66,7,15
2023-03-05,46,62,6,20
2023-03-12,36,56,4,14
2023-03-19,39,56,4,13
2023-03-26,34,55,7,13
2023-04-02,30,43,5,12
2023-04-09,37,47,5,14
2023-04-16,30,38,2,11
2023-04-23,24,38,3,11
2023-04-30,20,39,5,7
2023-05-07,28,36,4,7
2023-05-14,27,36,4,10
2023-05-21,25,38,2,9
2023-05-28,30,35,3,10
2023-06-04,26,34,5,11
2023-06-11,22,37,4,8
2023-06-18,24,38,6,5
2023-06-25,19,38,2,6
2023-07-02,17,42,6,7
2023-07-09,19,35,3,7
2023-07-16,19,39,4,6
2023-07-23,17,35,4,6
2023-07-30,20,38,5,8
2023-08-06,20,32,4,7
2023-08-13,20,37,2,3
2023-08-20,22,38,2,5
2023-08-27,25,41,4,8
2023-09-03,28,47,6,12
2023-09-10,27,56,6,10
2023-09-17,30,43,6,8
2023-09-24,26,37,5,11
2023-10-01,27,41,4,18
2023-10-08,41,40,4,16
2023-10-15,35,41,5,16
2023-10-22,33,43,3,12
2023-10-29,34,44,4,14
2023-11-05,37,46,3,16
2023-11-12,48,50,5,15
