Kategorie: Alle Kategorien

Woche,Influenza: (Genf),influenza: (Genf),Grippe: (Genf),Flu: (Genf)
2022-11-27,62,0,51,0
2022-12-04,50,8,32,7
2022-12-11,67,11,52,10
2022-12-18,100,10,81,22
2022-12-25,77,0,62,0
2023-01-01,54,0,32,7
2023-01-08,41,17,30,10
2023-01-15,36,22,26,0
2023-01-22,33,25,11,5
2023-01-29,29,7,24,0
2023-02-05,59,12,40,0
2023-02-12,45,7,29,8
2023-02-19,55,9,32,0
2023-02-26,46,10,40,18
2023-03-05,24,15,13,5
2023-03-12,29,7,19,6
2023-03-19,16,5,11,0
2023-03-26,24,0,20,0
2023-04-02,19,0,20,14
2023-04-09,13,0,8,0
2023-04-16,27,0,14,8
2023-04-23,9,16,22,0
2023-04-30,16,9,0,0
2023-05-07,14,0,0,11
2023-05-14,15,0,8,0
2023-05-21,0,6,0,0
2023-05-28,0,0,0,0
2023-06-04,17,0,5,0
2023-06-11,6,7,0,0
2023-06-18,10,0,5,0
2023-06-25,20,0,0,10
2023-07-02,12,0,18,8
2023-07-09,8,0,0,7
2023-07-16,0,0,12,0
2023-07-23,10,0,15,0
2023-07-30,15,0,0,17
2023-08-06,6,0,15,6
2023-08-13,6,0,8,5
2023-08-20,11,0,0,5
2023-08-27,26,14,10,0
2023-09-03,14,0,10,15
2023-09-10,17,9,7,8
2023-09-17,22,7,7,12
2023-09-24,20,0,7,9
2023-10-01,28,5,19,12
2023-10-08,31,0,8,12
2023-10-15,49,12,34,13
2023-10-22,34,0,14,13
2023-10-29,26,10,23,11
2023-11-05,43,7,25,7
2023-11-12,57,0,48,13
