Kategorie: Alle Kategorien

Woche,husten: (Genf),Fieber: (Genf),fièvre: (Genf),toux: (Genf)
2022-11-06,0,0,20,47
2022-11-13,0,0,6,21
2022-11-20,0,0,11,73
2022-11-27,6,0,10,31
2022-12-04,16,7,12,56
2022-12-11,0,0,18,46
2022-12-18,0,0,14,100
2022-12-25,34,16,15,99
2023-01-01,0,0,11,48
2023-01-08,0,0,13,27
2023-01-15,0,0,11,0
2023-01-22,15,10,51,49
2023-01-29,0,0,21,45
2023-02-05,0,0,25,35
2023-02-12,0,0,0,52
2023-02-19,0,0,32,58
2023-02-26,0,9,23,24
2023-03-05,0,7,0,39
2023-03-12,0,0,0,27
2023-03-19,20,14,9,37
2023-03-26,0,0,11,17
2023-04-02,0,0,7,23
2023-04-09,7,14,0,24
2023-04-16,15,0,23,12
2023-04-23,0,0,14,11
2023-04-30,10,0,16,15
2023-05-07,0,0,12,10
2023-05-14,0,0,0,7
2023-05-21,0,0,18,0
2023-05-28,0,0,0,17
2023-06-04,0,0,24,11
2023-06-11,0,0,0,15
2023-06-18,0,0,29,13
2023-06-25,0,0,15,18
2023-07-02,0,0,0,22
2023-07-09,0,0,10,14
2023-07-16,0,24,0,15
2023-07-23,0,0,12,0
2023-07-30,17,0,0,16
2023-08-06,0,0,16,17
2023-08-13,0,0,11,15
2023-08-20,0,12,0,0
2023-08-27,0,0,11,0
2023-09-03,0,0,29,27
2023-09-10,14,0,0,34
2023-09-17,0,0,10,13
2023-09-24,0,0,8,27
2023-10-01,0,0,12,33
2023-10-08,0,0,12,44
2023-10-15,8,0,7,32
2023-10-22,0,0,9,34
2023-10-29,0,0,11,30
2023-11-05,0,0,13,32
2023-11-12,0,0,14,41
