Kategorie: Alle Kategorien

Woche,Influenza: (Glarus),influenza: (Glarus),Grippe: (Glarus),Flu: (Glarus)
2022-11-27,0,35,0,0
2022-12-04,21,42,0,0
2022-12-11,39,35,0,0
2022-12-18,0,0,0,0
2022-12-25,100,0,0,0
2023-01-01,0,0,0,0
2023-01-08,0,0,38,0
2023-01-15,21,0,0,0
2023-01-22,0,0,0,0
2023-01-29,30,0,0,0
2023-02-05,0,0,79,0
2023-02-12,27,30,0,0
2023-02-19,82,0,39,0
2023-02-26,0,0,23,0
2023-03-05,21,0,0,0
2023-03-12,0,0,0,0
2023-03-19,0,0,0,0
2023-03-26,31,0,34,0
2023-04-02,0,32,27,0
2023-04-09,0,0,0,0
2023-04-16,0,0,0,0
2023-04-23,0,0,0,0
2023-04-30,0,0,0,0
2023-05-07,0,37,20,0
2023-05-14,0,0,0,0
2023-05-21,0,0,0,0
2023-05-28,0,27,0,0
2023-06-04,0,0,28,0
2023-06-11,39,0,30,0
2023-06-18,0,31,0,0
2023-06-25,0,33,0,0
2023-07-02,0,22,0,0
2023-07-09,0,0,65,0
2023-07-16,0,25,0,0
2023-07-23,0,0,0,0
2023-07-30,0,49,28,0
2023-08-06,0,0,0,0
2023-08-13,0,0,0,0
2023-08-20,30,41,0,0
2023-08-27,0,0,0,0
2023-09-03,24,0,0,0
2023-09-10,0,0,0,0
2023-09-17,0,0,0,0
2023-09-24,0,0,0,0
2023-10-01,0,0,0,0
2023-10-08,0,0,28,0
2023-10-15,0,0,42,0
2023-10-22,0,0,44,0
2023-10-29,0,33,0,0
2023-11-05,21,0,46,0
2023-11-12,43,0,0,0
