Kategorie: Alle Kategorien

Woche,Influenza: (Graubünden),influenza: (Graubünden),Grippe: (Graubünden),Flu: (Graubünden)
2022-11-27,63,74,23,0
2022-12-04,50,31,22,0
2022-12-11,93,50,70,0
2022-12-18,89,37,59,0
2022-12-25,82,0,70,33
2023-01-01,68,20,91,0
2023-01-08,55,23,32,25
2023-01-15,24,0,46,0
2023-01-22,31,0,14,0
2023-01-29,0,0,23,0
2023-02-05,42,25,56,0
2023-02-12,31,0,33,26
2023-02-19,49,14,70,18
2023-02-26,28,0,27,0
2023-03-05,40,14,40,0
2023-03-12,47,15,29,0
2023-03-19,22,0,33,0
2023-03-26,43,32,26,0
2023-04-02,23,0,0,0
2023-04-09,43,0,35,0
2023-04-16,0,0,0,0
2023-04-23,0,0,0,0
2023-04-30,27,48,0,53
2023-05-07,51,0,0,0
2023-05-14,0,0,0,0
2023-05-21,0,0,23,0
2023-05-28,0,0,0,0
2023-06-04,0,0,0,0
2023-06-11,17,22,29,0
2023-06-18,100,0,0,0
2023-06-25,0,0,0,0
2023-07-02,0,0,0,0
2023-07-09,25,0,85,0
2023-07-16,0,0,0,0
2023-07-23,0,0,0,0
2023-07-30,17,0,0,33
2023-08-06,0,0,0,0
2023-08-13,0,0,22,0
2023-08-20,26,0,22,0
2023-08-27,0,0,0,0
2023-09-03,44,0,31,19
2023-09-10,32,0,37,0
2023-09-17,45,22,26,0
2023-09-24,0,0,0,0
2023-10-01,0,87,0,0
2023-10-08,0,0,0,20
2023-10-15,92,0,34,0
2023-10-22,43,18,46,0
2023-10-29,0,0,90,0
2023-11-05,86,45,0,0
2023-11-12,52,0,0,0
