Kategorie: Alle Kategorien

Woche,husten: (Graubünden),Fieber: (Graubünden),fièvre: (Graubünden),toux: (Graubünden)
2022-11-06,29,65,0,0
2022-11-13,59,20,0,0
2022-11-20,0,18,0,0
2022-11-27,50,46,0,0
2022-12-04,37,0,0,0
2022-12-11,47,69,0,0
2022-12-18,52,83,0,0
2022-12-25,12,61,0,0
2023-01-01,52,22,0,0
2023-01-08,0,15,0,0
2023-01-15,25,18,0,0
2023-01-22,73,35,0,0
2023-01-29,0,29,0,0
2023-02-05,38,42,0,0
2023-02-12,0,46,0,0
2023-02-19,28,53,0,0
2023-02-26,18,78,0,0
2023-03-05,0,70,0,0
2023-03-12,0,38,0,0
2023-03-19,15,22,0,0
2023-03-26,53,54,0,0
2023-04-02,29,39,0,0
2023-04-09,52,72,0,0
2023-04-16,31,64,0,0
2023-04-23,0,0,0,0
2023-04-30,0,20,0,0
2023-05-07,0,22,0,0
2023-05-14,41,33,0,0
2023-05-21,0,32,0,0
2023-05-28,21,61,0,0
2023-06-04,0,26,0,0
2023-06-11,27,31,0,0
2023-06-18,22,36,0,0
2023-06-25,35,65,0,0
2023-07-02,0,21,0,0
2023-07-09,0,62,0,0
2023-07-16,0,40,0,0
2023-07-23,0,25,0,0
2023-07-30,28,47,0,0
2023-08-06,0,13,0,0
2023-08-13,0,25,0,0
2023-08-20,0,36,0,0
2023-08-27,0,32,0,0
2023-09-03,22,30,0,0
2023-09-10,20,48,0,0
2023-09-17,36,24,0,0
2023-09-24,62,33,0,0
2023-10-01,21,33,0,0
2023-10-08,20,33,0,0
2023-10-15,22,0,0,0
2023-10-22,24,47,0,0
2023-10-29,24,21,0,0
2023-11-05,52,100,0,0
2023-11-12,0,0,0,0
