Kategorie: Alle Kategorien

Woche,Influenza: (Jura),influenza: (Jura),Grippe: (Jura),Flu: (Jura)
2022-11-27,0,0,53,0
2022-12-04,36,0,46,0
2022-12-11,76,0,0,0
2022-12-18,47,0,51,0
2022-12-25,84,0,59,0
2023-01-01,43,0,0,0
2023-01-08,0,0,0,0
2023-01-15,0,0,0,0
2023-01-22,39,0,36,0
2023-01-29,44,0,0,0
2023-02-05,40,0,0,0
2023-02-12,35,0,0,0
2023-02-19,46,0,66,0
2023-02-26,0,0,45,0
2023-03-05,24,0,0,0
2023-03-12,0,29,0,0
2023-03-19,54,0,34,0
2023-03-26,0,0,0,0
2023-04-02,0,0,0,0
2023-04-09,0,0,0,0
2023-04-16,26,51,0,0
2023-04-23,0,0,0,0
2023-04-30,0,0,0,0
2023-05-07,23,0,65,0
2023-05-14,0,44,0,0
2023-05-21,34,0,68,0
2023-05-28,29,0,31,0
2023-06-04,26,0,0,0
2023-06-11,0,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,0,0,0,0
2023-07-09,0,0,0,0
2023-07-16,0,0,0,0
2023-07-23,30,0,0,0
2023-07-30,0,0,0,0
2023-08-06,0,0,0,0
2023-08-13,0,0,0,0
2023-08-20,0,0,0,0
2023-08-27,0,0,0,0
2023-09-03,0,0,27,0
2023-09-10,0,0,29,0
2023-09-17,0,0,34,0
2023-09-24,0,0,47,0
2023-10-01,49,0,0,0
2023-10-08,0,0,0,0
2023-10-15,53,35,0,0
2023-10-22,0,0,30,0
2023-10-29,0,0,0,0
2023-11-05,28,100,65,0
2023-11-12,23,30,37,0
