Kategorie: Alle Kategorien

Woche,husten: (Jura),Fieber: (Jura),fièvre: (Jura),toux: (Jura)
2022-11-06,0,0,0,0
2022-11-13,0,28,0,47
2022-11-20,0,0,0,53
2022-11-27,0,0,36,31
2022-12-04,0,0,0,0
2022-12-11,0,26,0,30
2022-12-18,0,0,0,32
2022-12-25,0,0,46,28
2023-01-01,20,0,0,38
2023-01-08,0,0,0,0
2023-01-15,0,18,0,0
2023-01-22,0,28,0,34
2023-01-29,0,0,39,31
2023-02-05,0,0,0,0
2023-02-12,0,18,0,0
2023-02-19,0,0,38,28
2023-02-26,0,0,21,0
2023-03-05,18,0,0,46
2023-03-12,26,0,33,30
2023-03-19,0,0,0,0
2023-03-26,0,71,19,42
2023-04-02,0,0,20,18
2023-04-09,0,0,46,21
2023-04-16,0,71,21,0
2023-04-23,0,0,0,0
2023-04-30,0,0,0,63
2023-05-07,0,0,0,0
2023-05-14,0,0,0,0
2023-05-21,0,0,0,0
2023-05-28,0,0,0,0
2023-06-04,0,0,0,29
2023-06-11,0,0,0,0
2023-06-18,0,0,31,0
2023-06-25,0,0,20,0
2023-07-02,0,0,0,0
2023-07-09,0,38,0,0
2023-07-16,0,100,0,0
2023-07-23,0,0,0,0
2023-07-30,0,0,0,0
2023-08-06,0,0,0,30
2023-08-13,0,0,19,0
2023-08-20,0,0,0,0
2023-08-27,0,0,20,30
2023-09-03,0,27,29,0
2023-09-10,19,18,0,0
2023-09-17,0,0,41,0
2023-09-24,49,0,0,0
2023-10-01,27,0,0,33
2023-10-08,0,0,0,0
2023-10-15,26,0,0,0
2023-10-22,0,0,0,0
2023-10-29,0,0,0,0
2023-11-05,0,0,0,21
2023-11-12,0,0,0,31
