Kategorie: Alle Kategorien

Woche,Influenza: (Luzern),influenza: (Luzern),Grippe: (Luzern),Flu: (Luzern)
2022-11-27,20,9,14,18
2022-12-04,32,10,17,15
2022-12-11,37,9,29,0
2022-12-18,81,20,60,0
2022-12-25,100,29,54,0
2023-01-01,69,21,49,0
2023-01-08,27,9,18,0
2023-01-15,30,20,15,12
2023-01-22,12,0,25,0
2023-01-29,13,0,27,0
2023-02-05,30,0,21,0
2023-02-12,0,7,15,0
2023-02-19,33,11,25,10
2023-02-26,34,0,13,15
2023-03-05,47,21,41,0
2023-03-12,41,0,20,0
2023-03-19,24,8,16,0
2023-03-26,30,0,16,7
2023-04-02,18,0,15,0
2023-04-09,25,0,19,0
2023-04-16,22,8,10,0
2023-04-23,18,0,6,0
2023-04-30,21,0,10,23
2023-05-07,17,14,7,0
2023-05-14,8,16,0,0
2023-05-21,10,0,6,0
2023-05-28,0,0,10,10
2023-06-04,7,6,0,8
2023-06-11,18,0,0,0
2023-06-18,9,0,0,8
2023-06-25,19,0,0,9
2023-07-02,0,0,18,0
2023-07-09,0,11,6,0
2023-07-16,10,0,13,0
2023-07-23,0,0,31,0
2023-07-30,21,0,11,11
2023-08-06,12,8,18,0
2023-08-13,22,0,11,0
2023-08-20,0,0,7,7
2023-08-27,18,7,17,0
2023-09-03,14,0,18,0
2023-09-10,21,0,7,0
2023-09-17,24,0,16,0
2023-09-24,23,8,17,14
2023-10-01,14,0,0,0
2023-10-08,0,0,19,27
2023-10-15,17,0,10,0
2023-10-22,22,0,19,0
2023-10-29,28,0,21,6
2023-11-05,15,5,23,0
2023-11-12,13,24,15,0
