Kategorie: Alle Kategorien

Woche,husten: (Luzern),Fieber: (Luzern),fièvre: (Luzern),toux: (Luzern)
2022-11-06,34,28,0,0
2022-11-13,46,36,0,0
2022-11-20,38,37,0,18
2022-11-27,38,32,0,0
2022-12-04,46,34,0,0
2022-12-11,60,74,0,0
2022-12-18,51,78,0,0
2022-12-25,61,100,0,0
2023-01-01,58,44,0,0
2023-01-08,36,18,0,0
2023-01-15,23,28,0,0
2023-01-22,21,40,0,0
2023-01-29,43,38,0,0
2023-02-05,20,50,0,0
2023-02-12,66,72,0,0
2023-02-19,38,51,0,0
2023-02-26,38,52,0,0
2023-03-05,41,51,0,0
2023-03-12,25,45,0,0
2023-03-19,28,18,0,0
2023-03-26,20,55,0,0
2023-04-02,16,37,0,0
2023-04-09,32,31,0,0
2023-04-16,26,20,0,0
2023-04-23,23,20,0,0
2023-04-30,12,22,0,0
2023-05-07,18,25,0,0
2023-05-14,31,6,0,13
2023-05-21,24,24,0,0
2023-05-28,21,19,0,0
2023-06-04,20,17,0,0
2023-06-11,24,15,0,0
2023-06-18,0,15,0,0
2023-06-25,15,27,0,0
2023-07-02,12,19,0,0
2023-07-09,29,48,0,0
2023-07-16,0,21,0,0
2023-07-23,16,23,0,0
2023-07-30,8,21,0,0
2023-08-06,17,35,0,0
2023-08-13,11,39,0,0
2023-08-20,23,39,0,8
2023-08-27,6,16,0,0
2023-09-03,18,23,0,14
2023-09-10,21,38,0,0
2023-09-17,20,32,0,0
2023-09-24,16,24,0,0
2023-10-01,10,25,0,6
2023-10-08,25,20,0,21
2023-10-15,23,29,0,0
2023-10-22,36,30,0,13
2023-10-29,20,27,0,0
2023-11-05,23,25,0,0
2023-11-12,33,37,0,0
