Kategorie: Alle Kategorien

Woche,Influenza: (Nidwalden),influenza: (Nidwalden),Grippe: (Nidwalden),Flu: (Nidwalden)
2022-11-27,0,0,47,0
2022-12-04,0,0,0,28
2022-12-11,0,25,44,0
2022-12-18,36,0,0,0
2022-12-25,46,0,0,0
2023-01-01,22,25,0,38
2023-01-08,24,0,0,0
2023-01-15,34,0,0,33
2023-01-22,0,0,32,29
2023-01-29,0,0,0,0
2023-02-05,54,19,90,0
2023-02-12,37,0,85,0
2023-02-19,0,51,63,62
2023-02-26,37,0,35,0
2023-03-05,25,0,24,0
2023-03-12,0,32,0,0
2023-03-19,0,0,41,0
2023-03-26,0,0,0,0
2023-04-02,0,0,61,0
2023-04-09,0,0,0,0
2023-04-16,40,20,30,29
2023-04-23,0,0,0,0
2023-04-30,0,0,0,0
2023-05-07,0,24,0,0
2023-05-14,0,0,0,0
2023-05-21,0,0,0,0
2023-05-28,0,0,0,37
2023-06-04,0,0,0,0
2023-06-11,0,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,0,0,0,23
2023-07-09,0,0,0,0
2023-07-16,46,57,0,0
2023-07-23,0,23,0,0
2023-07-30,0,0,0,0
2023-08-06,0,0,0,0
2023-08-13,43,0,45,0
2023-08-20,0,0,0,0
2023-08-27,34,0,0,100
2023-09-03,0,0,0,0
2023-09-10,0,0,0,57
2023-09-17,0,0,21,0
2023-09-24,0,0,0,0
2023-10-01,0,51,0,31
2023-10-08,0,0,0,0
2023-10-15,0,0,0,0
2023-10-22,0,0,0,90
2023-10-29,0,0,0,0
2023-11-05,0,0,53,0
2023-11-12,23,0,0,0
