Kategorie: Alle Kategorien

Woche,husten: (Nidwalden),Fieber: (Nidwalden),fièvre: (Nidwalden),toux: (Nidwalden)
2022-11-06,39,0,0,0
2022-11-13,0,28,0,0
2022-11-20,77,100,0,0
2022-11-27,0,0,0,0
2022-12-04,37,31,0,0
2022-12-11,0,0,0,0
2022-12-18,0,56,0,0
2022-12-25,31,0,0,0
2023-01-01,89,27,0,0
2023-01-08,32,47,0,0
2023-01-15,0,0,0,0
2023-01-22,16,0,0,0
2023-01-29,27,0,0,0
2023-02-05,0,15,0,0
2023-02-12,0,51,0,0
2023-02-19,0,0,0,0
2023-02-26,0,0,0,0
2023-03-05,42,28,0,0
2023-03-12,38,0,0,0
2023-03-19,0,17,0,0
2023-03-26,30,20,0,0
2023-04-02,24,17,0,0
2023-04-09,0,18,0,0
2023-04-16,37,19,0,0
2023-04-23,0,0,0,0
2023-04-30,0,0,0,0
2023-05-07,0,0,0,0
2023-05-14,0,0,0,0
2023-05-21,0,0,0,0
2023-05-28,0,0,0,0
2023-06-04,26,0,0,0
2023-06-11,0,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,0,43,0,0
2023-07-09,29,0,0,0
2023-07-16,0,0,0,0
2023-07-23,0,0,0,0
2023-07-30,0,0,0,0
2023-08-06,46,39,0,0
2023-08-13,21,23,0,0
2023-08-20,0,47,0,0
2023-08-27,0,0,0,0
2023-09-03,0,0,0,0
2023-09-10,0,16,0,0
2023-09-17,0,0,0,0
2023-09-24,0,0,0,0
2023-10-01,0,0,0,0
2023-10-08,0,0,0,0
2023-10-15,0,0,0,0
2023-10-22,30,0,0,0
2023-10-29,0,37,0,0
2023-11-05,0,0,0,0
2023-11-12,26,0,0,0
