Kategorie: Alle Kategorien

Woche,Influenza: (Obwalden),influenza: (Obwalden),Grippe: (Obwalden),Flu: (Obwalden)
2022-11-27,34,21,0,26
2022-12-04,19,0,25,0
2022-12-11,71,0,0,0
2022-12-18,0,0,0,0
2022-12-25,0,0,0,0
2023-01-01,55,0,0,0
2023-01-08,45,0,0,0
2023-01-15,21,0,0,0
2023-01-22,0,0,0,0
2023-01-29,32,0,0,0
2023-02-05,0,0,0,0
2023-02-12,0,0,0,0
2023-02-19,41,0,0,0
2023-02-26,0,0,67,0
2023-03-05,0,0,29,0
2023-03-12,0,0,0,0
2023-03-19,26,0,26,0
2023-03-26,0,0,0,42
2023-04-02,42,0,0,0
2023-04-09,0,0,0,0
2023-04-16,19,0,0,0
2023-04-23,0,0,17,0
2023-04-30,0,0,0,0
2023-05-07,0,0,0,0
2023-05-14,0,0,0,0
2023-05-21,0,0,36,0
2023-05-28,0,100,32,0
2023-06-04,0,0,22,0
2023-06-11,0,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,24,0,33,0
2023-07-09,0,0,29,0
2023-07-16,0,21,0,18
2023-07-23,0,34,0,0
2023-07-30,0,0,0,0
2023-08-06,23,0,45,0
2023-08-13,19,0,0,30
2023-08-20,0,0,24,0
2023-08-27,0,30,0,0
2023-09-03,0,0,0,17
2023-09-10,0,0,0,0
2023-09-17,60,0,0,0
2023-09-24,0,0,0,0
2023-10-01,0,0,0,0
2023-10-08,0,0,69,0
2023-10-15,0,16,19,0
2023-10-22,38,0,0,0
2023-10-29,22,0,19,0
2023-11-05,0,0,50,0
2023-11-12,0,0,17,0
