Kategorie: Alle Kategorien

Woche,Influenza: (Sankt Gallen),influenza: (Sankt Gallen),Grippe: (Sankt Gallen),Flu: (Sankt Gallen)
2022-11-27,25,0,23,0
2022-12-04,32,9,16,0
2022-12-11,49,0,58,15
2022-12-18,100,10,63,0
2022-12-25,82,37,90,0
2023-01-01,56,24,37,13
2023-01-08,35,6,29,12
2023-01-15,22,9,37,10
2023-01-22,22,0,36,0
2023-01-29,32,0,36,16
2023-02-05,24,0,27,0
2023-02-12,31,0,34,0
2023-02-19,38,7,43,8
2023-02-26,44,6,26,8
2023-03-05,50,8,45,0
2023-03-12,68,16,31,0
2023-03-19,36,0,51,10
2023-03-26,26,7,33,0
2023-04-02,28,8,17,0
2023-04-09,37,0,21,0
2023-04-16,12,0,8,10
2023-04-23,34,0,33,0
2023-04-30,32,18,20,0
2023-05-07,15,0,15,0
2023-05-14,14,0,0,11
2023-05-21,23,0,9,10
2023-05-28,0,0,9,7
2023-06-04,12,0,0,0
2023-06-11,21,0,55,0
2023-06-18,20,0,0,0
2023-06-25,21,0,26,0
2023-07-02,18,0,0,19
2023-07-09,20,0,11,17
2023-07-16,17,0,13,11
2023-07-23,14,0,10,0
2023-07-30,0,0,11,0
2023-08-06,18,0,28,0
2023-08-13,0,0,7,0
2023-08-20,10,0,0,9
2023-08-27,11,0,20,0
2023-09-03,19,0,12,0
2023-09-10,31,7,26,7
2023-09-17,25,26,23,0
2023-09-24,18,20,16,0
2023-10-01,11,0,14,0
2023-10-08,25,0,18,11
2023-10-15,15,0,30,12
2023-10-22,31,15,32,0
2023-10-29,54,0,15,0
2023-11-05,56,0,40,0
2023-11-12,37,13,30,0
