Kategorie: Alle Kategorien

Woche,husten: (Sankt Gallen),Fieber: (Sankt Gallen),fièvre: (Sankt Gallen),toux: (Sankt Gallen)
2022-11-06,34,49,0,12
2022-11-13,36,39,0,0
2022-11-20,57,47,0,0
2022-11-27,37,49,0,0
2022-12-04,69,78,0,16
2022-12-11,80,61,0,0
2022-12-18,58,98,0,0
2022-12-25,90,95,0,0
2023-01-01,68,76,0,0
2023-01-08,45,49,0,0
2023-01-15,40,46,0,0
2023-01-22,35,56,0,0
2023-01-29,42,33,0,0
2023-02-05,45,47,0,0
2023-02-12,22,58,0,0
2023-02-19,75,100,0,0
2023-02-26,63,80,0,0
2023-03-05,57,74,0,0
2023-03-12,57,47,0,12
2023-03-19,42,55,0,0
2023-03-26,45,59,0,0
2023-04-02,18,71,0,0
2023-04-09,18,54,0,0
2023-04-16,27,42,0,0
2023-04-23,21,50,0,0
2023-04-30,45,43,0,0
2023-05-07,21,36,0,0
2023-05-14,24,50,0,0
2023-05-21,18,58,0,0
2023-05-28,39,44,0,17
2023-06-04,6,20,0,0
2023-06-11,13,54,0,0
2023-06-18,0,34,0,0
2023-06-25,19,35,0,0
2023-07-02,9,25,0,0
2023-07-09,27,30,0,13
2023-07-16,28,48,0,0
2023-07-23,19,20,0,17
2023-07-30,9,35,0,10
2023-08-06,15,15,0,0
2023-08-13,10,29,0,0
2023-08-20,35,32,0,0
2023-08-27,16,45,0,15
2023-09-03,27,49,0,0
2023-09-10,0,50,0,0
2023-09-17,36,41,0,0
2023-09-24,37,41,0,21
2023-10-01,32,45,0,0
2023-10-08,17,78,0,0
2023-10-15,43,63,0,0
2023-10-22,60,54,0,0
2023-10-29,32,54,0,0
2023-11-05,21,52,0,0
2023-11-12,28,50,0,0
