Kategorie: Alle Kategorien

Woche,husten: (Schaffhausen),Fieber: (Schaffhausen),fièvre: (Schaffhausen),toux: (Schaffhausen)
2022-11-06,0,100,0,0
2022-11-13,18,23,0,0
2022-11-20,35,0,0,0
2022-11-27,34,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,62,0,0
2022-12-18,25,0,0,0
2022-12-25,54,0,0,0
2023-01-01,0,0,0,0
2023-01-08,17,32,0,0
2023-01-15,0,0,0,0
2023-01-22,0,46,0,0
2023-01-29,0,0,0,0
2023-02-05,0,22,0,0
2023-02-12,0,21,0,0
2023-02-19,0,0,0,0
2023-02-26,0,25,0,0
2023-03-05,37,0,0,0
2023-03-12,0,48,0,0
2023-03-19,0,40,0,0
2023-03-26,0,0,0,0
2023-04-02,80,35,0,0
2023-04-09,19,36,0,0
2023-04-16,0,0,0,0
2023-04-23,0,0,0,0
2023-04-30,0,42,0,0
2023-05-07,0,0,0,0
2023-05-14,30,0,0,0
2023-05-21,0,57,0,0
2023-05-28,0,35,0,0
2023-06-04,0,24,0,0
2023-06-11,43,38,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,59,0,0,0
2023-07-09,46,20,0,0
2023-07-16,46,30,0,0
2023-07-23,0,26,0,0
2023-07-30,0,0,0,0
2023-08-06,36,23,0,0
2023-08-13,0,0,0,0
2023-08-20,0,0,0,0
2023-08-27,0,0,0,0
2023-09-03,91,0,0,0
2023-09-10,0,0,0,0
2023-09-17,39,0,0,0
2023-09-24,0,0,0,0
2023-10-01,30,0,0,0
2023-10-08,0,0,0,0
2023-10-15,35,0,0,0
2023-10-22,0,20,0,0
2023-10-29,36,0,0,0
2023-11-05,0,37,0,0
2023-11-12,52,0,0,0
