Kategorie: Alle Kategorien

Woche,Influenza: (Schwyz),influenza: (Schwyz),Grippe: (Schwyz),Flu: (Schwyz)
2022-11-27,0,0,0,27
2022-12-04,0,0,37,21
2022-12-11,27,0,26,17
2022-12-18,61,24,58,0
2022-12-25,58,0,53,0
2023-01-01,100,0,81,0
2023-01-08,17,24,57,0
2023-01-15,0,0,20,0
2023-01-22,0,0,0,0
2023-01-29,18,0,33,0
2023-02-05,0,0,0,0
2023-02-12,70,0,33,0
2023-02-19,40,19,83,0
2023-02-26,51,39,79,0
2023-03-05,39,0,62,0
2023-03-12,0,41,0,0
2023-03-19,53,0,36,0
2023-03-26,35,0,0,0
2023-04-02,28,0,22,17
2023-04-09,0,36,0,0
2023-04-16,22,0,25,0
2023-04-23,16,0,0,0
2023-04-30,0,0,0,58
2023-05-07,0,0,0,50
2023-05-14,18,0,0,0
2023-05-21,0,0,0,0
2023-05-28,0,18,0,46
2023-06-04,0,0,25,23
2023-06-11,57,50,49,0
2023-06-18,16,0,0,0
2023-06-25,20,27,17,32
2023-07-02,17,0,0,0
2023-07-09,0,0,0,53
2023-07-16,26,0,0,0
2023-07-23,0,0,0,0
2023-07-30,0,0,0,0
2023-08-06,30,27,31,69
2023-08-13,0,0,0,0
2023-08-20,0,0,0,21
2023-08-27,0,0,0,0
2023-09-03,0,0,0,0
2023-09-10,36,0,0,0
2023-09-17,0,0,33,0
2023-09-24,19,0,24,0
2023-10-01,0,0,0,0
2023-10-08,0,0,0,0
2023-10-15,41,26,0,39
2023-10-22,29,31,18,0
2023-10-29,44,29,0,0
2023-11-05,64,0,0,0
2023-11-12,53,39,35,0
