Kategorie: Alle Kategorien

Woche,husten: (Schwyz),Fieber: (Schwyz),fièvre: (Schwyz),toux: (Schwyz)
2022-11-06,16,31,0,0
2022-11-13,67,0,0,0
2022-11-20,31,0,0,0
2022-11-27,40,60,0,0
2022-12-04,16,28,0,0
2022-12-11,54,52,0,0
2022-12-18,0,34,0,0
2022-12-25,0,100,0,0
2023-01-01,48,43,0,0
2023-01-08,0,23,0,0
2023-01-15,45,24,0,0
2023-01-22,43,41,0,0
2023-01-29,24,58,0,0
2023-02-05,32,33,0,0
2023-02-12,71,75,0,0
2023-02-19,18,46,0,0
2023-02-26,14,43,0,0
2023-03-05,22,60,0,0
2023-03-12,0,41,0,0
2023-03-19,62,59,0,0
2023-03-26,15,79,0,0
2023-04-02,0,60,0,0
2023-04-09,36,34,0,0
2023-04-16,41,28,0,0
2023-04-23,0,0,0,0
2023-04-30,0,63,0,0
2023-05-07,0,0,0,0
2023-05-14,32,0,0,0
2023-05-21,21,55,0,0
2023-05-28,0,0,0,0
2023-06-04,0,0,0,0
2023-06-11,16,0,0,0
2023-06-18,91,61,0,0
2023-06-25,39,30,0,0
2023-07-02,49,0,0,0
2023-07-09,0,23,0,0
2023-07-16,0,0,0,0
2023-07-23,0,0,0,0
2023-07-30,0,19,0,0
2023-08-06,27,45,0,0
2023-08-13,28,20,0,0
2023-08-20,25,0,0,0
2023-08-27,0,41,0,0
2023-09-03,0,73,0,0
2023-09-10,30,20,0,0
2023-09-17,23,57,0,0
2023-09-24,0,0,0,0
2023-10-01,33,19,0,0
2023-10-08,0,55,0,0
2023-10-15,39,53,0,0
2023-10-22,52,0,0,0
2023-10-29,0,0,0,0
2023-11-05,39,0,0,0
2023-11-12,29,0,0,0
