Kategorie: Alle Kategorien

Woche,Influenza: (Tessin),influenza: (Tessin),Grippe: (Tessin),Flu: (Tessin)
2022-11-27,38,40,0,6
2022-12-04,55,50,0,0
2022-12-11,71,46,8,0
2022-12-18,97,72,14,14
2022-12-25,100,74,0,0
2023-01-01,49,33,0,0
2023-01-08,43,45,0,15
2023-01-15,12,18,0,6
2023-01-22,27,13,0,7
2023-01-29,27,22,0,10
2023-02-05,40,42,0,0
2023-02-12,33,48,9,6
2023-02-19,55,21,0,0
2023-02-26,38,0,0,7
2023-03-05,35,19,9,17
2023-03-12,48,27,10,9
2023-03-19,29,32,6,7
2023-03-26,13,0,0,7
2023-04-02,21,0,0,0
2023-04-09,30,16,0,7
2023-04-16,21,0,0,0
2023-04-23,12,9,13,6
2023-04-30,12,0,0,0
2023-05-07,20,12,11,8
2023-05-14,14,9,0,0
2023-05-21,9,17,0,13
2023-05-28,17,0,0,0
2023-06-04,0,19,0,0
2023-06-11,0,0,0,0
2023-06-18,0,0,0,0
2023-06-25,15,11,0,0
2023-07-02,7,12,0,0
2023-07-09,0,16,15,0
2023-07-16,7,9,0,0
2023-07-23,21,9,12,0
2023-07-30,6,7,8,0
2023-08-06,17,8,0,0
2023-08-13,0,0,9,0
2023-08-20,10,10,0,0
2023-08-27,13,0,0,8
2023-09-03,0,12,0,0
2023-09-10,13,0,0,0
2023-09-17,25,26,6,10
2023-09-24,21,0,0,0
2023-10-01,18,15,0,0
2023-10-08,15,6,0,8
2023-10-15,32,16,0,0
2023-10-22,19,13,0,0
2023-10-29,26,9,0,0
2023-11-05,22,17,0,0
2023-11-12,41,24,8,0
