Kategorie: Alle Kategorien

Woche,husten: (Tessin),Fieber: (Tessin),fièvre: (Tessin),toux: (Tessin)
2022-11-06,28,0,0,0
2022-11-13,21,0,0,0
2022-11-20,64,0,0,18
2022-11-27,41,39,0,0
2022-12-04,28,32,0,0
2022-12-11,44,0,0,0
2022-12-18,0,0,0,0
2022-12-25,0,70,0,0
2023-01-01,0,28,0,0
2023-01-08,26,0,0,33
2023-01-15,0,0,0,0
2023-01-22,0,24,0,18
2023-01-29,0,0,0,0
2023-02-05,0,0,0,20
2023-02-12,0,0,0,0
2023-02-19,0,0,0,0
2023-02-26,64,0,0,38
2023-03-05,34,72,0,0
2023-03-12,0,68,0,0
2023-03-19,0,0,0,0
2023-03-26,0,0,0,0
2023-04-02,0,67,0,0
2023-04-09,29,0,0,43
2023-04-16,0,0,0,30
2023-04-23,49,0,0,0
2023-04-30,0,49,0,23
2023-05-07,40,0,0,0
2023-05-14,0,40,0,0
2023-05-21,0,67,0,0
2023-05-28,0,0,0,0
2023-06-04,29,0,0,0
2023-06-11,19,0,0,18
2023-06-18,54,20,0,20
2023-06-25,0,0,0,0
2023-07-02,0,0,0,0
2023-07-09,0,0,0,0
2023-07-16,0,23,0,0
2023-07-23,0,27,0,0
2023-07-30,44,25,0,0
2023-08-06,52,0,0,0
2023-08-13,0,0,0,34
2023-08-20,0,21,0,0
2023-08-27,0,0,0,0
2023-09-03,0,0,0,32
2023-09-10,0,0,0,0
2023-09-17,50,0,0,0
2023-09-24,19,29,0,0
2023-10-01,0,0,0,18
2023-10-08,25,0,0,0
2023-10-15,29,0,0,0
2023-10-22,0,18,0,0
2023-10-29,0,26,0,100
2023-11-05,0,26,0,0
2023-11-12,0,46,0,0
