Kategorie: Alle Kategorien

Woche,Influenza: (Uri),influenza: (Uri),Grippe: (Uri),Flu: (Uri)
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,24,0,0,0
2022-12-18,21,0,0,0
2022-12-25,0,0,23,0
2023-01-01,0,0,32,0
2023-01-08,0,0,0,0
2023-01-15,0,0,0,0
2023-01-22,0,23,0,0
2023-01-29,0,16,0,0
2023-02-05,0,0,0,0
2023-02-12,0,27,17,0
2023-02-19,0,26,0,0
2023-02-26,0,0,0,0
2023-03-05,41,0,21,0
2023-03-12,0,0,25,0
2023-03-19,0,0,0,0
2023-03-26,0,0,0,0
2023-04-02,0,0,50,0
2023-04-09,19,0,0,0
2023-04-16,0,23,0,0
2023-04-23,0,0,0,0
2023-04-30,0,0,0,0
2023-05-07,0,0,0,0
2023-05-14,19,25,0,0
2023-05-21,0,0,0,0
2023-05-28,29,50,0,0
2023-06-04,0,0,53,0
2023-06-11,68,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,0,0,24,0
2023-07-09,23,0,21,0
2023-07-16,0,0,0,0
2023-07-23,0,0,0,0
2023-07-30,0,0,19,0
2023-08-06,0,0,0,0
2023-08-13,0,0,100,0
2023-08-20,59,0,17,0
2023-08-27,0,0,0,0
2023-09-03,0,45,0,0
2023-09-10,0,0,0,0
2023-09-17,0,0,0,0
2023-09-24,0,19,0,0
2023-10-01,0,45,23,0
2023-10-08,0,0,0,0
2023-10-15,0,0,0,0
2023-10-22,24,0,0,0
2023-10-29,0,0,0,0
2023-11-05,0,0,0,0
2023-11-12,0,0,0,0
