Kategorie: Alle Kategorien

Woche,Influenza: (Wallis),influenza: (Wallis),Grippe: (Wallis),Flu: (Wallis)
2022-11-27,42,7,30,10
2022-12-04,26,0,0,7
2022-12-11,54,17,37,9
2022-12-18,51,0,28,13
2022-12-25,100,6,70,0
2023-01-01,57,6,44,16
2023-01-08,34,0,9,8
2023-01-15,14,0,0,0
2023-01-22,18,9,15,8
2023-01-29,27,0,13,0
2023-02-05,34,0,29,6
2023-02-12,44,0,34,0
2023-02-19,62,7,30,0
2023-02-26,26,0,19,0
2023-03-05,28,0,18,0
2023-03-12,9,0,10,0
2023-03-19,22,0,14,0
2023-03-26,35,6,10,0
2023-04-02,9,0,12,11
2023-04-09,0,12,0,0
2023-04-16,9,0,13,0
2023-04-23,12,0,0,0
2023-04-30,14,0,7,0
2023-05-07,17,0,0,12
2023-05-14,0,0,0,0
2023-05-21,0,0,0,22
2023-05-28,6,0,0,0
2023-06-04,8,0,9,0
2023-06-11,9,22,7,0
2023-06-18,0,0,12,7
2023-06-25,0,0,9,0
2023-07-02,0,0,0,10
2023-07-09,0,0,0,0
2023-07-16,13,10,0,0
2023-07-23,0,0,7,0
2023-07-30,35,0,12,0
2023-08-06,14,7,0,0
2023-08-13,11,0,6,0
2023-08-20,13,0,0,14
2023-08-27,14,0,13,0
2023-09-03,7,10,8,0
2023-09-10,9,0,20,0
2023-09-17,0,12,8,10
2023-09-24,0,0,23,0
2023-10-01,35,0,17,9
2023-10-08,0,0,20,0
2023-10-15,17,0,0,10
2023-10-22,28,0,18,0
2023-10-29,0,0,0,0
2023-11-05,21,10,23,0
2023-11-12,40,0,26,0
