Kategorie: Alle Kategorien

Woche,Influenza: (Zug),influenza: (Zug),Grippe: (Zug),Flu: (Zug)
2022-11-27,0,8,17,0
2022-12-04,0,0,17,0
2022-12-11,23,0,36,42
2022-12-18,54,0,15,14
2022-12-25,53,18,25,0
2023-01-01,100,0,27,21
2023-01-08,65,19,9,0
2023-01-15,18,0,0,0
2023-01-22,0,41,0,0
2023-01-29,0,0,20,0
2023-02-05,17,0,0,0
2023-02-12,0,0,0,16
2023-02-19,11,0,16,0
2023-02-26,13,0,18,0
2023-03-05,27,0,27,0
2023-03-12,15,0,11,0
2023-03-19,41,0,25,0
2023-03-26,22,0,0,0
2023-04-02,0,0,0,9
2023-04-09,0,0,0,0
2023-04-16,13,0,0,0
2023-04-23,0,15,53,0
2023-04-30,20,0,14,0
2023-05-07,12,0,17,27
2023-05-14,15,0,0,0
2023-05-21,0,0,0,11
2023-05-28,0,0,36,16
2023-06-04,0,0,0,0
2023-06-11,12,15,0,0
2023-06-18,0,0,12,0
2023-06-25,27,0,0,0
2023-07-02,0,25,0,0
2023-07-09,18,0,0,0
2023-07-16,21,14,0,15
2023-07-23,26,0,0,11
2023-07-30,0,0,21,0
2023-08-06,0,0,11,0
2023-08-13,0,0,0,0
2023-08-20,0,0,9,0
2023-08-27,0,0,0,0
2023-09-03,29,0,25,0
2023-09-10,9,0,0,0
2023-09-17,0,0,15,19
2023-09-24,14,19,0,0
2023-10-01,0,16,0,13
2023-10-08,0,0,0,0
2023-10-15,17,0,0,0
2023-10-22,11,0,11,0
2023-10-29,0,0,9,0
2023-11-05,0,10,15,0
2023-11-12,0,0,20,0
