Kategorie: Alle Kategorien

Woche,husten: (Zürich),Fieber: (Zürich),fièvre: (Zürich),toux: (Zürich)
2022-11-06,41,47,0,0
2022-11-13,44,42,0,0
2022-11-20,39,39,0,2
2022-11-27,46,55,0,2
2022-12-04,62,61,0,0
2022-12-11,69,89,0,2
2022-12-18,84,90,0,2
2022-12-25,80,100,0,4
2023-01-01,52,54,0,0
2023-01-08,45,41,3,0
2023-01-15,31,48,0,2
2023-01-22,28,44,0,0
2023-01-29,34,47,0,0
2023-02-05,42,50,0,0
2023-02-12,35,58,3,4
2023-02-19,35,62,0,2
2023-02-26,39,56,0,0
2023-03-05,43,49,0,3
2023-03-12,23,49,2,3
2023-03-19,27,57,2,0
2023-03-26,28,50,4,0
2023-04-02,31,43,4,0
2023-04-09,31,42,0,3
2023-04-16,27,39,2,2
2023-04-23,21,35,0,0
2023-04-30,16,38,2,4
2023-05-07,22,36,0,3
2023-05-14,23,39,0,0
2023-05-21,22,28,0,0
2023-05-28,31,31,6,0
2023-06-04,25,29,0,3
2023-06-11,18,35,0,3
2023-06-18,22,38,0,0
2023-06-25,23,39,0,0
2023-07-02,16,41,0,0
2023-07-09,15,30,0,0
2023-07-16,14,38,0,4
2023-07-23,22,40,2,2
2023-07-30,20,34,0,0
2023-08-06,25,27,0,0
2023-08-13,18,32,0,0
2023-08-20,24,46,0,0
2023-08-27,27,36,0,0
2023-09-03,26,36,4,0
2023-09-10,23,68,3,0
2023-09-17,19,42,0,0
2023-09-24,27,33,0,0
2023-10-01,25,43,0,0
2023-10-08,45,37,3,4
2023-10-15,24,38,0,0
2023-10-22,30,46,0,0
2023-10-29,30,47,2,4
2023-11-05,36,48,0,2
2023-11-12,48,47,3,0
