Category: All categories

Week,grippe: (Switzerland)
2022-04-03,26
2022-04-10,26
2022-04-17,17
2022-04-24,20
2022-05-01,15
2022-05-08,16
2022-05-15,15
2022-05-22,15
2022-05-29,17
2022-06-05,14
2022-06-12,14
2022-06-19,11
2022-06-26,15
2022-07-03,14
2022-07-10,17
2022-07-17,17
2022-07-24,19
2022-07-31,12
2022-08-07,15
2022-08-14,11
2022-08-21,17
2022-08-28,18
2022-09-04,16
2022-09-11,20
2022-09-18,24
2022-09-25,24
2022-10-02,26
2022-10-09,29
2022-10-16,26
2022-10-23,25
2022-10-30,25
2022-11-06,29
2022-11-13,31
2022-11-20,30
2022-11-27,35
2022-12-04,40
2022-12-11,64
2022-12-18,100
2022-12-25,98
2023-01-01,66
2023-01-08,40
2023-01-15,31
2023-01-22,31
2023-01-29,36
2023-02-05,40
2023-02-12,41
2023-02-19,47
2023-02-26,44
2023-03-05,44
2023-03-12,35
2023-03-19,30
2023-03-26,28
2023-04-02,25
2023-04-09,22
2023-04-16,21
2023-04-23,16
2023-04-30,18
2023-05-07,15
2023-05-14,15
2023-05-21,13
2023-05-28,11
2023-06-04,11
2023-06-11,12
2023-06-18,11
2023-06-25,11
2023-07-02,11
2023-07-09,12
2023-07-16,12
2023-07-23,12
2023-07-30,6
2023-08-06,14
2023-08-13,15
2023-08-20,10
2023-08-27,19
2023-09-03,19
2023-09-10,18
2023-09-17,22
2023-09-24,19
2023-10-01,21
2023-10-08,21
2023-10-15,28
2023-10-22,27
2023-10-29,35
2023-11-05,45
2023-11-12,40
