 

stn;time;fu3010d1;tre200dx;tre200dn;tre200d0;rka150d0;ure200dx;ure200dn;ure200d0;sre000d0;fu3010d0
BAS;20130101;25.2;6.7;0.1;3.5;2.0;95.6;78.2;87.5;0;6.8
BAS;20130102;27.0;6.2;-0.9;3.0;0.0;92.8;61.4;81.1;212;5.0
BAS;20130103;19.8;5.2;-2.4;2.2;0.2;96.2;74.3;85.2;51;5.8
BAS;20130104;15.5;9.3;4.1;7.0;0.0;89.7;79.1;84.5;13;3.2
BAS;20130105;29.2;8.0;5.7;7.0;0.0;88.8;78.1;83.2;0;7.2
BAS;20130106;18.7;6.1;2.4;5.0;0.0;93.8;78.8;85.7;0;5.0
BAS;20130107;24.5;6.4;1.3;3.8;0.0;94.0;76.8;86.6;42;6.8
BAS;20130108;14.4;2.3;-0.6;1.0;0.0;97.0;84.4;90.4;0;4.7
BAS;20130109;15.1;1.2;-0.8;0.3;0.0;93.7;83.5;89.1;0;4.0
BAS;20130110;13.3;3.0;0.6;1.9;8.3;97.4;88.5;93.4;0;3.2
BAS;20130111;20.5;4.1;1.4;2.6;8.5;96.2;77.0;89.1;0;5.0
BAS;20130112;23.4;5.8;0.0;2.2;0.0;99.0;54.3;81.3;269;5.0
BAS;20130113;12.2;0.7;-1.2;-0.2;0.5;98.9;90.2;93.9;0;4.7
BAS;20130114;12.2;-0.5;-1.5;-1.1;1.2;95.3;82.4;90.9;0;3.2
BAS;20130115;30.2;1.0;-2.3;-0.4;1.1;94.0;76.4;86.5;0;4.7
BAS;20130116;45.0;-0.3;-5.0;-2.6;0.0;81.8;50.7;68.9;244;7.6
BAS;20130117;17.3;-3.2;-4.9;-4.0;3.2;91.2;64.9;84.1;0;5.4
BAS;20130118;36.4;-1.7;-7.7;-3.8;0.0;90.7;61.2;75.0;317;9.0
BAS;20130119;40.3;-0.6;-4.5;-2.4;7.1;95.6;68.2;83.9;0;11.2
BAS;20130120;20.5;1.0;-2.1;-0.7;0.3;96.3;82.7;91.3;0;4.7
BAS;20130121;24.5;1.7;-1.4;0.1;0.4;94.6;74.8;86.8;44;6.5
BAS;20130122;37.4;4.3;-0.9;1.5;0.0;91.8;61.3;80.4;116;6.8
BAS;20130123;20.5;-0.6;-4.6;-1.7;0.0;98.4;84.9;92.2;94;4.7
BAS;20130124;17.6;-0.6;-3.0;-1.5;0.0;96.6;85.8;91.6;0;5.4
BAS;20130125;20.9;-2.4;-3.3;-2.9;0.0;89.7;69.1;80.8;0;5.0
BAS;20130126;29.9;0.6;-4.3;-1.8;0.0;84.4;60.8;72.3;375;7.6
BAS;20130127;19.4;3.0;-3.3;0.5;1.9;96.3;62.7;78.3;53;4.3
BAS;20130128;19.1;7.2;1.2;3.3;2.8;96.8;70.7;88.2;289;4.7
BAS;20130129;40.7;10.4;1.4;7.5;0.6;92.7;56.5;73.9;0;10.1
BAS;20130130;63.0;16.6;6.7;12.8;4.2;90.5;52.5;70.4;8;18.0
BAS;20130131;52.2;12.3;4.6;9.1;0.1;84.9;35.2;64.5;212;12.6
BAS;20130201;60.1;12.3;6.4;9.2;19.6;94.8;61.3;79.4;0;13.0
BAS;20130202;53.3;8.3;0.3;3.6;13.5;94.9;66.6;84.4;8;9.0
BAS;20130203;34.9;4.2;0.2;1.8;0.2;88.0;54.9;73.6;106;10.1
BAS;20130204;40.7;8.6;0.1;4.5;5.6;96.9;57.0;82.9;0;10.8
BAS;20130205;76.3;8.2;0.4;4.6;10.1;95.3;54.4;80.7;104;15.8
