Kanton,Jahr,BIP in Millionen CHF
Zürich,2013,141721.61363
Bern,2013,77331.58119
Luzern,2013,25484.10177
Uri,2013,1863.60522
Schwyz,2013,8892.66258
Obwalden,2013,2374.13494
Nidwalden,2013,2883.26636
Glarus,2013,2680.91856
Zug,2013,18924.06281
Freiburg,2013,17652.88442
Solothurn,2013,17296.25571
Basel-Stadt,2013,31234.56476
Basel-Landschaft,2013,19331.3215
Schaffhausen,2013,6869.04239
Appenzell A.Rh.,2013,3054.05788
Appenzell I.Rh.,2013,945.20532
St.Gallen,2013,36288.93775
Graubünden,2013,14028.60654
Aargau,2013,41229.16645
Thurgau,2013,15945.20579
Tessin,2013,29063.33517
Waadt,2013,52299.55179
Wallis,2013,17516.49364
Neuenburg,2013,14896.88845
Genf,2013,50196.61483
Jura,2013,4607.58952
Schweiz,2013,654611.66897
Zürich,2014,144486.87809
Bern,2014,78705.81482
Luzern,2014,26004.33257
Uri,2014,1873.05108
Schwyz,2014,9017.99038
Obwalden,2014,2383.1599
Nidwalden,2014,2965.14912
Glarus,2014,2719.52508
Zug,2014,18298.46872
Freiburg,2014,18139.40988
Solothurn,2014,17571.80308
Basel-Stadt,2014,32096.51533
Basel-Landschaft,2014,19948.28137
Schaffhausen,2014,6801.57409
Appenzell A.Rh.,2014,3099.52196
Appenzell I.Rh.,2014,985.1826
St.Gallen,2014,36885.12328
Graubünden,2014,14125.80718
Aargau,2014,41857.04587
Thurgau,2014,16185.60854
Tessin,2014,29652.67872
Waadt,2014,53909.83693
Wallis,2014,17655.22555
Neuenburg,2014,15186.94772
Genf,2014,50311.47867
Jura,2014,4751.96395
Schweiz,2014,665618.37447
Zürich,2015,144642.66345
Bern,2015,78524.05539
Luzern,2015,26331.17943
Uri,2015,1884.67324
Schwyz,2015,9249.8374
Obwalden,2015,2419.2417
Nidwalden,2015,3177.9151
Glarus,2015,2736.19469
Zug,2015,19243.19179
Freiburg,2015,18257.69489
Solothurn,2015,17665.54196
Basel-Stadt,2015,32764.38987
Basel-Landschaft,2015,20327.19358
Schaffhausen,2015,6756.54773
Appenzell A.Rh.,2015,3127.70844
Appenzell I.Rh.,2015,992.23428
St.Gallen,2015,36676.13352
Graubünden,2015,14011.72557
Aargau,2015,41592.75056
Thurgau,2015,16060.14618
Tessin,2015,29622.96882
Waadt,2015,53575.37049
Wallis,2015,18196.04959
Neuenburg,2015,15463.35493
Genf,2015,50042.25798
Jura,2015,4665.36113
Schweiz,2015,668006.3817
Zürich,2016,146281.06094
Bern,2016,78336.78608
Luzern,2016,26794.83088
Uri,2016,1895.97625
Schwyz,2016,9313.17952
Obwalden,2016,2476.0583
Nidwalden,2016,3064.19211
Glarus,2016,2718.89978
Zug,2016,19574.98598
Freiburg,2016,18289.33394
Solothurn,2016,17665.91637
Basel-Stadt,2016,35204.04437
Basel-Landschaft,2016,20435.72932
Schaffhausen,2016,6827.35345
Appenzell A.Rh.,2016,3147.8499
Appenzell I.Rh.,2016,1008.6843
St.Gallen,2016,37105.30738
Graubünden,2016,14100.51146
Aargau,2016,42131.70882
Thurgau,2016,16406.11052
Tessin,2016,29563.90365
Waadt,2016,57009.94537
Wallis,2016,18301.80897
Neuenburg,2016,15173.90412
Genf,2016,50364.83604
Jura,2016,4655.41274
Schweiz,2016,677848.33056
Zürich,2017,148710.70989
Bern,2017,78903.20877
Luzern,2017,27243.27993
Uri,2017,1932.22382
Schwyz,2017,9514.90326
Obwalden,2017,2495.06168
Nidwalden,2017,3026.83834
Glarus,2017,2828.80873
Zug,2017,19100.19345
Freiburg,2017,18627.22945
Solothurn,2017,17888.23339
Basel-Stadt,2017,36876.2111
Basel-Landschaft,2017,20728.94502
Schaffhausen,2017,6913.34758
Appenzell A.Rh.,2017,3112.6167
Appenzell I.Rh.,2017,1002.78446
St.Gallen,2017,37438.98271
Graubünden,2017,14131.66518
Aargau,2017,42758.50104
Thurgau,2017,16540.74113
Tessin,2017,29284.94673
Waadt,2017,55195.67504
Wallis,2017,18535.8271
Neuenburg,2017,15552.72609
Genf,2017,51443.49671
Jura,2017,4771.31017
