Kanton,Jahr,BIP Growth Laufende Preise
Zürich,2013,1.13121
Bern,2013,1.74749
Luzern,2013,2.92177
Uri,2013,3.58103
Schwyz,2013,2.85007
Obwalden,2013,-0.84467
Nidwalden,2013,5.08261
Glarus,2013,4.07603
Zug,2013,5.12783
Freiburg,2013,4.93399
Solothurn,2013,1.67494
Basel-Stadt,2013,1.17834
Basel-Landschaft,2013,1.46384
Schaffhausen,2013,2.10399
Appenzell A.Rh.,2013,3.50414
Appenzell I.Rh.,2013,3.5736
St.Gallen,2013,2.66679
Graubünden,2013,2.69115
Aargau,2013,2.28242
Thurgau,2013,2.54184
Tessin,2013,3.629
Waadt,2013,-2.35176
Wallis,2013,0.97372
Neuenburg,2013,1.88995
Genf,2013,1.61907
Jura,2013,4.70849
Schweiz,2013,1.70375
Zürich,2014,1.95119
Bern,2014,1.77707
Luzern,2014,2.04139
Uri,2014,0.50686
Schwyz,2014,1.40934
Obwalden,2014,0.38014
Nidwalden,2014,2.83993
Glarus,2014,1.44005
Zug,2014,-3.30581
Freiburg,2014,2.75607
Solothurn,2014,1.5931
Basel-Stadt,2014,2.7596
Basel-Landschaft,2014,3.1915
Schaffhausen,2014,-0.98221
Appenzell A.Rh.,2014,1.48864
Appenzell I.Rh.,2014,4.22948
St.Gallen,2014,1.64289
Graubünden,2014,0.69287
Aargau,2014,1.5229
Thurgau,2014,1.50768
Tessin,2014,2.02779
Waadt,2014,3.07897
Wallis,2014,0.79201
Neuenburg,2014,1.94711
Genf,2014,0.22883
Jura,2014,3.1334
Schweiz,2014,1.68141
Zürich,2015,0.10782
Bern,2015,-0.23094
Luzern,2015,1.25689
Uri,2015,0.62049
Schwyz,2015,2.57094
Obwalden,2015,1.51403
Nidwalden,2015,7.17556
Glarus,2015,0.61296
Zug,2015,5.16285
Freiburg,2015,0.65209
Solothurn,2015,0.53346
Basel-Stadt,2015,2.08083
Basel-Landschaft,2015,1.89947
Schaffhausen,2015,-0.662
Appenzell A.Rh.,2015,0.90938
Appenzell I.Rh.,2015,0.71577
St.Gallen,2015,-0.5666
Graubünden,2015,-0.80761
Aargau,2015,-0.63142
Thurgau,2015,-0.77515
Tessin,2015,-0.10019
Waadt,2015,-0.62042
Wallis,2015,3.06325
Neuenburg,2015,1.82003
Genf,2015,-0.53511
Jura,2015,-1.82246
Schweiz,2015,0.35877
Zürich,2016,1.13272
Bern,2016,-0.23849
Luzern,2016,1.76085
Uri,2016,0.59973
Schwyz,2016,0.68479
Obwalden,2016,2.34853
Nidwalden,2016,-3.57854
Glarus,2016,-0.63208
Zug,2016,1.72422
Freiburg,2016,0.17329
Solothurn,2016,0.00212
Basel-Stadt,2016,7.44606
Basel-Landschaft,2016,0.53394
Schaffhausen,2016,1.04796
Appenzell A.Rh.,2016,0.64397
Appenzell I.Rh.,2016,1.65788
St.Gallen,2016,1.17017
Graubünden,2016,0.63365
Aargau,2016,1.2958
Thurgau,2016,2.15418
Tessin,2016,-0.19939
Waadt,2016,6.41073
Wallis,2016,0.58122
Neuenburg,2016,-1.87185
Genf,2016,0.64461
Jura,2016,-0.21324
Schweiz,2016,1.47333
Zürich,2017,1.66095
Bern,2017,0.72306
Luzern,2017,1.67364
Uri,2017,1.91182
Schwyz,2017,2.166
Obwalden,2017,0.76749
Nidwalden,2017,-1.21904
Glarus,2017,4.04241
Zug,2017,-2.42551
Freiburg,2017,1.8475
Solothurn,2017,1.25845
Basel-Stadt,2017,4.74993
Basel-Landschaft,2017,1.43482
Schaffhausen,2017,1.25955
Appenzell A.Rh.,2017,-1.11928
Appenzell I.Rh.,2017,-0.58491
St.Gallen,2017,0.89927
Graubünden,2017,0.22094
Aargau,2017,1.4877
Thurgau,2017,0.82061
Tessin,2017,-0.94357
Waadt,2017,-3.18238
Wallis,2017,1.27866
Neuenburg,2017,2.49654
Genf,2017,2.14169
Jura,2017,2.48952
Schweiz,2017,0.98992
Zürich,2018,5.49548
Bern,2018,2.37326
Luzern,2018,2.01733
Uri,2018,1.57001
Schwyz,2018,2.1571
Obwalden,2018,1.01566
Nidwalden,2018,1.25015
Glarus,2018,-1.36769
Zug,2018,3.00638
Freiburg,2018,2.35718
Solothurn,2018,2.69001
Basel-Stadt,2018,3.34629
Basel-Landschaft,2018,0.43659
Schaffhausen,2018,3.74669
Appenzell A.Rh.,2018,2.84081
Appenzell I.Rh.,2018,3.12714
St.Gallen,2018,1.68964
Graubünden,2018,2.61457
Aargau,2018,2.17181
Thurgau,2018,2.72763
Tessin,2018,4.22109
Waadt,2018,5.77654
Wallis,2018,4.166
Neuenburg,2018,4.15995
Genf,2018,4.77514
Jura,2018,4.79082
Schweiz,2018,3.6466
Zürich,2019,-1.01498
Bern,2019,1.9683
Luzern,2019,1.84022
Uri,2019,1.94902
Schwyz,2019,2.41283
Obwalden,2019,4.35244
Nidwalden,2019,-1.27617
Glarus,2019,3.62426
Zug,2019,3.22294
Freiburg,2019,2.06306
Solothurn,2019,1.36751
Basel-Stadt,2019,0.5419
Basel-Landschaft,2019,-0.01562
Schaffhausen,2019,1.69137
Appenzell A.Rh.,2019,1.67036
Appenzell I.Rh.,2019,1.23163
St.Gallen,2019,2.33846
Graubünden,2019,3.00564
Aargau,2019,1.88181
Thurgau,2019,2.15498
Tessin,2019,1.53652
Waadt,2019,0.43052
Wallis,2019,2.64659
Neuenburg,2019,1.2269
Genf,2019,1.28242
Jura,2019,1.96728
Schweiz,2019,1.0369
Zürich,2020,-3.91666
Bern,2020,-2.15688
Luzern,2020,-0.93477
Uri,2020,-0.95166
Schwyz,2020,0.66954
Obwalden,2020,-1.93097
Nidwalden,2020,-5.26217
Glarus,2020,-4.05586
Zug,2020,0.05292
Freiburg,2020,-2.94544
Solothurn,2020,-2.57798
Basel-Stadt,2020,-1.59503
Basel-Landschaft,2020,-1.69134
Schaffhausen,2020,-0.70242
Appenzell A.Rh.,2020,4.91472
Appenzell I.Rh.,2020,-0.37823
St.Gallen,2020,-0.92705
Graubünden,2020,-2.07475
Aargau,2020,-0.90106
Thurgau,2020,1.16006
Tessin,2020,-6.36299
Waadt,2020,-3.73961
Wallis,2020,-4.0026
Neuenburg,2020,-6.57475
Genf,2020,-4.71749
Jura,2020,-9.2683
Schweiz,2020,-2.82595
Zürich,2021,2.23722
Bern,2021,5.3217
Luzern,2021,7.44827
Uri,2021,4.72508
Schwyz,2021,7.84121
Obwalden,2021,5.30961
Nidwalden,2021,10.21038
Glarus,2021,7.43167
Zug,2021,11.07809
Freiburg,2021,7.22777
Solothurn,2021,6.95138
Basel-Stadt,2021,6.28792
Basel-Landschaft,2021,5.5317
Schaffhausen,2021,13.91066
Appenzell A.Rh.,2021,4.83679
Appenzell I.Rh.,2021,10.72161
St.Gallen,2021,8.75316
Graubünden,2021,5.65952
Aargau,2021,1.9101
Thurgau,2021,9.76667
Tessin,2021,14.34717
Waadt,2021,11.46985
Wallis,2021,5.82724
Neuenburg,2021,14.89815
Genf,2021,8.31669
Jura,2021,15.06674
Schweiz,2021,6.70527
