Region,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²)
Schweiz,8039060,82731,64961,17770,87106,0,8139631,100571,1.2510293492,2013,82575.69
Zürich,1408575,15996,10792,5204,13623,-1491,1425538,16963,1.2042667235,2013,1728.94
Bern,992617,9587,9527,60,8642,978,1001281,8664,0.8728442088,2013,5958.5
Luzern,386082,4065,2879,1186,2794,348,390349,4267,1.1052056299,2013,1493.52
Uri,35693,325,341,-16,265,-72,35865,172,0.4818872048,2013,1076.53
Schwyz,149830,1542,1094,448,902,326,151396,1566,1.0451845425,2013,907.88
Obwalden,36115,340,279,61,290,82,36507,392,1.08542157,2013,490.58
Nidwalden,41584,392,307,85,322,-67,41888,304,0.731050404,2013,275.85
Glarus,39369,392,342,50,370,-147,39593,224,0.5689755899,2013,685.31
Zug,116575,1258,764,494,1221,-53,118118,1543,1.323611409,2013,238.73
Freiburg,291395,3166,1965,1201,3527,1612,297622,6227,2.1369618559,2013,1672.43
Solothurn,259283,2373,2286,87,1868,676,261437,2154,0.8307524982,2013,790.46
Basel-Stadt,187425,1894,2049,-155,3246,-1563,189335,1910,1.0190742964,2013,36.95
Basel-Landschaft,276537,2380,2384,-4,1744,604,278656,2119,0.7662627424,2013,517.67
Schaffhausen,77955,734,731,3,966,139,78783,828,1.0621512411,2013,298.42
Appenzell A.Rh.,53438,498,514,-16,321,10,53691,253,0.4734458625,2013,
Appenzell I.Rh.,15717,180,138,42,75,-45,15778,61,0.3881147802,2013,
St.Gallen,487060,5112,3728,1384,4057,-582,491699,4639,0.9524493902,2013,
Graubünden,193920,1764,1721,43,2540,-664,194959,1039,0.5357879538,2013,7105.3
Aargau,627340,6423,4557,1866,4962,2434,636362,9022,1.4381356202,2013,1403.8
Thurgau,256213,2489,1966,523,2469,1223,260278,4065,1.5865705487,2013,994.33
Tessin,341652,2842,3057,-215,5397,-198,346539,4887,1.4304028661,2013,2812.15
Waadt,734356,8274,5410,2864,12244,-1104,749373,15017,2.044920992,2013,3212.02
Wallis,321732,3142,2629,513,4669,467,327011,5279,1.6408066341,2013,5224.64
Neuenburg,174554,1716,1580,136,2754,-772,176402,1848,1.0586981679,2013,802.16
Genf,463101,5167,3322,1845,9701,-2129,469433,6332,1.3673043245,2013,282.49
Jura,70942,680,599,81,688,14,71738,796,1.1220433594,2013,838.51
Schweiz,8139631,85287,63938,21349,76223,0,8237666,98035,1.2044157776,2014,82575.69
Zürich,1425538,16884,10521,6363,14228,675,1446354,20816,1.4602206325,2014,1728.94
Bern,1001281,9731,9111,620,7043,710,1009418,8137,0.8126589838,2014,5958.5
Luzern,390349,4153,2900,1253,2734,115,394604,4255,1.0900501859,2014,1493.52
Uri,35865,324,320,4,250,-108,36008,143,0.3987174125,2014,1076.53
Schwyz,151396,1545,1068,477,565,301,152759,1363,0.9002879865,2014,907.88
Obwalden,36507,395,255,140,229,-51,36834,327,0.8957186293,2014,490.58
Nidwalden,41888,377,300,77,269,-113,42080,192,0.4583651642,2014,275.85
Glarus,39593,378,372,6,336,-75,39794,201,0.5076654964,2014,685.31
Zug,118118,1284,742,542,943,467,120089,1971,1.6686703127,2014,238.73
Freiburg,297622,3369,2009,1360,2774,1571,303377,5755,1.9336608181,2014,1672.43
Solothurn,261437,2418,2333,85,1825,403,263719,2282,0.8728680332,2014,790.46
Basel-Stadt,189335,1996,2138,-142,2609,-1552,190580,1245,0.6575646341,2014,36.95
Basel-Landschaft,278656,2534,2366,168,1656,835,281301,2645,0.9491990124,2014,517.67
Schaffhausen,78783,725,772,-47,643,94,79417,634,0.8047421398,2014,298.42
Appenzell A.Rh.,53691,537,478,59,244,103,54064,373,0.6947160604,2014,
Appenzell I.Rh.,15778,166,131,35,50,18,15854,76,0.4816833566,2014,
St.Gallen,491699,5058,3805,1253,4094,-1050,495824,4125,0.8389278807,2014,
Graubünden,194959,1803,1704,99,1755,-719,195886,927,0.4754845891,2014,7105.3
Aargau,636362,6687,4510,2177,4985,1819,645277,8915,1.4009321738,2014,1403.8
Thurgau,260278,2664,1958,706,2212,608,263733,3455,1.3274268282,2014,994.33
Tessin,346539,2908,2924,-16,4227,-607,350363,3824,1.103483302,2014,2812.15
Waadt,749373,8387,5275,3112,8210,-1409,761446,12073,1.6110801964,2014,3212.02
Wallis,327011,3198,2501,697,3639,614,331763,4752,1.453162126,2014,5224.64
Neuenburg,176402,1803,1626,177,1758,-889,177327,925,0.524370472,2014,802.16
Genf,469433,5282,3159,2123,9650,-1861,477385,7952,1.6939584563,2014,282.49
Jura,71738,681,660,21,553,123,72410,672,0.9367420335,2014,838.51
Schweiz,8237666,86559,67606,18953,71884,0,8327126,89460,1.0859872202,2015,82575.69
Zürich,1446354,16866,11156,5710,14367,1590,1466424,20070,1.3876270954,2015,1728.94
Bern,1009418,10072,9644,428,6824,856,1017483,8065,0.7989752511,2015,5958.5
Luzern,394604,4192,3137,1055,2717,174,398762,4158,1.0537146101,2015,1493.52
Uri,36008,322,367,-45,153,-121,35973,-35,-0.097200622,2015,1076.53
Schwyz,152759,1607,1164,443,593,229,154093,1334,0.8732709693,2015,907.88
Obwalden,36834,359,270,89,212,-65,37076,242,0.6570016832,2015,490.58
Nidwalden,42080,426,304,122,209,13,42420,340,0.8079847909,2015,275.85
Glarus,39794,409,354,55,397,-124,40028,234,0.588028346,2015,685.31
Zug,120089,1295,735,560,980,434,122134,2045,1.7029036798,2015,238.73
Freiburg,303377,3391,2049,1342,1747,936,307461,4084,1.3461798357,2015,1672.43
Solothurn,263719,2536,2500,36,1943,597,266418,2699,1.0234378259,2015,790.46
Basel-Stadt,190580,2032,2146,-114,2568,-1485,191817,1237,0.6490712562,2015,36.95
Basel-Landschaft,281301,2550,2525,25,1474,613,283231,1930,0.6860978098,2015,517.67
Schaffhausen,79417,700,743,-43,552,-78,79836,419,0.5275948475,2015,298.42
Appenzell A.Rh.,54064,558,508,50,342,71,54543,479,0.8859869784,2015,
Appenzell I.Rh.,15854,181,137,44,62,32,15974,120,0.7569067743,2015,
St.Gallen,495824,5363,3945,1418,3329,-1666,499065,3241,0.653659363,2015,
Graubünden,195886,1748,1734,14,1666,-657,196610,724,0.3696027281,2015,7105.3
Aargau,645277,6707,4871,1836,5109,1501,653675,8398,1.3014565838,2015,1403.8
Thurgau,263733,2785,1941,844,1827,952,267429,3696,1.4014173425,2015,994.33
Tessin,350363,2957,3294,-337,2738,-976,351946,1583,0.4518171154,2015,2812.15
Waadt,761446,8385,5599,2786,9767,-1069,773407,11961,1.5708270843,2015,3212.02
Wallis,331763,3247,2726,521,2860,766,335696,3933,1.185484819,2015,5224.64
Neuenburg,177327,1783,1655,128,1573,-820,178107,780,0.4398653335,2015,802.16
Genf,477385,5388,3405,1983,8309,-1546,484736,7351,1.5398472931,2015,282.49
Jura,72410,700,697,3,506,-136,72782,372,0.513741196,2015,838.51
Schweiz,8327126,87883,64964,22919,71030,0,8419550,92424,1.1099147533,2016,82575.69
Zürich,1466424,17051,10716,6335,14632,2114,1487969,21545,1.4692203619,2016,1728.94
Bern,1017483,10113,9437,676,7684,748,1026513,9030,0.8874841152,2016,5958.5
Luzern,398762,4265,2844,1421,3375,-270,403397,4635,1.1623474654,2016,1493.52
Uri,35973,332,348,-16,253,-41,36145,172,0.4781363801,2016,1076.53
Schwyz,154093,1559,1133,426,921,331,155863,1770,1.1486569799,2016,907.88
Obwalden,37076,370,246,124,237,-28,37378,302,0.8145431007,2016,490.58
Nidwalden,42420,398,296,102,197,-161,42556,136,0.3206034889,2016,275.85
Glarus,40028,414,370,44,257,-135,40147,119,0.2972918957,2016,685.31
Zug,122134,1377,746,631,1016,98,123948,1814,1.4852539015,2016,238.73
Freiburg,307461,3501,2022,1479,1899,1187,311914,4453,1.4483137699,2016,1672.43
Solothurn,266418,2591,2268,323,2249,568,269441,3023,1.134683092,2016,790.46
Basel-Stadt,191817,2076,1988,88,2887,-1718,193070,1253,0.6532267734,2016,36.95
Basel-Landschaft,283231,2608,2432,176,1379,834,285624,2393,0.8448933909,2016,517.67
Schaffhausen,79836,758,748,10,784,114,80769,933,1.1686457237,2016,298.42
Appenzell A.Rh.,54543,586,506,80,329,-46,54954,411,0.753533909,2016,
Appenzell I.Rh.,15974,186,155,31,76,-8,16003,29,0.1815450106,2016,
St.Gallen,499065,5388,3845,1543,3742,-1948,502552,3487,0.6987065813,2016,
Graubünden,196610,1806,1624,182,1669,-671,197550,940,0.4781038604,2016,7105.3
Aargau,653675,6979,4761,2218,5435,2036,663462,9787,1.4972272154,2016,1403.8
Thurgau,267429,2866,1968,898,1764,590,270709,3280,1.226493761,2016,994.33
Tessin,351946,2806,2988,-182,3230,-798,354375,2429,0.6901626954,2016,2812.15
Waadt,773407,8730,5413,3317,8896,-910,784822,11415,1.4759369905,2016,3212.02
Wallis,335696,3274,2612,662,2388,650,339176,3480,1.0366522091,2016,5224.64
Neuenburg,178107,1804,1571,233,1209,-892,178567,460,0.2582717131,2016,802.16
Genf,484736,5361,3220,2141,5200,-1669,489524,4788,0.987754159,2016,282.49
Jura,72782,684,707,-23,194,36,73122,340,0.4671484708,2016,838.51
Schweiz,8419550,87381,66971,20410,45948,0,8484130,64580,0.7670243659,2017,82575.69
Zürich,1487969,17070,11076,5994,10360,1567,1504346,16377,1.1006277685,2017,1728.94
Bern,1026513,10141,9465,676,4102,362,1031126,4613,0.4493854437,2017,5958.5
Luzern,403397,4384,3077,1307,1676,-169,406506,3109,0.7707047896,2017,1493.52
Uri,36145,350,359,-9,189,-13,36299,154,0.4260616959,2017,1076.53
Schwyz,155863,1510,1067,443,729,221,157301,1438,0.9226051083,2017,907.88
Obwalden,37378,377,279,98,141,-44,37575,197,0.5270479961,2017,490.58
Nidwalden,42556,418,334,84,195,125,42969,413,0.9704859479,2017,275.85
Glarus,40147,378,378,0,235,-52,40349,202,0.5031509204,2017,685.31
Zug,123948,1257,795,462,844,91,125421,1473,1.1884015878,2017,238.73
Freiburg,311914,3428,2061,1367,715,1205,315074,3160,1.0130997647,2017,1672.43
Solothurn,269441,2555,2444,111,1713,175,271432,1991,0.7389372813,2017,790.46
Basel-Stadt,193070,2069,2123,-54,2167,-1308,193908,838,0.4340394676,2017,36.95
Basel-Landschaft,285624,2694,2462,232,609,702,287023,1399,0.4898047783,2017,517.67
Schaffhausen,80769,747,739,8,480,161,81351,582,0.7205734874,2017,298.42
Appenzell A.Rh.,54954,564,506,58,87,51,55178,224,0.4076136405,2017,
Appenzell I.Rh.,16003,186,121,65,67,-43,16105,102,0.6373804912,2017,
St.Gallen,502552,5205,3886,1319,2562,-1885,504686,2134,0.4246326748,2017,
Graubünden,197550,1712,1746,-34,1055,-637,197888,338,0.1710959251,2017,7105.3
Aargau,663462,6914,4711,2203,3435,2175,670988,7526,1.1343528341,2017,1403.8
Thurgau,270709,2809,1986,823,1258,970,273801,3092,1.1421858896,2017,994.33
Tessin,354375,2774,3230,-456,511,-743,353709,-666,-0.187936508,2017,2812.15
Waadt,784822,8686,5749,2937,6218,-1108,793129,8307,1.0584565672,2017,3212.02
Wallis,339176,3259,2759,500,1161,929,341463,2287,0.6742811991,2017,5224.64
Neuenburg,178567,1758,1612,146,406,-989,177964,-603,-0.337688375,2017,802.16
Genf,489524,5441,3342,2099,5910,-1727,495249,5725,1.169503436,2017,282.49
Jura,73122,695,664,31,186,-16,73290,168,0.2297530155,2017,838.51
Schweiz,8484130,87851,67088,20763,39860,0,8544527,60397,0.7118820669,2018,82575.69
Zürich,1504346,16919,11062,5857,10761,1808,1520968,16622,1.1049319771,2018,1728.94
Bern,1031126,10145,9451,694,3403,57,1034977,3851,0.3734752106,2018,5958.5
Luzern,406506,4413,3140,1273,1777,-190,409557,3051,0.7505424274,2018,1493.52
Uri,36299,356,324,32,140,-58,36433,134,0.3691561751,2018,1076.53
Schwyz,157301,1628,1152,476,787,535,159165,1864,1.1849892881,2018,907.88
Obwalden,37575,384,258,126,137,14,37841,266,0.7079174983,2018,490.58
Nidwalden,42969,432,301,131,131,-25,43223,254,0.5911238335,2018,275.85
Glarus,40349,407,363,44,97,-66,40403,54,0.1338323131,2018,685.31
Zug,125421,1343,814,529,802,48,126837,1416,1.1289975363,2018,238.73
Freiburg,315074,3546,2058,1488,600,1536,318714,3640,1.1552841555,2018,1672.43
Solothurn,271432,2659,2464,195,1134,334,273194,1762,0.649149695,2018,790.46
Basel-Stadt,193908,2075,2077,-2,2420,-1525,194766,858,0.4424778761,2018,36.95
Basel-Landschaft,287023,2623,2446,177,626,314,288132,1109,0.3863801856,2018,517.67
Schaffhausen,81351,772,774,-2,469,168,81991,640,0.7867143612,2018,298.42
Appenzell A.Rh.,55178,592,459,133,123,-199,55234,56,0.1014897242,2018,
Appenzell I.Rh.,16105,169,137,32,61,-53,16145,40,0.2483700714,2018,
St.Gallen,504686,5368,3880,1488,2384,-924,507697,3011,0.5966085843,2018,
Graubünden,197888,1794,1789,5,731,-217,198379,491,0.2481201488,2018,7105.3
Aargau,670988,6945,4780,2165,3435,1875,678207,7219,1.0758761707,2018,1403.8
Thurgau,273801,2971,2067,904,1235,596,276472,2671,0.9755260207,2018,994.33
Tessin,353709,2556,3152,-596,884,-731,353343,-366,-0.10347489,2018,2812.15
Waadt,793129,8736,5750,2986,4327,-1437,799145,6016,0.7585146931,2018,3212.02
Wallis,341463,3326,2724,602,907,1316,343955,2492,0.7298008862,2018,5224.64
Neuenburg,177964,1656,1601,55,244,-1217,176850,-1114,-0.625969297,2018,802.16
Genf,495249,5353,3385,1968,4953,-1978,499480,4231,0.854317727,2018,282.49
Jura,73290,683,680,3,185,19,73419,129,0.1760130986,2018,838.51
Schweiz,8544527,86172,67780,18392,43352,0,8606033,61506,0.7198291959,2019,82575.69
Zürich,1520968,16587,11305,5282,12760,1815,1539275,18307,1.2036413652,2019,1728.94
Bern,1034977,9933,9667,266,3991,76,1039474,4497,0.4345024092,2019,5958.5
Luzern,409557,4357,3104,1253,1772,319,413120,3563,0.8699643761,2019,1493.52
Uri,36433,342,307,35,145,51,36703,270,0.7410863777,2019,1076.53
Schwyz,159165,1536,1107,429,556,303,160480,1315,0.8261866616,2019,907.88
Obwalden,37841,347,279,68,95,-74,37930,89,0.2351946302,2019,490.58
Nidwalden,43223,384,336,48,135,-334,43087,-136,-0.314647294,2019,275.85
Glarus,40403,413,416,-3,172,3,40590,187,0.4628369181,2019,685.31
Zug,126837,1329,791,538,680,-427,127642,805,0.6346728478,2019,238.73
Freiburg,318714,3498,2099,1399,545,1147,321783,3069,0.9629322841,2019,1672.43
Solothurn,273194,2592,2311,281,1217,445,275247,2053,0.7514806328,2019,790.46
Basel-Stadt,194766,2060,2063,-3,3075,-1265,195844,1078,0.5534846945,2019,36.95
