Kanton,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²),Abbreviation,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf
Schweiz,8039060,82731,64961,17770,87106,0,8139631,100571,1.2510293492,2013,41285,CH,8139631,1653511,5053373,1432747,4022091,4117540,6202184,1937447,3537837,3527929,407667,652608,528,12174,888,5106473,1767144,1266014,654611.66897,1.70375,1.79214,80422.76965258007
Zürich,1408575,15996,10792,5204,13623,-1491,1425538,16963,1.2042667235,2013,1729,ZH,1425538,279106,907597,238835,706789,718749,1064112,361426,640145,596614,63246,121378,92,3783,280,1096851,318974,9713,141721.61363,1.13121,2.14208,99416.22996370493
Bern,992617,9587,9527,60,8642,978,1001281,8664,0.8728442088,2013,5959,BE,1001281,192610,611526,197145,489514,511767,855740,145541,426436,436090,57009,80308,55,1265,118,522456,221797,257028,77331.58119,1.74749,1.5534,77232.6461702559
Luzern,386082,4065,2879,1186,2794,348,390349,4267,1.1052056299,2013,1493,LU,390349,82017,243575,64757,193382,196967,323029,67320,177622,168749,18645,24898,20,395,20,207016,43066,140267,25484.10177,2.92177,2.94847,65285.42860363419
Uri,35693,325,341,-16,265,-72,35865,172,0.4818872048,2013,1077,UR,35865,7465,21624,6776,18325,17540,31887,3978,15352,16788,2049,1649,5,19,3,21536,10070,4259,1863.60522,3.58103,3.13899,51961.66792137181
Schwyz,149830,1542,1094,448,902,326,151396,1566,1.0451845425,2013,908,SZ,151396,31108,95980,24308,77456,73940,121710,29686,65808,67671,6795,10960,6,150,6,91887,31910,27599,8892.66258,2.85007,2.60567,58737.76440592882
Obwalden,36115,340,279,61,290,82,36507,392,1.08542157,2013,491,OW,36507,7674,22791,6042,18508,17999,31414,5093,16255,16290,1778,2162,0,21,1,10084,0,26423,2374.13494,-0.84467,-1.36642,65032.32092475416
Nidwalden,41584,392,307,85,322,-67,41888,304,0.731050404,2013,276,NW,41888,7976,26377,7535,21405,20483,36410,5478,18148,18801,1915,3000,4,20,0,15687,5578,20623,2883.26636,5.08261,3.83844,68832.75305576777
Glarus,39369,392,342,50,370,-147,39593,224,0.5689755899,2013,685,GL,39593,7799,24514,7280,20061,19532,30795,8798,16391,17897,2375,2896,2,30,2,29757,0,9836,2680.91856,4.07603,3.99107,67711.9329174349
Zug,116575,1258,764,494,1221,-53,118118,1543,1.323611409,2013,239,ZG,118118,24199,75075,18844,59595,58523,87575,30543,51498,53105,4681,8646,9,172,7,108139,9979,0,18924.06281,5.12783,3.97727,160213.20044362417
Freiburg,291395,3166,1965,1201,3527,1612,297622,6227,2.1369618559,2013,1672,FR,297622,69260,184880,43482,148685,148937,235799,61823,133429,128639,13391,21805,28,307,23,96968,123462,77192,17652.88442,4.93399,4.61936,59313.10326521561
Solothurn,259283,2373,2286,87,1868,676,261437,2154,0.8307524982,2013,791,SO,261437,50993,161991,48453,129750,131687,208257,53180,107676,117278,14447,21718,17,284,17,157750,67642,36045,17296.25571,1.67494,1.4259,66158.40799121777
Basel-Stadt,187425,1894,2049,-155,3246,-1563,189335,1910,1.0190742964,2013,37,BS,189335,31437,119089,38809,91124,98211,124478,64857,86521,72554,11374,18293,26,518,49,189335,0,0,31234.56476,1.17834,2.06517,164969.8405471783
Basel-Landschaft,276537,2380,2384,-4,1744,604,278656,2119,0.7662627424,2013,518,BL,278656,54044,166891,57721,136280,142376,221006,57650,110415,130095,15488,22177,8,449,24,189594,82024,7038,19331.3215,1.46384,1.25178,69373.42637517226
Schaffhausen,77955,734,731,3,966,139,78783,828,1.0621512411,2013,298,SH,78783,15014,47968,15801,38849,39934,59350,19433,31847,35611,4672,6533,2,115,3,45975,24769,8039,6869.04239,2.10399,2.34458,87189.39860122108
Appenzell A.Rh.,53438,498,514,-16,321,10,53691,253,0.4734458625,2013,243,AR,53691,11087,32762,9842,27051,26640,45645,8046,22812,23669,2873,4285,1,50,1,15342,25825,12524,3054.05788,3.50414,3.23317,56882.11953586262
Appenzell I.Rh.,15717,180,138,42,75,-45,15778,61,0.3881147802,2013,172,AI,15778,3611,9354,2813,8082,7696,14124,1654,7301,6833,849,790,0,5,0,0,0,15778,945.20532,3.5736,3.05982,59906.53568259602
St.Gallen,487060,5112,3728,1384,4057,-582,491699,4639,0.9524493902,2013,2028,SG,491699,103824,304496,83379,245249,246450,379074,112625,212153,217246,24433,37452,17,372,26,342097,63752,85850,36288.93775,2.66679,2.49852,73803.15548740185
Graubünden,193920,1764,1721,43,2540,-664,194959,1039,0.5357879538,2013,7105,GR,194959,36264,121272,37423,97225,97734,160440,34519,82946,86995,10791,14065,17,136,9,63422,22838,108699,14028.60654,2.69115,2.2544,71956.70135772137
Aargau,627340,6423,4557,1866,4962,2434,636362,9022,1.4381356202,2013,1404,AG,636362,130718,401257,104387,318438,317924,487918,148444,267706,290630,29573,47742,31,646,34,347785,193747,94830,41229.16645,2.28242,1.93227,64788.856735631605
Thurgau,256213,2489,1966,523,2469,1223,260278,4065,1.5865705487,2013,994,TG,260278,54614,163686,41978,130803,129475,199434,60844,110302,116313,12327,21042,9,265,20,121367,53746,85165,15945.20579,2.54184,2.00216,61262.21113578558
Tessin,341652,2842,3057,-215,5397,-198,346539,4887,1.4304028661,2013,2812,TI,346539,64664,208185,73690,168446,178093,252173,94366,142516,154454,21335,27890,30,280,34,241796,76703,28040,29063.33517,3.629,3.51144,83867.4295533836
Waadt,734356,8274,5410,2864,12244,-1104,749373,15017,2.044920992,2013,3212,VD,749373,167283,461284,120806,366766,382607,503493,245880,336758,314154,34782,62238,44,1306,91,467322,204856,77195,52299.55179,-2.35176,-2.78523,69791.0810637693
Wallis,321732,3142,2629,513,4669,467,327011,5279,1.6408066341,2013,5224,VS,327011,66744,201026,59241,161991,165020,254273,72738,137702,146860,17922,24212,31,269,15,168248,76856,81907,17516.49364,0.97372,1.16555,53565.45694181541
Neuenburg,174554,1716,1580,136,2754,-772,176402,1848,1.0586981679,2013,802,NE,176402,38283,105878,32241,86014,90388,132428,43974,75537,73480,10073,17121,10,173,8,104015,54158,18229,14896.88845,1.88995,1.90198,84448.52354281697
Genf,463101,5167,3322,1845,9701,-2129,469433,6332,1.3673043245,2013,282,GE,469433,99796,292269,77368,226947,242486,279635,189798,214221,189710,20313,43956,59,1083,91,427652,41781,0,50196.61483,1.61907,1.66523,106930.3070512725
